#client-send-timestamp,server-timestamp,e2e-rtt
1616943314384726371,1616943314388976001,4.299068
1616943314394878500,1616943314397687409,2.80445
1616943314405043793,1616943314407607102,2.560361
1616943314415215964,1616943314419045002,4.784337
1616943314425257715,1616943314427507337,2.192717
1616943314435427529,1616943314437552492,2.185299
1616943314445605813,1616943314447752128,2.118627
1616943314455790926,1616943314457924874,2.132346
1616943314466024651,1616943314468088770,2.040066
1616943314476194464,1616943314478232352,2.044305
1616943314486361186,1616943314488423558,2.075063
1616943314496536706,1616943314498588577,1.992306
1616943314506707806,1616943314508951094,2.213614
1616943314516885156,1616943314518954624,2.025383
1616943314527049522,1616943314529078320,1.936516
1616943314537218348,1616943314539142810,1.931305
1616943314547328020,1616943314549292592,1.954922
1616943314557459795,1616943314559334156,1.844982
1616943314567572928,1616943314569499165,1.935939
1616943314577739441,1616943314579651073,1.88151
1616943314587893352,1616943314589806839,1.957069
1616943314598080371,1616943314602675852,4.556765
1616943314608180384,1616943314610234663,2.028318
1616943314618297565,1616943314620201845,1.826104
1616943314628394065,1616943314630200915,1.774603
1616943314638433678,1616943314640243684,1.716531
1616943314648533872,1616943314650299149,1.721853
1616943314658729521,1616943314660424734,1.7142
1616943314668900290,1616943314670664434,1.694997
1616943314679000377,1616943314680861871,1.815155
1616943314689246620,1616943314691107032,1.85955
1616943314699467120,1616943314701318722,1.78273
1616943314709565561,1616943314711280701,1.659555
1616943314719785813,1616943314721483225,1.735061
1616943314730003823,1616943314731782173,1.807192
1616943314740226642,1616943314741991611,1.718638
1616943314750330231,1616943314752110239,1.75115
1616943314760488067,1616943314762218187,1.727513
1616943314770615909,1616943314772341287,1.643447
1616943314780774221,1616943314782561275,1.731931
1616943314790885385,1616943314792750986,1.872912
1616943314801014764,1616943314802719078,1.638885
1616943314811108657,1616943314812820957,1.627117
1616943314821334286,1616943314823339095,1.967667
1616943314831379494,1616943314833218294,1.812959
1616943314841598740,1616943314843318229,1.721032
1616943314851821772,1616943314853536767,1.611174
1616943314862081935,1616943314863799598,1.691395
1616943314872118522,1616943314873996581,1.883967
1616943314882141784,1616943314885272541,3.041726
1616943314892369061,1616943314894097512,1.701626
1616943314902525815,1616943314904238689,1.649944
1616943314912629776,1616943314914569674,1.940638
1616943314922755046,1616943314924537076,1.751785
1616943314932976016,1616943314934822852,1.797874
1616943314943151583,1616943314944991649,1.747778
1616943314953269441,1616943314955130547,1.830452
1616943314963494832,1616943314965277122,1.753506
1616943314973612955,1616943314975729835,2.055801
1616943314983784555,1616943314985509917,1.695096
1616943314993944435,1616943314995722499,1.715564
1616943315004032769,1616943315005850058,1.731919
1616943315014098088,1616943315015998738,1.813103
1616943315024318026,1616943315026071929,1.720199
1616943315034416650,1616943315036115674,1.610226
1616943315044634584,1616943315046357746,1.668579
1616943315054738722,1616943315056811460,2.022117
1616943315064907944,1616943315066845754,2.000072
1616943315075016000,1616943315076706682,1.606722
1616943315085166926,1616943315086861232,1.6117
1616943315095323584,1616943315097029494,1.655213
1616943315105478965,1616943315107171408,1.606218
1616943315115617115,1616943315117317668,1.620632
1616943315125872578,1616943315127790381,1.88904
1616943315136043521,1616943315137908478,1.789449
1616943315146147469,1616943315147881345,1.684366
1616943315156392521,1616943315158937159,2.7697
1616943315166558393,1616943315168365104,1.757104
1616943315176723679,1616943315178527216,1.713135
1616943315186906168,1616943315188634220,1.672281
1616943315197071262,1616943315198847846,1.684416
1616943315207190769,1616943315208945253,1.711964
1616943315217268079,1616943315218969913,1.708078
1616943315227429004,1616943315229277407,1.753807
1616943315237554709,1616943315239257583,1.646018
1616943315247712217,1616943315249566461,1.78322
1616943315257862893,1616943315259882474,1.972098
