#client-send-timestamp,server-timestamp,e2e-rtt
1616778709961825376,1616778709983478164,29.338412
1616778710062032665,1616778710063308820,8.740931
1616778710162227089,1616778710166134651,11.759657
1616778710262409674,1616778710263432573,8.561648
1616778710362617601,1616778710363647948,8.50201
1616778710462836631,1616778710463986925,8.640634
1616778710562897318,1616778710564248500,8.842327
1616778710663183507,1616778710664529776,9.277979
1616778710763477681,1616778710764472948,8.6729
1616778710863601735,1616778710864820525,10.385168
1616778710963879437,1616778710964985399,8.657567
1616778711063971700,1616778711065210775,8.813359
1616778711164237177,1616778711165651453,9.075852
1616778711264539480,1616778711265592924,9.157063
1616778711364759148,1616778711366218905,9.059039
1616778711464969310,1616778711466024375,8.579607
1616778711565151577,1616778711566301951,8.877484
1616778711665481138,1616778711666610327,8.77075
1616778711765667906,1616778711766866003,8.763271
1616778711865868958,1616778711867057278,8.82771
1616778711966121562,1616778711967316853,8.679318
1616778712066247568,1616778712067290625,8.542112
1616778712166380058,1616778712167705803,8.83923
1616778712266642303,1616778712268869790,9.699245
1616778712366953158,1616778712368238155,8.87617
1616778712467248024,1616778712468350229,8.532296
1616778712567524347,1616778712568598604,9.745153
1616778712667632430,1616778712669583889,9.423009
1616778712767850325,1616778712769030054,8.669869
1616778712868055013,1616778712869556534,9.165597
1616778712968308219,1616778712969333603,8.584443
1616778713068518535,1616778713069617279,8.737849
1616778713168724263,1616778713171626577,10.50544
1616778713268946725,1616778713270008229,8.508895
1616778713369157282,1616778713370238604,8.625561
1616778713469375573,1616778713470612682,8.713812
1616778713569582805,1616778713570772956,8.763449
1616778713669779663,1616778713671119033,9.193151
1616778713770084412,1616778713771176806,8.563731
1616778713870362786,1616778713872693398,9.888163
1616778713970618351,1616778713971915460,9.313537
1616778714070838468,1616778714071895832,8.638539
1616778714170870159,1616778714172830217,9.592653
1616778714270885788,1616778714272301282,8.93433
1616778714371237618,1616778714372502157,8.83524
1616778714471499451,1616778714472608031,9.764444
1616778714571710513,1616778714572780806,11.192275
1616778714671934824,1616778714674387899,9.961159
1616778714772289811,1616778714778094418,13.625819
1616778714872327642,1616778714873525133,8.877285
1616778714972646428,1616778714975327228,10.284378
1616778715072832167,1616778715074272787,8.919592
1616778715173130638,1616778715174615064,9.151163
1616778715273445720,1616778715274522535,8.674652
1616778715373673707,1616778715375355118,9.239102
1616778715473877335,1616778715474871084,8.515584
1616778715574152569,1616778715575466564,8.855548
1616778715674447545,1616778715675950943,8.979618
1616778715774671276,1616778715775848514,9.736201
1616778715874856812,1616778715875834886,9.085084
1616778715975075700,1616778715976258964,8.791181
1616778716075274624,1616778716076256436,8.690345
1616778716175403730,1616778716176495612,8.692767
1616778716275559680,1616778716276750287,8.997417
1616778716375770891,1616778716376831861,8.714768
1616778716475923937,1616778716476959635,8.574516
1616778716576144497,1616778716578819631,10.430414
1616778716676380986,1616778716677869091,9.438033
1616778716776601590,1616778716777926365,9.118484
1616778716876783596,1616778716877650433,16.341417
1616778716977000928,1616778716977926709,8.613238
1616778717077041651,1616778717077982683,8.638779
1616778717177104172,1616778717181213296,11.768967
1616778717277303838,1616778717278413333,8.621829
1616778717377519524,1616778717378489506,8.767232
1616778717477644324,1616778717478697781,8.613146
1616778717577688661,1616778717579666166,9.747038
1616778717677903921,1616778717679912742,9.637885
1616778717778113195,1616778717779057503,8.491686
1616778717878390489,1616778717879446281,8.650023
1616778717978477473,1616778717979667256,8.807026
1616778718078719182,1616778718079874531,8.68549
1616778718178886045,1616778718180377010,9.215728
1616778718279181801,1616778718280767470,9.284035
1616778718379470806,1616778718380513520,8.630785
1616778718479537268,1616778718486343745,14.404429
1616778718579753892,1616778718580633226,8.381263
1616778718679986287,1616778718680875582,8.411823
1616778718780202480,1616778718781329540,8.639241
1616778718880266106,1616778718882361005,9.802253
1616778718980497650,1616778718981563448,8.5525
1616778719080688513,1616778719081897704,8.773664
1616778719180883970,1616778719181958758,8.802178
1616778719281114359,1616778719281955410,8.403811
1616778719381332894,1616778719382855174,9.189442
1616778719481544916,1616778719483724737,9.921432
1616778719581908354,1616778719582877779,8.498412
1616778719682135412,1616778719683118334,8.465359
1616778719782351164,1616778719783953997,9.196956
1616778719882563312,1616778719883504444,8.491312
1616778719982780074,1616778719987862851,12.929315
1616778720083133151,1616778720083961055,8.46328
1616778720183350923,1616778720188555965,12.733154
1616778720283531649,1616778720284714569,8.92237
1616778720383876260,1616778720384664221,8.618141
1616778720483921145,1616778720484981177,8.789146
1616778720584138336,1616778720585777940,9.525832
1616778720684351268,1616778720685283786,8.458658
1616778720784577948,1616778720785434541,8.351429
1616778720884756075,1616778720885749697,8.610232
1616778720984777316,1616778720986049353,8.857989
1616778721085071121,1616778721086485611,8.893325
1616778721185389077,1616778721186488764,8.801547
1616778721285631380,1616778721286449416,8.530566
1616778721385849546,1616778721386651671,8.270934
1616778721486068418,1616778721486988627,8.651624
1616778721586154782,1616778721587323184,8.764267
1616778721686462227,1616778721688525452,9.849206
1616778721786751273,1616778721787820195,8.712461
1616778721886925941,1616778721888138252,8.677224
1616778721987055208,1616778721989347719,10.143028
1616778722087261338,1616778722088404460,8.829422
1616778722187530316,1616778722188592015,8.760282
1616778722287725365,1616778722288794470,8.785002
1616778722387958631,1616778722388926124,8.436281
1616778722488168066,1616778722489208780,8.531575
1616778722588374613,1616778722589588237,8.738356
1616778722688576093,1616778722689622990,8.635635
1616778722788662614,1616778722789689243,8.509836
1616778722888873632,1616778722889769097,8.411561
1616778722989082119,1616778722990040453,8.456499
1616778723089292735,1616778723090368609,8.573858
1616778723189495589,1616778723190508063,12.229043
1616778723289706936,1616778723291737931,9.553982
1616778723389927818,1616778723390850073,8.411213
1616778723490137583,1616778723491667635,9.184033
1616778723590353369,1616778723591322183,8.491019
1616778723690562577,1616778723693126859,10.643268
1616778723790659548,1616778723791645692,8.596759
1616778723890688714,1616778723891634545,8.667341
1616778723990796782,1616778723994263730,11.086189
1616778724091109778,1616778724092081655,8.597331
1616778724191142012,1616778724192693115,9.329663
1616778724291351651,1616778724292583467,8.804522
1616778724391577380,1616778724392612119,8.594686
1616778724491623002,1616778724493883288,9.89046
1616778724591958113,1616778724593084230,8.979874
1616778724692263861,1616778724693372086,8.857939
1616778724792557011,1616778724796517578,11.615528
1616778724892730857,1616778724893796297,8.736515
1616778724992921325,1616778724993852750,8.546327
1616778725093143652,1616778725094160906,8.873718
1616778725193449601,1616778725194523263,8.61093
1616778725293483876,1616778725294584816,8.74186
1616778725393676106,1616778725394866472,8.785242
1616778725493883738,1616778725494945026,8.656412
1616778725594002386,1616778725595153481,8.626411
1616778725694050834,1616778725695005231,8.524115
1616778725794324833,1616778725795438489,8.755859
1616778725894519898,1616778725895568443,8.833487
1616778725994773165,1616778725995755598,8.579597
1616778726094785092,1616778726095842052,8.552486
1616778726194999235,1616778726196096807,8.586834
1616778726295216404,1616778726296234571,8.782527
1616778726395422085,1616778726396523738,8.742037
1616778726495609554,1616778726497821418,9.776665
1616778726595806622,1616778726596724568,8.49905
1616778726696018847,1616778726696958734,8.533716
1616778726796229400,1616778726797213800,8.573886
