#client-send-timestamp,server-timestamp,e2e-rtt
1616782137788387668,1616782137807506330,28.724008
1616782137988752427,1616782138006539136,27.227806
1616782138189146249,1616782138206866865,27.029010
1616782138289325045,1616782138307818444,27.978679
1616782138489874501,1616782138507026953,26.720152
1616782138690199110,1616782138710268513,29.544261
1616782138790215049,1616782138808850320,28.073620
1616782138890522698,1616782138909353962,28.453926
1616782138990797068,1616782139008689183,27.575901
1616782139191033646,1616782139209586365,28.404520
1616782139291273412,1616782139310638618,28.948966
1616782139491832890,1616782139510009072,27.573037
1616782139592045029,1616782139610242709,27.525063
1616782139692255281,1616782139710703851,28.049052
1616782139892767952,1616782139912052642,28.810311
1616782139992974490,1616782140011088257,27.639181
1616782140493897941,1616782140513134959,28.667184
1616782140593969555,1616782140612653784,28.108514
1616782140694246974,1616782140714272446,29.427945
1616782140995086270,1616782141013924639,28.210449
1616782141095290533,1616782141113023955,27.095732
1616782141496123623,1616782141513775601,27.133945
1616782141696430143,1616782141714802086,27.843130
1616782141896897763,1616782141914575748,27.174053
1616782141997112874,1616782142014472279,26.696066
1616782142197289592,1616782142215363261,27.609573
1616782142698444696,1616782142718811889,29.796664
1616782142898846855,1616782142917448630,28.046115
1616782142999065050,1616782143017429163,27.941301
1616782143299857580,1616782143317616766,27.147125
1616782143600311550,1616782143618203575,27.269391
1616782143700536163,1616782143720443049,29.534035
1616782143800710852,1616782143820916991,29.653063
1616782143900753970,1616782143920483316,29.089426
1616782144101075889,1616782144119325661,27.603989
1616782145003036639,1616782145025381669,31.904104
1616782145103336864,1616782145122278445,28.385800
1616782145203594090,1616782145226511556,32.530124
1616782145704740067,1616782145723088558,27.917400
1616782146005221439,1616782146022395544,26.506926
1616782146205701348,1616782146227645506,31.350335
1616782146606732949,1616782146624213270,26.843686
1616782146706946131,1616782146725466191,28.187874
1616782146907255187,1616782146925343286,27.385125
1616782147608468220,1616782147626549595,27.262944
1616782147808976496,1616782147827009000,27.310431
1616782148009365332,1616782148028688127,28.997078
1616782148109743299,1616782148128634524,28.389734
1616782148310285423,1616782148329079929,28.193983
1616782148510875863,1616782148530379249,28.927962
1616782148711364505,1616782148728721816,26.917055
1616782148811654864,1616782148830294842,28.282682
1616782149513070372,1616782149531428151,27.651834
1616782150013688491,1616782150032407360,28.093316
1616782150113897853,1616782150132088953,27.808530
1616782150214173499,1616782150233235871,28.399946
1616782150314367893,1616782150331656741,26.866770
1616782150514724774,1616782150532417952,27.174791
1616782150715144270,1616782150733187162,27.384325
1616782150815423680,1616782150835768507,29.903662
1616782150915766553,1616782150934587784,28.454542
1616782151216379185,1616782151234819883,27.856299
1616782151416727990,1616782151435160186,27.916928
1616782151517087934,1616782151534975581,27.238883
1616782151717570942,1616782151736453304,28.417446
1616782151917972366,1616782151936675404,28.232106
1616782152018265113,1616782152037836724,29.000794
1616782152118473804,1616782152142788611,33.917534
1616782152418830963,1616782152436877300,27.876265
1616782152819770678,1616782152838252217,28.002032
1616782153020116983,1616782153041898880,31.227301
1616782153220538958,1616782153239024125,27.828140
1616782153420892596,1616782153438447711,26.730982
1616782153521096069,1616782153538543411,26.969590
1616782153721569130,1616782153739637127,27.619137
1616782153821834720,1616782153842857883,30.534554
1616782153922039762,1616782153939799227,27.147535
1616782154022248273,1616782154039491619,26.457878
1616782154122463715,1616782154142153066,29.065007
1616782154222670797,1616782154240650837,27.438547
1616782154322883321,1616782154341483250,27.958251
1616782154423252362,1616782154441873655,28.313192
1616782154523477795,1616782154541744651,27.764496
1616782154623664294,1616782154641920653,27.633112
1616782155024348490,1616782155042721460,27.733046
1616782155224763460,1616782155243010262,27.924825
1616782155325051738,1616782155343166063,27.477294
1616782156127090646,1616782156145125285,27.698143
1616782156427625982,1616782156446566306,28.287866
1616782156828655347,1616782156845918487,26.795685
1616782157129220890,1616782157147924518,28.216301
1616782157329635458,1616782157349231138,29.009808
1616782157630471966,1616782157649642540,28.735652
1616782157730630174,1616782157751018563,30.351407
1616782157830792683,1616782157851140764,29.933693
1616782157931116248,1616782157952829693,31.192899
1616782158231626516,1616782158250273241,28.085225
1616782158331842444,1616782158351315058,28.874026
1616782158432191953,1616782158450899249,28.060905
1616782158532369438,1616782158549623425,26.766911
1616782158832918484,1616782158851612955,27.991960
1616782159133726883,1616782159151225743,26.823968
1616782159233973084,1616782159252847071,28.126119
1616782159334151334,1616782159352589764,27.774848
1616782159634739766,1616782159652377055,26.879684
1616782159734811585,1616782159752703859,27.285365
1616782160235761201,1616782160255151695,28.725957
1616782160335853647,1616782160359106364,32.790441
1616782160536287062,1616782160555920204,28.995855
1616782160836894071,1616782160856851515,29.330501
1616782161037364505,1616782161055956796,28.049876
1616782161137591684,1616782161154498868,26.238757
