#client-send-timestamp,server-timestamp,e2e-rtt
1616781056343047016,1616781056374380946,40.675088
1616781056443126386,1616781056471958564,38.265346
1616781056743559281,1616781056777471142,43.440112
1616781057044150586,1616781057077861929,43.228145
1616781057144307292,1616781057175283544,40.385548
1616781057344742085,1616781057376563127,41.662067
1616781057444821631,1616781057477734471,42.581905
1616781057745578552,1616781057779574674,43.630752
1616781057845607627,1616781057878904187,43.084579
1616781057945912684,1616781057982260868,46.064153
1616781058447005445,1616781058478596025,40.940975
1616781058647556516,1616781058681357120,43.402794
1616781058747847354,1616781058780418728,42.298155
1616781059148791288,1616781059187925953,48.909123
1616781059650012846,1616781059683492097,43.288568
1616781059850445941,1616781059884501762,46.548075
1616781059950464358,1616781059985799108,45.354834
1616781060050743451,1616781060084145704,43.140746
1616781060451953460,1616781060484706209,42.179878
1616781060552161519,1616781060587230176,45.925939
1616781060652375286,1616781060685483970,42.637299
1616781060953055717,1616781060985611844,42.284762
1616781061153420432,1616781061187690428,43.606083
1616781061353862915,1616781061386577457,42.367440
1616781061454064378,1616781061486648182,42.209998
1616781061654496137,1616781061689068871,44.215407
1616781061854850343,1616781061886135369,40.965455
1616781062155423900,1616781062189248194,43.613369
1616781062355768279,1616781062389632148,43.619136
1616781062455844858,1616781062487075328,41.042938
1616781062856784178,1616781062889833772,42.611274
1616781063157448802,1616781063191669375,43.512021
1616781063558131986,1616781063591293664,42.565772
1616781063758624071,1616781063793641553,45.576856
1616781063858662717,1616781063890763527,41.523086
1616781064159222511,1616781064190965502,41.501035
1616781064259433114,1616781064289823106,40.059821
1616781064359642483,1616781064390952650,41.071364
1616781064560078557,1616781064594554360,43.953481
1616781064660268083,1616781064691903938,41.255330
1616781064760488524,1616781064791423054,43.347441
1616781064860734138,1616781064892540097,41.267794
1616781064960945424,1616781064994284651,42.914228
1616781065061158002,1616781065093226357,41.717035
1616781065161355026,1616781065195270616,43.599311
1616781065562045033,1616781065595317632,42.710606
1616781065662072645,1616781065698368169,45.888416
1616781065862425053,1616781065893925555,42.019612
1616781066062766925,1616781066096539666,43.963169
1616781066263186420,1616781066299390882,45.590409
1616781066964362494,1616781066997655429,42.975466
1616781067064602253,1616781067100775867,45.812354
1616781067465263413,1616781067497969147,42.299638
1616781067866044360,1616781067896639653,40.053627
1616781068166694623,1616781068201310984,44.301503
1616781068567398208,1616781068601052710,43.392076
1616781068667597628,1616781068698878053,40.533046
1616781068867952474,1616781068900609449,42.319238
1616781069168558703,1616781069204561967,45.716478
1616781069368843283,1616781069401131171,41.512981
1616781069569331363,1616781069601914050,42.511384
1616781069870105780,1616781069902830214,42.376885
1616781070070523115,1616781070101312352,40.396620
1616781070571677191,1616781070604355419,42.343756
1616781070671973436,1616781070706556641,43.945522
1616781070872480988,1616781070905055979,42.227020
1616781071072987243,1616781071106966178,43.711668
1616781071173189927,1616781071206245448,42.737868
1616781071473740346,1616781071505076974,40.870447
1616781071774351611,1616781071808248978,43.573251
1616781072074822001,1616781072108677734,43.247479
1616781072575986731,1616781072609735265,43.498002
1616781072676176907,1616781072709144737,42.555298
1616781072876646471,1616781072915585117,48.497561
1616781072976721047,1616781073009314788,42.867637
1616781073177246855,1616781073208120131,40.467363
1616781073477869158,1616781073509161646,41.257689
1616781073578081836,1616781073611806830,43.463199
1616781073678295261,1616781073711099353,42.389735
1616781073878718819,1616781073915137199,46.232940
1616781074079129778,1616781074113521940,44.087857
1616781074179286473,1616781074211271635,41.596173
1616781074379880590,1616781074412768233,42.431817
1616781074479987201,1616781074513963491,43.727251
1616781074580180812,1616781074612836006,42.123986
1616781074980902509,1616781075014482579,43.366610
1616781075081197728,1616781075115380931,43.910162
1616781075181545034,1616781075217992115,46.403558
1616781075482189135,1616781075516357592,43.955312
1616781075582375763,1616781075617077341,44.276685
1616781075782829187,1616781075817536520,44.216199
1616781076083474102,1616781076117187521,43.403891
1616781076183693745,1616781076216173338,42.029301
1616781076384216221,1616781076416439014,41.759674
1616781076484460635,1616781076516748056,41.889715
