client-send-timestamp,server-timestamp,e2e-rtt
1622128294326909338,1622128294343460718,18.608760
1622128294377838881,1622128294388075470,12.570674
1622128294428713456,1622128294435532536,9.265334
1622128294479283807,1622128294486861900,9.647000
1622128294530287495,1622128294537555269,9.250233
1622128294580822930,1622128294588529237,9.763527
1622128294630851044,1622128294638816161,9.855409
1622128294681288377,1622128294688148927,8.770987
1622128294731529533,1622128294738671725,9.498794
1622128294782285437,1622128294790369330,10.028873
1622128294833378317,1622128294839695690,8.207889
1622128294883496259,1622128294890896131,9.724536
1622128294933773372,1622128294940392652,8.569755
1622128294984222990,1622128294990799477,8.575641
1622128295034979786,1622128295042858065,9.987840
1622128295085955062,1622128295093199008,9.314393
1622128295136288127,1622128295142858526,8.674014
1622128295187292677,1622128295193959155,8.707381
1622128295237390490,1622128295243873672,9.073261
1622128295287449767,1622128295293859818,9.326102
1622128295338136811,1622128295344667523,8.502908
1622128295388970971,1622128295396420198,9.616847
1622128295439710377,1622128295445886824,8.501524
1622128295490258297,1622128295496915549,8.660192
1622128295541043075,1622128295547271868,8.424874
1622128295591873089,1622128295598239413,9.464789
1622128295642720373,1622128295649350804,9.038832
1622128295693734077,1622128295700066464,9.281657
1622128295744128442,1622128295751029899,9.285823
1622128295795176040,1622128295802766032,10.575425
1622128295845389685,1622128295851754555,8.383316
1622128295895713541,1622128295902163951,8.245967
1622128295946276002,1622128295953647940,9.871702
1622128295997282071,1622128296003695229,9.572670
1622128296048099595,1622128296055645538,9.653831
1622128296098609341,1622128296105743094,9.305611
1622128296149358568,1622128296155646603,8.571919
1622128296200207789,1622128296207596930,10.032185
1622128296250565600,1622128296257642097,10.479415
1622128296301237827,1622128296308050120,8.822534
1622128296351999379,1622128296358966836,9.023651
1622128296403023211,1622128296409398389,8.438337
1622128296453373698,1622128296459945686,8.480336
1622128296503542364,1622128296510902993,9.449686
1622128296553874158,1622128296560737747,9.624982
1622128296604631259,1622128296610786507,8.545346
1622128296655419219,1622128296662056189,8.738668
1622128296705988529,1622128296712425526,8.793537
1622128296756943065,1622128296763408844,8.615815
1622128296807723525,1622128296814138743,8.976098
1622128296858799503,1622128296865116899,8.680771
1622128296909655262,1622128296916320422,9.037196
1622128296959986186,1622128296966682567,8.714802
1622128297010890807,1622128297018625195,9.740151
1622128297061865190,1622128297068754335,9.061555
1622128297112591318,1622128297119712880,11.136776
1622128297163469004,1622128297172161837,10.629884
1622128297213954760,1622128297222001869,10.893479
1622128297264717445,1622128297270976665,8.180255
1622128297315106646,1622128297321441125,8.342581
1622128297365632980,1622128297371842156,8.234574
1622128297416266129,1622128297422411771,8.194532
1622128297466630726,1622128297473861807,9.420568
1622128297517348800,1622128297523757684,8.298971
1622128297567725471,1622128297574238222,8.604202
1622128297618489416,1622128297626104392,9.526256
1622128297669270280,1622128297676174589,8.975372
1622128297719586965,1622128297727017537,9.596962
1622128297770516588,1622128297777447036,9.181250
1622128297821067341,1622128297827456091,9.645464
1622128297871771814,1622128297877937453,8.247566
1622128297921855819,1622128297928043774,8.573724
1622128297972198583,1622128297978988148,9.436714
1622128298022883922,1622128298029027235,8.150707
1622128298073166260,1622128298082389402,11.844376
1622128298123699245,1622128298130393131,8.907232
1622128298174725500,1622128298181831918,9.244892
1622128298225420438,1622128298234035895,10.619429
1622128298276394726,1622128298283878068,10.818911
1622128298326439383,1622128298332971012,9.761117
1622128298377504006,1622128298383883656,8.534500
1622128298427849272,1622128298439639386,14.013531
