#client-send-timestamp,server-timestamp,e2e-rtt
1622127612007915734,1622127612009688931,3.480035
1622127612058705351,1622127612060634718,3.758266
1622127612109745205,1622127612111345561,3.350538
1622127612160367329,1622127612161892074,3.203633
1622127612210871175,1622127612212425275,3.251652
1622127612261385595,1622127612262859480,3.193468
1622127612311857506,1622127612313425861,3.348254
1622127612362531179,1622127612364117179,3.259264
1622127612413054769,1622127612414552735,3.176697
1622127612463527724,1622127612465080982,3.177922
1622127612514014588,1622127612515551243,3.168114
1622127612564462526,1622127612566302082,3.563551
1622127612615318086,1622127612616831405,3.123679
1622127612665701161,1622127612667177281,3.101676
1622127612716064024,1622127612717550748,3.145628
1622127612766466499,1622127612767975995,3.229832
1622127612816976779,1622127612818427834,3.036712
1622127612867259146,1622127612868771445,3.268565
1622127612917854190,1622127612919305745,3.104975
1622127612968215345,1622127612969735885,3.320367
1622127613018793841,1622127613020251052,3.168075
1622127613069252413,1622127613070769317,3.298295
1622127613119796001,1622127613121245535,3.124415
1622127613170140095,1622127613171592520,3.106452
1622127613220515101,1622127613222277403,3.402642
1622127613271196433,1622127613272697496,3.140792
1622127613321600081,1622127613323218703,3.233642
1622127613372079278,1622127613373766495,3.409426
1622127613422767550,1622127613424250357,3.189188
1622127613473245697,1622127613474715108,3.149376
1622127613523699976,1622127613525342115,3.433739
1622127613574462229,1622127613575971562,3.295763
1622127613625060156,1622127613626613553,3.345499
1622127613675759829,1622127613677259278,3.496835
1622127613726656818,1622127613728103324,3.153292
1622127613777135110,1622127613778662035,3.389089
1622127613827910659,1622127613829654134,3.456713
1622127613878639864,1622127613880115635,3.167491
1622127613929077459,1622127613930545876,3.108559
1622127613979473030,1622127613981117419,3.42065
1622127614030245476,1622127614031825561,3.300992
1622127614080838726,1622127614082419785,3.188287
1622127614131260322,1622127614132723344,3.708203
1622127614182365261,1622127614183853677,3.258293
1622127614232906678,1622127614234472790,3.307814
1622127614283546689,1622127614285603497,3.800932
1622127614333596809,1622127614335053719,3.19515
1622127614384060348,1622127614385529634,3.181966
1622127614434518017,1622127614436270622,3.476562
1622127614485338398,1622127614486799962,3.428535
1622127614536048062,1622127614537502711,3.215836
1622127614586574759,1622127614589392410,4.465945
1622127614637416585,1622127614638912532,3.19402
1622127614687896094,1622127614689606734,3.524683
1622127614738783462,1622127614740289090,3.190433
1622127614789257124,1622127614790716920,3.129009
1622127614839697190,1622127614841139930,3.22439
1622127614890215039,1622127614891659825,3.162608
1622127614940659509,1622127614942113932,3.12698
1622127614991079717,1622127614992538040,3.202841
1622127615041612043,1622127615043288851,3.558237
1622127615092505693,1622127615094075153,3.253968
1622127615143093913,1622127615144731806,3.40736
1622127615193894700,1622127615195608591,3.402275
1622127615244579979,1622127615246077975,3.36028
1622127615295281884,1622127615296734096,3.221265
1622127615345891498,1622127615347427875,3.250702
1622127615396417784,1622127615397866216,3.250123
1622127615446970905,1622127615449491476,4.290928
1622127615497676084,1622127615499544112,3.63987
1622127615548614872,1622127615550259073,3.304874
1622127615599217539,1622127615600725663,3.290205
1622127615649909174,1622127615651577690,3.526314
1622127615700728092,1622127615702185025,3.136661
1622127615751217664,1622127615752663780,3.265032
1622127615801746423,1622127615803235239,3.226352
1622127615852250730,1622127615853693832,3.240265
1622127615902777652,1622127615904374265,3.313899
1622127615953366745,1622127615955648954,3.975159
1622127616003611891,1622127616005149040,3.991896
1622127616053880093,1622127616055512779,3.345205
1622127616104522101,1622127616106023218,3.200858
1622127616155124118,1622127616156571181,3.109811
1622127616205609573,1622127616207098135,3.191983
1622127616256107124,1622127616257588224,3.120373
1622127616306463351,1622127616307959703,3.197917
1622127616356915353,1622127616358553007,3.296787
1622127616407483255,1622127616408977945,3.229909
1622127616457994126,1622127616460219250,4.821638
1622127616508020560,1622127616509635673,3.345224
1622127616558647919,1622127616560140091,3.175238
1622127616609107760,1622127616610912029,3.588535
1622127616660104816,1622127616661926914,3.482556
1622127616710993248,1622127616712496448,3.345993
1622127616761689389,1622127616763235942,3.247235
1622127616812238899,1622127616813712552,3.207087
1622127616862788783,1622127616864305544,3.208412
1622127616913330726,1622127616914771709,3.125487
1622127616963740271,1622127616965223969,3.203072
1622127617014356869,1622127617015931558,3.449756
1622127617065092582,1622127617066617445,3.258168
1622127617115691918,1622127617117278019,3.248979
1622127617166195065,1622127617167647146,3.151909
1622127617216667701,1622127617218337009,3.394263
1622127617267358882,1622127617268874190,3.358789
1622127617318005468,1622127617320108725,3.8553
1622127617368074386,1622127617369560629,3.253241
1622127617418644601,1622127617420309829,3.352131
1622127617469402737,1622127617470897785,3.272548
1622127617519951570,1622127617521415465,3.193268
1622127617570453724,1622127617572221940,3.449819
1622127617621263465,1622127617623029440,3.556615
1622127617672118050,1622127617673653012,3.221751
1622127617722664836,1622127617724168867,3.192318
1622127617773155009,1622127617774728696,3.351685
1622127617823845362,1622127617825518438,3.448852
1622127617874593006,1622127617876047958,3.22137
1622127617925102751,1622127617926601380,3.193436
1622127617975647996,1622127617977164094,3.26276
1622127618026194131,1622127618027754291,3.311624
1622127618076819797,1622127618078390285,3.283015
1622127618127397342,1622127618128978173,3.42757
1622127618178122146,1622127618179622796,3.296811
1622127618228720221,1622127618230198935,3.218721
1622127618279227636,1622127618280873676,3.375955
1622127618329962256,1622127618331418888,3.194128
1622127618380425268,1622127618381923389,3.330839
1622127618431166129,1622127618432642587,3.184306
1622127618481610192,1622127618483209691,3.297858
1622127618532203088,1622127618533649203,3.194882
1622127618582768861,1622127618584282660,3.148943
1622127618633219321,1622127618634714442,3.315916
1622127618683857462,1622127618685315782,3.104494
1622127618734250245,1622127618735760897,3.207573
1622127618784731042,1622127618786227995,3.262549
1622127618835306052,1622127618836770987,3.145691
1622127618885853685,1622127618887449458,3.378136
1622127618936562813,1622127618938005430,3.174711
1622127618987152478,1622127618988698465,3.242806
1622127619037664887,1622127619039786113,4.162725
1622127619088185345,1622127619089854510,3.337978
1622127619138812239,1622127619140874229,3.720548
1622127619189819526,1622127619192793434,4.693697
1622127619240861000,1622127619242377632,3.266759
1622127619291397490,1622127619292904990,3.254466
1622127619342049728,1622127619343843777,3.475868
1622127619392828425,1622127619395321718,4.153937
1622127619443324477,1622127619445405143,3.893001
1622127619493474228,1622127619494978431,3.230717
1622127619544003581,1622127619545951439,3.634143
1622127619594924341,1622127619596500316,3.277262
1622127619645491037,1622127619646945656,3.157615
1622127619695918663,1622127619697361226,3.098736
1622127619746326043,1622127619748410110,3.711453
1622127619797378416,1622127619798938498,3.379846
1622127619848037214,1622127619849808307,3.478496
1622127619898784619,1622127619900423655,3.276341
1622127619949320747,1622127619950781013,3.202906
1622127619999804369,1622127620001311120,3.167676
1622127620050295179,1622127620051798823,3.167279
1622127620100733792,1622127620102179387,3.098861
1622127620151200328,1622127620152896924,3.436828
1622127620201902419,1622127620203392097,3.138331
1622127620252323202,1622127620253813385,3.142424
1622127620302731599,1622127620304317021,3.332804
1622127620353330086,1622127620354845078,3.21441
1622127620403942723,1622127620405453970,3.280059
1622127620454659267,1622127620456123474,4.080551
1622127620505027946,1622127620506502264,3.204701
1622127620555565863,1622127620557106445,3.37408
1622127620606277117,1622127620607777059,3.331292
1622127620656896859,1622127620658406081,3.396309
1622127620707630441,1622127620709040796,3.135216
1622127620758150252,1622127620759644071,3.194935
1622127620808618032,1622127620810404177,3.487258
1622127620859416925,1622127620860929466,3.199951
1622127620909971416,1622127620911789704,3.601536
1622127620960923003,1622127620962616515,3.442234
1622127621011643759,1622127621013170611,3.659802
1622127621062590635,1622127621064077883,3.215895
1622127621113148401,1622127621114637786,3.740446
1622127621163178719,1622127621164712089,3.268669
1622127621213784842,1622127621215234156,3.216602
1622127621264346044,1622127621265873417,3.219882
1622127621314954659,1622127621316595643,3.339004
1622127621365688509,1622127621367191720,3.199426
1622127621416254531,1622127621418023240,3.509222
1622127621467081635,1622127621468573941,3.148141
1622127621517522309,1622127621519012122,3.207107
1622127621568030605,1622127621569554537,3.230028
1622127621618550572,1622127621620056296,3.332208
1622127621669279349,1622127621670773976,3.223567
