#client-send-timestamp,server-timestamp,e2e-rtt
1616989270019483495,1616989270023194558,4.21229
1616989270029694259,1616989270032313274,3.034296
1616989270039872748,1616989270042367993,2.948718
1616989270050073428,1616989270052256405,2.605935
1616989270060247504,1616989270062313436,2.419063
1616989270070417189,1616989270072423436,2.38733
1616989270080580854,1616989270082642771,2.471464
1616989270090703117,1616989270092929001,2.683334
1616989270100920630,1616989270103045217,2.53248
1616989270111141632,1616989270113102295,2.379919
1616989270121362151,1616989270123236951,2.248102
1616989270131567541,1616989270133567612,2.44243
1616989270141723686,1616989270143635053,2.3542
1616989270151946428,1616989270153862942,2.318394
1616989270162198498,1616989270164244583,2.458253
1616989270172427899,1616989270174799222,2.844537
1616989270182476421,1616989270184504713,2.475644
1616989270192697471,1616989270194427633,2.134965
1616989270202866013,1616989270204577088,2.10999
1616989270213038650,1616989270214734984,2.118646
1616989270223273687,1616989270225123843,2.502399
1616989270233447868,1616989270237649581,4.577468
1616989270243503993,1616989270245121579,2.003154
1616989270253620214,1616989270255407865,2.194529
1616989270263736433,1616989270265302002,1.931604
1616989270273839157,1616989270275536082,2.040744
1616989270283941928,1616989270285891341,2.331313
1616989270294039294,1616989270295558193,1.967375
1616989270304143734,1616989270305709011,1.921932
1616989270314239727,1616989270315967196,2.169502
1616989270324452537,1616989270325966391,1.887862
1616989270334560375,1616989270336709168,2.525305
1616989270344649586,1616989270346179287,1.856641
1616989270354758941,1616989270356330416,1.926333
1616989270364859070,1616989270366710832,2.21815
1616989270374956154,1616989270376294757,1.702201
1616989270385108840,1616989270386602364,2.402148
1616989270395201391,1616989270396555064,1.702532
1616989270405426699,1616989270407049499,2.257923
1616989270415522953,1616989270417071636,1.90154
1616989270425676291,1616989270427180642,1.857464
1616989270435848256,1616989270437343402,1.814622
1616989270446009514,1616989270447718084,2.075272
1616989270456227835,1616989270457640754,1.718285
1616989270466378336,1616989270467822314,1.7643
1616989270476532574,1616989270477875314,1.694463
1616989270486632007,1616989270487938307,1.663092
1616989270496840584,1616989270498355726,1.875401
1616989270507056561,1616989270508424027,1.764013
1616989270517105270,1616989270519506097,2.838474
1616989270527267201,1616989270528817191,1.926234
1616989270537369524,1616989270538815510,1.790403
1616989270547427370,1616989270548938061,1.887107
1616989270557602950,1616989270559152923,1.950443
1616989270567831665,1616989270569304988,1.843464
1616989270577932641,1616989270579711685,2.123465
