#client-send-timestamp,server-timestamp,e2e-rtt
1616997650823736665,1616997650824752342,1.48638
1616997650833952896,1616997650834764653,1.111223
1616997650844170714,1616997650844968018,1.071006
1616997650854292675,1616997650855106392,1.136276
1616997650864528559,1616997650865321967,1.084122
1616997650874650088,1616997650875500558,1.165377
1616997650884887536,1616997650885740141,1.202942
1616997650895103987,1616997650895928698,1.183905
1616997650905330854,1616997650906070094,1.094911
1616997650915557830,1616997650916328488,1.08445
1616997650925782924,1616997650926601442,1.106177
1616997650936010292,1616997650936758301,1.032856
1616997650946183410,1616997650946936159,1.039143
1616997650956408639,1616997650957126883,1.016969
1616997650966632324,1616997650967369575,1.072654
1616997650976867380,1616997650977729201,1.166383
1616997650987088377,1616997650987909562,1.156817
1616997650997253243,1616997650998054104,1.042809
1616997651007412312,1616997651008278537,1.226827
1616997651017634691,1616997651018413772,1.075951
1616997651027857598,1616997651028630754,1.110386
1616997651038209031,1616997651039014047,1.114016
1616997651048437617,1616997651049177466,1.016038
1616997651058610831,1616997651059460515,1.135147
1616997651068828928,1616997651069539462,0.959507
1616997651079065404,1616997651079819022,1.109759
1616997651089285893,1616997651090092302,1.07236
1616997651099499830,1616997651100260887,1.029636
1616997651109723262,1616997651110512217,1.03772
1616997651119957601,1616997651120750072,1.056806
1616997651130156862,1616997651130967254,1.077266
1616997651140381333,1616997651141118687,1.005983
1616997651150503544,1616997651151268706,1.0908
1616997651160727036,1616997651161475061,1.021528
1616997651170895799,1616997651171763778,1.137873
1616997651181119785,1616997651181893589,1.036076
1616997651191340911,1616997651192135498,1.08171
1616997651201574465,1616997651202385175,1.122322
1616997651211795650,1616997651212591867,1.090644
1616997651222017352,1616997651222790329,1.017549
1616997651232237082,1616997651233038029,1.033868
1616997651242354163,1616997651243147353,1.066105
1616997651252515449,1616997651253318806,1.099538
1616997651262635678,1616997651263500758,1.197564
1616997651272853718,1616997651273585680,0.978307
1616997651282969589,1616997651283700536,0.998611
1616997651293099927,1616997651293907161,1.072573
1616997651303235779,1616997651304082897,1.094453
1616997651313448056,1616997651314237842,1.038281
1616997651323615087,1616997651324454661,1.100826
1616997651333781470,1616997651334638084,1.082435
1616997651343955249,1616997651344732267,1.038261
1616997651354209344,1616997651354998697,1.066822
1616997651364425562,1616997651365273485,1.095115
1616997651374589923,1616997651375323088,0.979629
1616997651384803408,1616997651385648667,1.132798
1616997651394905956,1616997651395743147,1.104031
1616997651405123197,1616997651405904321,1.057345
1616997651415289608,1616997651416182489,1.160009
1616997651425416326,1616997651426176734,1.028425
1616997651435632202,1616997651436435674,1.090794
1616997651445867140,1616997651446726230,1.195457
1616997651456112525,1616997651456830794,0.988461
1616997651466234576,1616997651466925609,0.965004
1616997651476405973,1616997651477089449,0.919983
1616997651486522254,1616997651487232363,1.042123
1616997651496704101,1616997651497480258,1.107963
1616997651506819904,1616997651507597440,1.093975
1616997651516994381,1616997651517819615,1.16867
1616997651527182508,1616997651528016082,1.159832
1616997651537400863,1616997651538260334,1.199
1616997651547588084,1616997651548462278,1.204091
1616997651557769927,1616997651558618258,1.16719
1616997651567888409,1616997651568759356,1.211152
1616997651578003362,1616997651578828282,1.159479
1616997651588113142,1616997651588890511,1.107516
1616997651598231165,1616997651599055338,1.156157
1616997651608327452,1616997651609084436,1.086521
1616997651618443994,1616997651619188659,1.087626
1616997651628560729,1616997651630029304,2.025292
1616997651638667013,1616997651639476093,1.141716
1616997651648856202,1616997651649711788,1.225812
1616997651659039071,1616997651659861096,1.159885
1616997651669211572,1616997651670318226,1.443384
1616997651679327153,1616997651679992020,0.922586
1616997651689499517,1616997651690184229,0.986405
1616997651699598276,1616997651700305583,1.053014
1616997651709771530,1616997651710560937,1.122771
1616997651719955007,1616997651720715273,1.084168
1616997651730139540,1616997651730887157,1.068906
1616997651740370741,1616997651741123079,0.99589
1616997651750532646,1616997651751369629,1.184119
1616997651760699652,1616997651761557382,1.139143
1616997651770867134,1616997651771628621,1.114983
1616997651780986474,1616997651781831794,1.162993
1616997651791143897,1616997651791824881,0.931467
1616997651801359154,1616997651802022213,0.950733
1616997651811574479,1616997651812310569,1.072247
1616997651821795576,1616997651822524261,1.025888
1616997651832027490,1616997651832751802,1.079722
1616997651842227347,1616997651843028350,1.268934
1616997651852349114,1616997651853051543,1.00042
1616997651862519036,1616997651863287997,1.090287
1616997651872751290,1616997651873487248,1.049684
1616997651882919304,1616997651883702162,1.126056
1616997651893139450,1616997651893861621,1.033299
1616997651903358496,1616997651904075821,1.04151
1616997651913593170,1616997651914390224,1.129208
1616997651923810455,1616997651924686332,1.225213
1616997651934036368,1616997651934979141,1.32516
1616997651944260855,1616997651945062226,1.109197
1616997651954436761,1616997651955155312,1.029915
1616997651964602796,1616997651965374520,1.039264
1616997651974773055,1616997651975503221,0.976652
1616997651984992941,1616997651985808216,1.098645
1616997651995145792,1616997651995954570,1.095199
1616997652005320708,1616997652006138130,1.100567
1616997652015539679,1616997652016233196,0.944181
1616997652025763556,1616997652026573602,1.064285
1616997652035950612,1616997652036647244,0.94784
1616997652046146756,1616997652046886667,1.011575
1616997652056317344,1616997652057110744,1.062242
1616997652066456549,1616997652067201616,1.083912
1616997652076681231,1616997652077409871,0.979548
1616997652086851219,1616997652087579581,0.97342
1616997652097073477,1616997652097828737,1.0842
1616997652107288035,1616997652108173065,1.193059
1616997652117522205,1616997652118289598,1.145702
1616997652127740942,1616997652128517957,1.113478
1616997652137994612,1616997652138837658,3.079849
1616997652148095904,1616997652148992399,1.232993
1616997652158223711,1616997652159041310,1.096528
1616997652168381444,1616997652169264162,1.254667
1616997652178502931,1616997652179246966,1.033889
1616997652188660409,1616997652189542242,1.208147
1616997652198778642,1616997652199535546,1.032652
1616997652209011923,1616997652209766574,0.993684
1616997652219114418,1616997652219868501,1.005814
1616997652229331221,1616997652230056321,0.992936
1616997652239429489,1616997652240252836,1.096367
1616997652249530677,1616997652250246171,0.965605
1616997652259633449,1616997652260395654,1.039123
1616997652269856430,1616997652270672907,1.084123
1616997652280026569,1616997652280784610,1.032296
1616997652290191036,1616997652290919296,0.969168
1616997652300414215,1616997652301179034,1.071406
1616997652310537436,1616997652311315715,1.054437
1616997652320691882,1616997652321434875,1.035642
1616997652330848013,1616997652331557769,0.989632
1616997652341073848,1616997652341903637,1.089113
1616997652351292773,1616997652351982803,0.931247
1616997652361462982,1616997652362155270,0.964417
1616997652371690787,1616997652372366381,0.938163
1616997652381926212,1616997652382699986,1.040016
1616997652392081363,1616997652392869207,1.060247
1616997652402229925,1616997652402907479,0.914349
1616997652412450217,1616997652413202576,1.008233
1616997652422550527,1616997652423215286,0.921587
1616997652432768432,1616997652433494444,0.966746
1616997652442983194,1616997652444044327,1.520634
1616997652453155292,1616997652453946167,1.046341
1616997652463254439,1616997652464022600,1.101952
1616997652473279129,1616997652474103807,1.114622
1616997652483328247,1616997652484040903,0.954951
1616997652493557804,1616997652494211270,0.914487
1616997652503754031,1616997652504379821,0.871197
1616997652513970246,1616997652514686634,0.966516
1616997652524196832,1616997652524910491,0.977029
1616997652534372379,1616997652535072203,0.916641
1616997652544595137,1616997652545269285,0.959754
1616997652554749606,1616997652555438596,0.937802
1616997652564968996,1616997652565735043,1.122782
1616997652575203955,1616997652575903367,1.005764
1616997652585313347,1616997652586000658,0.990201
1616997652595541918,1616997652596267421,1.04359
1616997652605721786,1616997652606569347,1.181048
1616997652615956937,1616997652616699087,0.999657
1616997652626157597,1616997652626902415,1.0632
1616997652636325753,1616997652637033537,1.004942
1616997652646504830,1616997652647234018,1.04994
