#client-send-timestamp,server-timestamp,e2e-rtt
1616967929208635119,1616967929209259541,1.257754
1616967929218807322,1616967929219187794,0.96903
1616967929229000681,1616967929229428813,1.013563
1616967929239214613,1616967929239714131,1.130923
1616967929249459525,1616967929249898936,1.060084
1616967929259681766,1616967929260076575,0.961658
1616967929269909448,1616967929270311715,1.016044
1616967929280125650,1616967929280514321,1.008804
1616967929290299574,1616967929290721323,1.055194
1616967929300470072,1616967929300849296,1.042419
1616967929310694659,1616967929311100900,0.991082
1616967929320930472,1616967929321345963,1.062223
1616967929331101706,1616967929331483312,1.008617
1616967929341335989,1616967929341723383,1.12505
1616967929351558910,1616967929352007101,1.087994
1616967929361784719,1616967929362191735,1.057488
1616967929372006803,1616967929372382296,0.990626
1616967929382224208,1616967929382660883,1.072862
1616967929392453109,1616967929392830135,1.018227
1616967929402621539,1616967929402974889,0.9351
1616967929412839149,1616967929413331748,1.132995
1616967929423068751,1616967929423464749,1.013095
1616967929433290331,1616967929433639458,0.92892
1616967929443510452,1616967929443837131,0.952889
1616967929453740755,1616967929454075288,0.910976
1616967929463992218,1616967929464319666,0.966945
1616967929474229114,1616967929474611090,0.927982
1616967929484442285,1616967929484927703,1.169296
1616967929494561499,1616967929494958106,0.950866
1616967929504782938,1616967929505430398,1.362568
1616967929515018191,1616967929515348523,0.863589
1616967929525161833,1616967929525476287,0.906702
1616967929535275301,1616967929535595552,0.888082
1616967929545447225,1616967929545876875,1.072793
1616967929555668967,1616967929555969279,0.893221
1616967929565841788,1616967929566193058,0.988902
1616967929576069009,1616967929576425720,0.949316
1616967929586248787,1616967929586577439,0.940456
1616967929596472609,1616967929596723078,0.893818
1616967929606645087,1616967929606938871,0.877901
1616967929616803978,1616967929617098636,0.949491
1616967929627026983,1616967929627395869,1.01255
1616967929637204128,1616967929637489872,0.825388
1616967929647319417,1616967929647701521,0.916597
1616967929657540364,1616967929657913282,0.956338
1616967929667715163,1616967929668108149,0.974412
1616967929677934134,1616967929678379590,1.015518
1616967929688153896,1616967929688529112,0.956913
1616967929698379481,1616967929698784164,1.045516
1616967929708602620,1616967929708949049,0.899024
1616967929718715852,1616967929719026787,0.944771
1616967929728953831,1616967929729252747,0.964827
1616967929739195589,1616967929739597717,0.980211
1616967929749364326,1616967929749736205,0.934001
1616967929759587845,1616967929759934526,0.976116
1616967929769815880,1616967929770261784,0.993991
1616967929779993373,1616967929780384860,0.983547
1616967929790231141,1616967929790580751,0.915514
1616967929800444020,1616967929800761755,0.946023
1616967929810618147,1616967929811022230,0.966951
1616967929820787126,1616967929821162053,1.014194
1616967929830940621,1616967929831274193,0.893962
1616967929841103628,1616967929841550540,1.050646
1616967929851346486,1616967929851700970,0.912124
1616967929861514716,1616967929861904580,0.970361
