#client-send-timestamp,server-timestamp,e2e-rtt
1616971815045883851,1616971815046592533,1.539883
1616971815056105542,1616971815056375004,0.941295
1616971815066234134,1616971815066561934,1.04978
1616971815076454287,1616971815076773258,1.04806
1616971815086573717,1616971815086876052,1.030505
1616971815096798241,1616971815097070710,0.965045
1616971815107036092,1616971815107307108,0.912357
1616971815117257523,1616971815117569617,0.994034
1616971815127476814,1616971815127816885,0.989638
1616971815137701390,1616971815137976456,0.957179
1616971815147922124,1616971815148215817,0.970164
1616971815158158590,1616971815158518458,1.026261
1616971815168377317,1616971815168647857,0.929855
1616971815178503206,1616971815178778002,0.936697
1616971815188728147,1616971815188980166,0.905233
1616971815198898322,1616971815199137134,0.907699
1616971815209117384,1616971815209352007,0.883434
1616971815219278230,1616971815219546855,0.939985
1616971815229495087,1616971815229793096,0.964712
1616971815239718864,1616971815239953118,0.967252
1616971815249900140,1616971815250200324,1.046816
1616971815260075274,1616971815260446830,1.15734
1616971815270240097,1616971815270559304,1.05997
1616971815280459952,1616971815280745545,1.032588
1616971815290630977,1616971815290915274,1.004825
1616971815300799515,1616971815301052452,0.929173
1616971815310965210,1616971815311178067,0.853543
1616971815321084112,1616971815321324159,1.011247
1616971815331305052,1616971815331566749,1.000171
1616971815341538129,1616971815341838907,1.033645
1616971815351713989,1616971815351999496,0.969647
1616971815361941062,1616971815362199830,0.980966
1616971815372189193,1616971815372498252,1.057645
1616971815382358763,1616971815382663210,1.029194
1616971815392491378,1616971815392795511,1.052436
1616971815402613956,1616971815402932202,1.001662
1616971815412735052,1616971815413075277,1.000798
1616971815422848630,1616971815423190154,1.024604
1616971815432957903,1616971815433231257,0.927009
1616971815443066104,1616971815443353825,0.940169
1616971815453223215,1616971815453552750,0.988842
1616971815463435813,1616971815463643627,0.867699
1616971815473584274,1616971815473819295,0.904427
1616971815483752139,1616971815484006864,1.261011
1616971815493922207,1616971815494202008,0.922399
1616971815504036435,1616971815504329177,1.026089
1616971815514148148,1616971815514573042,1.125012
1616971815524311109,1616971815524596582,0.99642
1616971815534421282,1616971815534837026,1.1431
1616971815544647444,1616971815544939892,1.071458
1616971815554802794,1616971815555104298,1.060641
1616971815565020518,1616971815565387979,1.069753
1616971815575190588,1616971815575467429,0.999535
1616971815585427073,1616971815585754937,1.037829
1616971815595597958,1616971815595950249,1.093768
1616971815605838762,1616971815606242850,1.139818
1616971815616062728,1616971815616325863,0.9861
1616971815626234822,1616971815626665713,1.224522
1616971815636452729,1616971815636747971,0.947742
1616971815646728258,1616971815646995751,0.904894
1616971815656923166,1616971815657142060,0.882844
1616971815667023234,1616971815672358497,6.201437
1616971815677201322,1616971815677422696,0.870072
1616971815687258714,1616971815687423942,0.865474
1616971815697405423,1616971815697643659,0.883751
1616971815707574286,1616971815707840104,0.964811
1616971815717791278,1616971815718051097,0.993585
