#client-send-timestamp,server-timestamp,e2e-rtt
1616975782613932049,1616975782617408052,4.061489
1616975782624090674,1616975782626603390,3.089668
1616975782634261220,1616975782636272747,2.474375
1616975782644482368,1616975782646371004,2.345379
1616975782654655809,1616975782656515142,2.344333
1616975782664821160,1616975782666652578,2.348208
1616975782674979453,1616975782676930443,2.535108
1616975782685200494,1616975782687265586,2.486878
1616975782695371978,1616975782697178617,2.301489
1616975782705592774,1616975782707350319,2.211105
1616975782715712275,1616975782717407105,2.078814
1616975782725869557,1616975782727806991,2.349866
1616975782736035614,1616975782737933149,2.298273
1616975782746182243,1616975782747932507,2.179589
1616975782756302856,1616975782758034880,2.15049
1616975782766470298,1616975782768309388,2.66246
1616975782776639284,1616975782778446189,2.317635
1616975782786813282,1616975782788822151,2.548263
1616975782796992673,1616975782798878959,2.252782
1616975782807213786,1616975782808933802,2.139344
1616975782817384295,1616975782819123058,2.156124
1616975782827550550,1616975782832172249,5.004299
1616975782837584934,1616975782839721772,2.6124
1616975782847811031,1616975782849355788,2.032997
1616975782857915308,1616975782859833257,2.405067
1616975782868016140,1616975782869862753,2.250694
1616975782878096896,1616975782879791612,2.085456
1616975782888320558,1616975782890430564,2.630255
1616975782898360327,1616975782899957471,2.027701
1616975782908593943,1616975782910130558,1.92567
1616975782918766055,1616975782920724820,2.441504
1616975782928867383,1616975782930693250,2.240002
1616975782939033869,1616975782940539202,1.967662
1616975782949206199,1616975782951067770,2.298036
1616975782959420250,1616975782960996212,2.372697
1616975782969656110,1616975782971277341,2.016494
1616975782979835611,1616975782981495649,2.04709
1616975782990087123,1616975782992254411,2.67649
1616975783000181657,1616975783001908326,2.161611
1616975783010343225,1616975783012076299,2.142908
1616975783020508287,1616975783022177122,2.074188
1616975783030636541,1616975783032300125,2.083567
1616975783040870702,1616975783042561577,2.12467
1616975783051102643,1616975783053317435,2.677541
1616975783061286822,1616975783063109882,2.185759
1616975783071451080,1616975783073009633,1.963033
1616975783081568256,1616975783083298431,2.102416
1616975783091792478,1616975783093501459,2.100889
1616975783102013883,1616975783103738966,2.103809
1616975783112233943,1616975783114741879,2.922983
1616975783122338868,1616975783124452621,2.698096
1616975783132557435,1616975783134343971,2.188351
1616975783142662088,1616975783144429547,2.415094
1616975783152834091,1616975783154389506,2.027338
1616975783163052804,1616975783164607194,2.037408
1616975783173278240,1616975783174982036,2.094053
1616975783183434783,1616975783185081256,2.020751
1616975783193612783,1616975783195479929,2.514016
1616975783203739411,1616975783205499579,2.262091
1616975783213781519,1616975783215632814,2.430282
1616975783223937954,1616975783225708393,2.24177
1616975783234038347,1616975783236002659,2.490078
1616975783244139832,1616975783246164030,2.502979
1616975783254295511,1616975783256134013,2.323935
1616975783264359178,1616975783266181154,2.190006
1616975783274392203,1616975783276164451,2.199421
1616975783284615805,1616975783286409015,2.255469
1616975783294732259,1616975783296534186,2.237089
1616975783304939759,1616975783306822587,2.269152
1616975783315121630,1616975783316952155,2.224782
1616975783325270499,1616975783327039558,2.225771
1616975783335320157,1616975783337096036,2.28459
1616975783345544365,1616975783347556495,2.612676
1616975783355646357,1616975783357306362,2.029258
1616975783365813662,1616975783367488362,2.117314
1616975783375973242,1616975783377577787,2.059884
1616975783386130796,1616975783388345513,2.710946
1616975783396284925,1616975783397945660,2.028764
1616975783406444204,1616975783408157787,2.144384
1616975783416671417,1616975783418345525,2.169872
1616975783426733027,1616975783428431998,2.379603
1616975783436963755,1616975783438610281,2.107668
1616975783447039820,1616975783448724992,2.127239
1616975783457198017,1616975783458920435,2.160823
1616975783467233739,1616975783468876183,2.007504
1616975783477334366,1616975783478974672,2.030288
1616975783487495994,1616975783489148970,2.009093
1616975783497596457,1616975783499393400,2.206673
1616975783507722150,1616975783509344533,2.092504
1616975783517780887,1616975783519423257,2.019679
1616975783527897646,1616975783529664820,2.135193
1616975783538000738,1616975783539674708,2.042553
1616975783548166530,1616975783549907015,2.148065
1616975783558267308,1616975783559964384,2.094584
1616975783568493548,1616975783570188712,2.072314
1616975783578558846,1616975783580315284,2.126412
1616975783588658736,1616975783590359387,2.088916
1616975783598764331,1616975783600546321,2.209906
1616975783608988869,1616975783610693787,2.104946
1616975783619099165,1616975783621107607,2.470915
1616975783629268090,1616975783630992341,2.119079
1616975783639544004,1616975783641183855,2.113081
1616975783649781518,1616975783651575401,2.367206
1616975783660012641,1616975783661732583,2.15233
1616975783670154608,1616975783673064963,3.482193
1616975783680250028,1616975783682537640,2.860609
1616975783690409848,1616975783691969692,1.941576
1616975783700564587,1616975783702343929,2.141308
1616975783710663613,1616975783712572853,2.430997
1616975783720770166,1616975783722427796,2.063616
1616975783730931357,1616975783732606818,2.091985
1616975783741153728,1616975783742785255,2.03379
1616975783751374885,1616975783752929133,1.98527
1616975783761598463,1616975783763481865,2.498917
1616975783771757668,1616975783773438773,2.128655
1616975783781859481,1616975783783538085,2.06825
1616975783792085373,1616975783793735365,2.106772
1616975783802188344,1616975783803983140,2.319763
1616975783812291877,1616975783813917909,2.029032
1616975783822449700,1616975783824405385,2.495505
1616975783832608880,1616975783834319704,2.142835
1616975783842706379,1616975783844170665,1.884365
1616975783852808314,1616975783854284050,1.854092
1616975783862852363,1616975783864828403,2.58139
1616975783873079825,1616975783874709692,2.075904
1616975783883300083,1616975783884928386,2.110605
1616975783893527214,1616975783895314666,2.364104
1616975783903696116,1616975783905459692,2.2369
1616975783913867367,1616975783915694780,2.259362
1616975783924094590,1616975783925752523,2.068375
1616975783934250953,1616975783935971939,2.14818
1616975783944475396,1616975783947068442,9.830515
1616975783954520291,1616975783956703909,2.563317
1616975783964622243,1616975783966684642,2.46597
1616975783974708966,1616975783976848912,2.547039
1616975783984762354,1616975783990317186,6.12177
1616975783994851916,1616975783996978545,2.524596
1616975784004878923,1616975784006692873,2.166583
1616975784014955922,1616975784016604839,1.976931
1616975784025028997,1616975784026621389,1.907328
1616975784035102689,1616975784036621882,1.841812
1616975784045219174,1616975784047355534,2.64226
1616975784055319420,1616975784056799864,1.855124
1616975784065473091,1616975784067184600,2.071304
1616975784075693188,1616975784077508235,2.398922
1616975784085922158,1616975784087424633,1.842838
1616975784096056000,1616975784097678281,1.964187
1616975784106218415,1616975784107923159,2.089803
1616975784116380528,1616975784118241245,2.254017
1616975784126545580,1616975784128374658,2.264969
1616975784136713077,1616975784138403000,2.123082
1616975784146837681,1616975784148763476,2.360203
1616975784156952386,1616975784158669145,2.087121
1616975784167059575,1616975784168992853,2.358327
1616975784177317878,1616975784179136731,2.189024
1616975784187533495,1616975784189267591,2.105151
1616975784197753468,1616975784199539819,2.179836
1616975784207929416,1616975784209730204,2.220105
1616975784218156660,1616975784219981137,2.313418
1616975784228379236,1616975784230701614,2.76646
1616975784238485883,1616975784241374639,3.266878
1616975784248642924,1616975784250369482,2.087618
1616975784258805494,1616975784260900171,2.716126
1616975784268985413,1616975784270866343,2.347586
1616975784279222786,1616975784280915387,2.138776
1616975784289441670,1616975784291168938,2.106613
1616975784299664862,1616975784301393784,2.117184
1616975784309705285,1616975784311432875,2.099643
1616975784319747944,1616975784321469554,2.094996
1616975784329902740,1616975784331559358,2.057147
1616975784340126262,1616975784341863730,2.150616
1616975784350310084,1616975784352058354,2.628241
1616975784360548424,1616975784362300359,2.142898
1616975784370654013,1616975784372349525,2.091484
1616975784380878787,1616975784382757197,2.248769
1616975784391024608,1616975784392637615,1.969129
1616975784401243042,1616975784403000606,2.130566
1616975784411355433,1616975784413035083,2.060577
1616975784421521686,1616975784423906327,2.88111
1616975784431682625,1616975784433748019,2.60569
1616975784441896643,1616975784444573107,3.158612
1616975784452119641,1616975784454112120,2.458578
1616975784462295563,1616975784464356078,2.504746
1616975784472513629,1616975784474562137,2.623611
1616975784482682718,1616975784484800232,2.58723
1616975784492903049,1616975784494908881,2.539538
1616975784503068234,1616975784505607935,3.032481
1616975784513288149,1616975784515364479,2.603559
1616975784523492981,1616975784525384930,2.401847
1616975784533593819,1616975784535760433,2.591269
1616975784543698074,1616975784545568124,2.319479
1616975784553864030,1616975784556211227,2.857905
1616975784564081973,1616975784566039074,2.362041
1616975784574165877,1616975784576170700,2.538094
1616975784584267453,1616975784586210138,2.370963
1616975784594347705,1616975784596439115,2.561343
1616975784604500119,1616975784606349761,2.221334
1616975784614657878,1616975784616217763,1.939992
1616975784624852971,1616975784626564818,2.073931
1616975784635016853,1616975784637323978,2.847472
1616975784645759728,1616975784647789203,2.425824
1616975784655863739,1616975784657839196,2.346939
1616975784665948402,1616975784667979559,2.375184
1616975784675972945,1616975784677876783,2.316738
1616975784686069371,1616975784688029382,2.375073
1616975784696146924,1616975784698459048,2.793037
1616975784706194152,1616975784708260433,2.409806
1616975784716287224,1616975784717939702,2.018364
1616975784726394700,1616975784728219618,2.363378
1616975784736514137,1616975784738126851,2.018679
1616975784746633109,1616975784748228861,1.967361
1616975784756748954,1616975784758257794,1.866907
1616975784766816731,1616975784768540082,2.130033
1616975784776927357,1616975784778700292,2.150453
1616975784787092455,1616975784789349176,2.650299
1616975784797200165,1616975784798751616,1.900528
1616975784807368646,1616975784808940881,1.945305
1616975784817476251,1616975784819251079,2.166762
1616975784827570961,1616975784829577017,2.655611
1616975784837613740,1616975784839890383,2.705278
1616975784847777877,1616975784849351479,2.005212
1616975784857949729,1616975784859684347,2.095802
1616975784868098846,1616975784869723733,2.096604
1616975784878212557,1616975784880053298,2.268184
1616975784888363564,1616975784889990476,2.019232
1616975784898382043,1616975784900131430,2.141392
1616975784908411989,1616975784910219628,2.193783
1616975784918514859,1616975784920492828,2.490038
1616975784928635555,1616975784930301649,2.045188
1616975784938792364,1616975784940520843,2.083725
1616975784949017683,1616975784955824460,7.450546
1616975784959164061,1616975784960889288,2.074796
1616975784969323412,1616975784970888381,1.905398
1616975784979553837,1616975784981194953,2.012031
1616975784989774891,1616975784991470711,2.055988
1616975784999872492,1616975785001645874,2.163305
1616975785010137458,1616975785012201282,2.549298
1616975785020322965,1616975785022080670,2.148822
1616975785030442152,1616975785032412868,2.42353
1616975785040613187,1616975785042323780,2.166266
1616975785050782037,1616975785052546095,2.225799
1616975785060997553,1616975785062753840,2.203465
1616975785071233505,1616975785073515505,2.726059
1616975785081388920,1616975785082994537,1.980224
1616975785091541688,1616975785093391684,2.35364
1616975785101720450,1616975785103514502,2.547555
1616975785111852077,1616975785113525488,2.121741
1616975785121892862,1616975785123551384,2.053654
1616975785132057985,1616975785133838131,2.246091
1616975785142291325,1616975785143973584,2.168665
1616975785152455914,1616975785154191313,2.129071
1616975785162560434,1616975785164285682,2.116097
1616975785172725494,1616975785174352039,2.008906
1616975785182828611,1616975785184469283,2.00284
1616975785193042056,1616975785194668192,1.968357
1616975785203258257,1616975785204929166,2.058445
1616975785213411930,1616975785215126689,2.095192
1616975785223635837,1616975785225344707,2.086498
1616975785233717238,1616975785235317527,1.999481
1616975785243937632,1616975785245604920,2.044726
1616975785254091290,1616975785256055707,2.411932
1616975785264344648,1616975785265983514,2.020744
1616975785274508161,1616975785276209871,2.140903
1616975785284739506,1616975785286460367,2.236126
1616975785294860387,1616975785296667645,2.380693
1616975785305022328,1616975785306726645,2.089879
1616975785315193306,1616975785316775568,1.99102
1616975785325410949,1616975785326971526,1.916556
1616975785335573159,1616975785337020952,1.837128
1616975785345673008,1616975785347159761,1.85896
1616975785355792367,1616975785357882400,2.436304
1616975785366285415,1616975785367934374,1.960775
1616975785376460817,1616975785377933706,1.832483
1616975785386562415,1616975785388308086,2.342648
1616975785396660650,1616975785398073466,1.749714
1616975785406792906,1616975785408286055,1.851658
1616975785416893143,1616975785418368555,1.851743
1616975785427005831,1616975785428691384,2.059863
1616975785437126480,1616975785438875190,2.153902
1616975785447235644,1616975785449019963,2.187967
1616975785457281944,1616975785458939091,2.102859
1616975785467439760,1616975785469074714,2.071298
1616975785477472973,1616975785479382157,2.339744
1616975785487630089,1616975785489571953,2.496718
1616975785497739672,1616975785499378975,2.092293
1616975785507829541,1616975785509423183,2.029606
1616975785517938081,1616975785519595388,2.031502
1616975785528108186,1616975785529785239,2.088189
1616975785538218947,1616975785539928719,2.141596
1616975785548324452,1616975785550029145,2.086021
1616975785558483512,1616975785560168986,2.098129
1616975785568625629,1616975785570424084,2.436839
1616975785578723534,1616975785580377357,2.084006
1616975785588943160,1616975785590693875,2.154129
1616975785599043015,1616975785600823156,2.144916
1616975785609264269,1616975785610989646,2.088242
1616975785619508714,1616975785621160784,2.027818
1616975785629728961,1616975785631515716,2.239686
1616975785639895040,1616975785642244310,2.732915
1616975785650140603,1616975785651828404,2.071075
1616975785660363124,1616975785662105837,2.460161
1616975785670450174,1616975785672165823,2.090514
1616975785680552188,1616975785682233484,2.075753
1616975785690653544,1616975785692325232,2.052305
1616975785700815584,1616975785702524513,2.088
1616975785710922484,1616975785712646348,2.102134
1616975785721144695,1616975785722990283,2.288303
1616975785731310064,1616975785732992354,2.110246
1616975785741527672,1616975785743205718,2.131372
1616975785751708248,1616975785753457743,2.110532
1616975785761779724,1616975785763565789,2.217172
1616975785771890833,1616975785773499264,2.03133
1616975785781995752,1616975785783611538,1.98025
1616975785792155359,1616975785793881108,2.108464
1616975785802277881,1616975785803988802,2.099558
1616975785812382163,1616975785814055027,2.034868
1616975785822544086,1616975785824325956,2.165495
1616975785832614970,1616975785834337641,2.096126
1616975785842686551,1616975785844399160,2.142162
1616975785852842574,1616975785854659103,2.220516
1616975785863078326,1616975785864920916,2.321425
1616975785873178857,1616975785874844052,2.116547
1616975785883405251,1616975785885135040,2.149958
1616975785893516488,1616975785895147146,2.074676
1616975785903752540,1616975785905490572,2.183148
1616975785913916318,1616975785916328817,2.889042
1616975785924090585,1616975785925704180,2.023149
1616975785934196996,1616975785935935545,2.208587
1616975785944255231,1616975785945953046,2.471121
1616975785954412375,1616975785956490820,2.610273
1616975785964517629,1616975785966069100,1.900376
1616975785974695276,1616975785976206512,1.962799
1616975785984926802,1616975785986522888,1.927557
1616975785995144618,1616975785996713816,1.958497
1616975786005307459,1616975786007036800,2.096866
1616975786015362110,1616975786017019573,2.041105
1616975786025489311,1616975786027175625,2.06878
1616975786035592445,1616975786037265611,2.057019
1616975786045679827,1616975786047429002,2.183529
1616975786055833100,1616975786057491707,2.094779
1616975786065934891,1616975786067659191,2.292808
1616975786076034685,1616975786077853549,2.23247
1616975786086163454,1616975786087901014,2.204296
1616975786096389518,1616975786098384289,2.508887
1616975786106485804,1616975786108206183,2.155595
1616975786116588677,1616975786118240299,2.038432
1616975786126644479,1616975786128287399,2.101153
1616975786136866691,1616975786138825620,2.356551
1616975786146903786,1616975786148532151,1.97818
1616975786157048007,1616975786158781373,2.121665
1616975786167217716,1616975786168848615,2.024713
1616975786177323396,1616975786179004428,2.078061
1616975786187479419,1616975786189947589,2.908688
1616975786197576201,1616975786199250766,2.056535
1616975786207746221,1616975786209322760,2.040276
1616975786217855855,1616975786219627515,2.160471
1616975786228026445,1616975786229757584,2.427254
1616975786238099121,1616975786239836322,2.17534
1616975786248199248,1616975786249859850,2.080776
1616975786258234679,1616975786259988381,2.09623
1616975786268453658,1616975786270120198,2.051502
1616975786278471669,1616975786280220910,2.159686
1616975786288685219,1616975786290511615,2.198147
1616975786298846928,1616975786300613773,2.138637
1616975786309063611,1616975786310869618,2.195765
1616975786319163207,1616975786320957196,2.167916
1616975786329260933,1616975786331195944,2.300899
1616975786339494482,1616975786341090150,2.03353
1616975786349715892,1616975786351310078,2.005952
1616975786359931850,1616975786361497362,2.010448
1616975786370172519,1616975786376872949,7.302869
1616975786380228533,1616975786381804520,1.946635
1616975786390332748,1616975786391901810,1.91847
1616975786400400719,1616975786401916847,1.902313
