#client-send-timestamp,server-timestamp,e2e-rtt
1617403223138214566,1617403223138951461,1.171977
1617403223188385450,1617403223189081168,1.145937
1617403223238504291,1617403223239108637,1.001169
1617403223288621515,1617403223289212223,0.968743
1617403223338739092,1617403223339329789,1.001803
1617403223388905492,1617403223389546752,1.084351
1617403223439072900,1617403223439852888,1.318164
1617403223489244362,1617403223490028368,1.258017
1617403223539466434,1617403223540116188,1.101323
1617403223589631501,1617403223590265445,1.186202
1617403223639862101,1617403223640473586,1.074108
1617403223690029194,1617403223690725859,1.155886
1617403223740252021,1617403223740943468,1.108608
1617403223790472258,1617403223791124336,1.09624
1617403223840647617,1617403223841245101,0.960853
1617403223890824468,1617403223891497026,1.095113
1617403223941049350,1617403223941767907,1.108646
1617403223991188672,1617403223991912306,1.113043
1617403224041356170,1617403224042008418,1.051103
1617403224091571445,1617403224092157958,0.928877
1617403224141738318,1617403224142334468,0.984609
1617403224191956698,1617403224192583171,0.989681
1617403224242181517,1617403224242821881,1.094055
1617403224292396624,1617403224293034801,1.017743
1617403224342625511,1617403224343246268,1.113347
1617403224392858208,1617403224393495504,0.995842
1617403224443026812,1617403224443645144,1.061926
1617403224493243963,1617403224493920028,1.705975
1617403224543416185,1617403224544087328,1.132716
1617403224593643039,1617403224594228257,1.008351
1617403224643865828,1617403224644436754,1.000988
1617403224694031692,1617403224694674419,1.003822
1617403224744259938,1617403224744825214,1.019328
1617403224794483475,1617403224795152306,1.076018
1617403224844714585,1617403224845398920,1.062452
1617403224894884720,1617403224895538232,1.097447
1617403224945133800,1617403224945749369,1.060653
1617403224995296373,1617403224995952201,1.044717
1617403225045528618,1617403225046174656,1.147115
1617403225095755589,1617403225096449150,1.137111
1617403225145929724,1617403225146561386,0.998851
1617403225196104516,1617403225196683685,0.95261
1617403225246273863,1617403225246936414,1.044899
1617403225296484608,1617403225297060324,0.921069
1617403225346730943,1617403225347419374,1.078971
1617403225396902139,1617403225397492611,0.960025
1617403225447008252,1617403225447645867,1.007186
1617403225497235135,1617403225497814957,0.973679
1617403225547468884,1617403225548070587,1.000379
1617403225597641576,1617403225598191063,0.893393
1617403225647762270,1617403225648414808,1.047557
1617403225697925238,1617403225698521983,0.935032
1617403225748097740,1617403225748785072,1.06607
1617403225798337471,1617403225798931220,0.952493
1617403225848476587,1617403225849069184,1.055822
1617403225898653195,1617403225899203138,0.965762
1617403225948833545,1617403225949486129,1.089892
1617403225999003292,1617403225999706700,1.142942
1617403226049228684,1617403226049939913,1.181157
1617403226099398576,1617403226100122770,1.11875
1617403226149563221,1617403226150171391,1.079793
1617403226199731652,1617403226200348137,1.051755
1617403226249957356,1617403226250624006,1.115173
1617403226300133661,1617403226300693799,1.019436
1617403226350260876,1617403226350854022,1.038119
1617403226400381360,1617403226401023006,1.078075
