#client-send-timestamp,server-timestamp,e2e-rtt
1617465446177540823,1617465446178758220,1.38091
1617465446227768184,1617465446229158633,1.694063
1617465446277995407,1617465446279290653,1.476283
1617465446328249420,1617465446329593083,1.571178
1617465446378492957,1617465446379829560,1.639184
1617465446428724029,1617465446429953408,1.433171
1617465446478915606,1617465446480307002,1.679469
1617465446529093047,1617465446530451516,1.610477
1617465446579224541,1617465446580416442,1.38302
1617465446629399007,1617465446630795140,1.592
1617465446679625017,1617465446680860266,1.571881
1617465446729797120,1617465446731109165,1.555501
1617465446780020492,1617465446781238012,1.457359
1617465446830195798,1617465446831399944,1.408221
1617465446880425211,1617465446881611841,1.367848
1617465446930622678,1617465446931922220,1.550735
1617465446980749949,1617465446982062428,1.663322
1617465447030876344,1617465447032228789,1.64582
1617465447081065090,1617465447082541174,1.793991
1617465447131247574,1617465447132471577,1.396317
1617465447181427919,1617465447182760244,1.592383
1617465447231615307,1617465447233002602,1.651302
1617465447281753165,1617465447283157556,1.729209
1617465447331783102,1617465447333154757,1.686771
1617465447381976084,1617465447383359606,1.608902
1617465447432198164,1617465447433508637,1.548236
1617465447482392443,1617465447483619776,1.520034
1617465447532556128,1617465447533982509,1.746047
1617465447582677512,1617465447584034296,1.601793
1617465447632801642,1617465447634191833,1.567719
1617465447682973481,1617465447684245358,1.461162
1617465447733208742,1617465447734428129,1.50282
1617465447783378956,1617465447784750974,1.720494
1617465447833598751,1617465447834878595,1.4711
1617465447883762873,1617465447884972208,1.578507
1617465447933886522,1617465447935089120,1.407135
1617465447984061202,1617465447985465011,1.692016
1617465448034228546,1617465448035485570,1.486108
1617465448084403463,1617465448085746495,1.622195
1617465448134528749,1617465448136134409,1.776429
1617465448184560197,1617465448185849199,1.676314
1617465448234702057,1617465448236136750,1.746436
1617465448284813395,1617465448286085848,1.570918
1617465448334927002,1617465448336257543,1.643542
1617465448385048097,1617465448386285165,1.413259
1617465448435163911,1617465448436426067,1.592047
1617465448485332100,1617465448486581759,1.451709
1617465448535506755,1617465448536910517,1.648683
1617465448585684247,1617465448586834520,1.355769
1617465448635861719,1617465448637272799,1.754304
1617465448685988858,1617465448687323293,1.940948
1617465448736173249,1617465448737446231,1.617753
1617465448786363454,1617465448787632218,1.55986
1617465448836590859,1617465448837702588,1.331775
1617465448886715563,1617465448887901389,1.373227
1617465448936892353,1617465448938182287,1.470933
1617465448987062332,1617465448988282269,1.44311
1617465449037291040,1617465449038490823,1.386494
1617465449087531718,1617465449088745257,1.416676
1617465449137725486,1617465449138825589,1.239502
1617465449187864589,1617465449189186778,1.603141
1617465449238044259,1617465449239228704,1.385079
1617465449288213158,1617465449289306238,1.280305
1617465449338397911,1617465449339616521,1.634297
1617465449388565568,1617465449389865930,1.647411
1617465449438735482,1617465449440037998,1.636449
1617465449488852362,1617465449490228423,1.750687
1617465449539019378,1617465449540267235,1.437296
1617465449589209721,1617465449590562456,1.615488
1617465449639324483,1617465449640503898,1.384508
1617465449689555194,1617465449690886775,1.50947
1617465449739776156,1617465449740951038,1.460719
1617465449789957965,1617465449791171668,1.479759
1617465449840062936,1617465449841242523,1.437049
1617465449890185881,1617465449891375197,1.362471
1617465449940404095,1617465449941628302,1.409305
1617465449990614751,1617465449991796806,1.387585
1617465450040850165,1617465450042082371,1.417561
1617465450090982595,1617465450092279289,1.633065
1617465450141207321,1617465450142290403,1.273088
1617465450191384176,1617465450192665958,1.5123
