#client-send-timestamp,server-timestamp,e2e-rtt
1617494725167754826,1617494725168354049,1.356415
1617494725217878059,1617494725218451239,1.277943
1617494725268008457,1617494725268545472,1.206924
1617494725318133579,1617494725318652943,1.152414
1617494725368307011,1617494725368846767,1.191034
1617494725418475768,1617494725418868835,1.129277
1617494725468597588,1617494725469125151,1.265946
1617494725518724234,1617494725519237661,1.263637
1617494725568850525,1617494725569314616,1.241975
1617494725618976241,1617494725619475963,1.217753
1617494725669102962,1617494725669658927,1.323783
1617494725719226489,1617494725719635443,1.06977
1617494725769345110,1617494725769703547,1.110231
1617494725819472998,1617494725820047698,1.270886
1617494725869600867,1617494725870140892,1.224231
1617494725919726750,1617494725921983834,3.177435
1617494725969843200,1617494725970409891,1.280979
1617494726019973348,1617494726020457001,1.222919
1617494726070089459,1617494726070389336,0.98357
1617494726120301396,1617494726120738991,1.115136
1617494726170486392,1617494726171054223,1.229875
1617494726220627987,1617494726221165737,1.234274
1617494726270757105,1617494726271333458,1.26939
1617494726320942491,1617494726321447007,1.183541
1617494726371115145,1617494726371554716,1.140302
1617494726421238020,1617494726421782253,1.298003
1617494726471369713,1617494726471760690,1.072916
1617494726521542699,1617494726522138674,1.333505
1617494726571820123,1617494726572431712,1.300385
1617494726621939158,1617494726622625091,1.336831
1617494726672109970,1617494726672638418,1.240398
1617494726722349920,1617494726722829068,1.164463
1617494726772580099,1617494726773113848,1.224609
1617494726822742440,1617494726823245377,1.169921
1617494726872981492,1617494726873462482,1.19505
1617494726923153473,1617494726923662315,1.216698
1617494726973385436,1617494726973820714,1.129398
1617494727023611512,1617494727024095379,1.153481
1617494727073836854,1617494727074323290,1.168173
1617494727124063744,1617494727124526245,1.14352
1617494727174288907,1617494727174824542,1.215967
1617494727224472059,1617494727224937843,1.124303
1617494727274607053,1617494727275141537,1.303435
1617494727324808852,1617494727325222786,1.057918
1617494727374980013,1617494727375434194,1.216456
1617494727425151331,1617494727425704403,1.258115
1617494727475266765,1617494727475687174,1.09051
1617494727525391935,1617494727525838775,1.237421
1617494727575568988,1617494727576073262,1.238956
1617494727625752778,1617494727626328588,1.316871
1617494727675928897,1617494727676307053,1.109096
1617494727726109444,1617494727726603015,1.228013
1617494727776309091,1617494727776734965,1.173085
1617494727826507741,1617494727827021710,1.207278
1617494727876635748,1617494727877115221,1.270443
1617494727926760936,1617494727927238591,1.191778
1617494727976915514,1617494727977422350,1.255942
1617494728027088973,1617494728027540920,1.701508
1617494728077318937,1617494728077878735,1.266042
1617494728127544363,1617494728128096624,1.215661
1617494728177784839,1617494728178175714,1.042793
1617494728228024428,1617494728228485448,1.365087
1617494728278250711,1617494728278681968,1.192961
1617494728328423107,1617494728328882672,1.200708
1617494728378616464,1617494728379119731,1.239276
1617494728428799334,1617494728429331318,1.315076
1617494728478924877,1617494728479424151,1.295553
1617494728529053384,1617494728529645456,1.313277
1617494728579235142,1617494728579898082,1.386942
1617494728629412676,1617494728629977982,1.251099
1617494728679547230,1617494728680066841,1.2129
1617494728729670273,1617494728730257357,1.254635
1617494728779843370,1617494728780300535,1.142462
1617494728829953256,1617494728830411371,1.133918
1617494728880135561,1617494728880638364,1.232779
1617494728930371089,1617494728930845086,1.168975
1617494728980547285,1617494728980997203,1.187159
1617494729030674085,1617494729031083715,1.088748
1617494729080905650,1617494729081373081,1.215115
1617494729131082572,1617494729131448900,1.081017
1617494729181311775,1617494729181890006,1.312664
1617494729231492715,1617494729231944841,1.17521
1617494729281742749,1617494729282260946,1.235195
1617494729331967992,1617494729332499396,1.253371
1617494729382201278,1617494729382728042,1.161977
1617494729432331101,1617494729432965428,1.343254
1617494729482591974,1617494729483090928,1.209493
1617494729532817571,1617494729533341640,1.238938
1617494729582967603,1617494729583593820,1.330476
1617494729633149426,1617494729633726658,1.255794
1617494729683375382,1617494729683975088,1.33765
1617494729733606778,1617494729734092111,1.194751
1617494729783848828,1617494729784382732,1.253531
1617494729834070634,1617494729834620790,1.203349
1617494729884208159,1617494729884709494,1.186178
1617494729934452063,1617494729935003623,1.408634
1617494729984677434,1617494729985118773,1.131243
1617494730034848060,1617494730035433989,1.285116
1617494730085066658,1617494730085533289,1.105573
1617494730135183626,1617494730135762928,1.271238
1617494730185416888,1617494730185947639,1.223949
1617494730235528780,1617494730236037785,1.174688
1617494730285706951,1617494730286248201,1.213151
1617494730335924768,1617494730336466085,1.193583
1617494730386145843,1617494730386644853,1.176848
1617494730436369916,1617494730436944896,1.230616
1617494730486594373,1617494730487116169,1.191257
1617494730536823998,1617494730537339351,1.210632
1617494730586959331,1617494730587503125,1.287059
1617494730637083416,1617494730637702140,1.350918
1617494730687253172,1617494730687870530,1.370991
1617494730737481763,1617494730738109330,1.291238
1617494730787665487,1617494730788226836,1.301813
1617494730837892888,1617494730838361969,1.127387
1617494730888064400,1617494730888695300,1.380599
1617494730938295261,1617494730938797891,1.178593
1617494730988522395,1617494730989014962,1.209764
1617494731038704986,1617494731039213981,1.171887
1617494731088826017,1617494731089339922,1.16231
1617494731138999074,1617494731139661355,1.397086
1617494731189126978,1617494731189810663,1.354244
1617494731239244909,1617494731239749112,1.156978
1617494731289363016,1617494731289876844,1.210909
1617494731339588985,1617494731340089917,1.141924
1617494731389816272,1617494731390460887,1.380114
1617494731440042587,1617494731440532946,1.262937
1617494731490149749,1617494731490730720,1.325949
1617494731540391773,1617494731540917177,1.234766
1617494731590633245,1617494731592771003,3.024524
1617494731640865350,1617494731641448256,1.329612
1617494731691054817,1617494731691578005,1.290919
1617494731741223173,1617494731741750558,1.179976
1617494731791293689,1617494731791910145,1.412435
1617494731841411406,1617494731841886681,1.178868
1617494731891424387,1617494731892007405,1.246458
1617494731941597170,1617494731942102514,1.13239
1617494731991771269,1617494731992341348,1.271259
1617494732041998817,1617494732042533453,1.251692
1617494732092223871,1617494732092752456,1.218154
1617494732142452190,1617494732142903728,1.164241
1617494732192689520,1617494732193725439,2.038405
1617494732242860774,1617494732243481789,1.367017
1617494732293079620,1617494732293561391,1.129776
1617494732343241389,1617494732343694125,1.214862
1617494732393424670,1617494732393856431,1.086519
1617494732443605557,1617494732444080229,1.256126
1617494732493775518,1617494732494272694,1.144342
1617494732543995310,1617494732544551925,1.276196
1617494732594236179,1617494732594760933,1.264022
1617494732644461623,1617494732644925609,1.18102
1617494732694711748,1617494732695206329,1.245848
1617494732744959992,1617494732745455763,1.264098
1617494732795152648,1617494732795644911,1.183646
1617494732845340308,1617494732845904023,1.254357
1617494732895527301,1617494732895985048,1.136185
1617494732945692895,1617494732946293812,1.266997
1617494732995872394,1617494732996341249,1.141384
1617494733046053815,1617494733046604250,1.243583
1617494733096231470,1617494733096681136,1.088909
1617494733146413043,1617494733146798150,1.073588
1617494733196645242,1617494733197080994,1.079394
1617494733246763927,1617494733247115983,1.016039
1617494733296944906,1617494733297450853,1.202581
1617494733347092697,1617494733347515085,1.072928
1617494733397195755,1617494733397788585,1.302579
1617494733447372018,1617494733447842228,1.187259
1617494733497612499,1617494733498110730,1.167671
1617494733547848135,1617494733548419097,1.220102
1617494733598026263,1617494733598533085,1.151127
1617494733648237256,1617494733648701827,1.14705
1617494733698425036,1617494733698866583,1.108934
1617494733748605038,1617494733749110195,1.219443
1617494733798725448,1617494733799336045,1.287192
1617494733848952618,1617494733849403531,1.110908
1617494733899078682,1617494733899425529,0.974395
1617494733949307089,1617494733949781127,1.207749
1617494733999540511,1617494734000083924,1.204044
1617494734049777843,1617494734050279026,1.189207
1617494734100001705,1617494734100388816,1.00945
1617494734150256112,1617494734150820999,1.243654
1617494734200480536,1617494734201031562,1.196676
1617494734250678742,1617494734251077720,1.062545
1617494734300900608,1617494734301521863,1.276033
1617494734351029097,1617494734351590157,1.27783
1617494734401206716,1617494734402654837,2.163669
1617494734451342839,1617494734451826102,1.1848
1617494734501522831,1617494734501910698,1.041744
1617494734551709552,1617494734552163460,1.110531
1617494734601897209,1617494734602293242,1.113993
1617494734652071768,1617494734652471963,1.064939
1617494734702291649,1617494734702729016,1.059177
1617494734752522448,1617494734753020168,1.187193
1617494734802692202,1617494734803157506,1.194643
1617494734852916045,1617494734853365374,1.139516
1617494734903084637,1617494734903640998,1.277713
1617494734953321867,1617494734953834661,1.210429
1617494735003547486,1617494735004147562,1.299797
1617494735053768988,1617494735054297812,1.229004
1617494735103995041,1617494735105021527,1.764455
1617494735154042312,1617494735154519149,1.189886
1617494735204207606,1617494735204601175,1.035827
1617494735254376684,1617494735254890344,1.155125
1617494735304546901,1617494735305086575,1.188006
1617494735354713413,1617494735355307096,1.232883
1617494735404883936,1617494735405351229,1.089826
1617494735455048794,1617494735455531340,1.125203
1617494735505217265,1617494735505721143,1.140613
1617494735555376441,1617494735555841322,1.095949
1617494735605543770,1617494735606000972,1.076975
1617494735655770633,1617494735656298578,1.155297
1617494735705882953,1617494735706355992,1.120143
1617494735756053111,1617494735756447215,1.021634
1617494735806293772,1617494735806786862,1.120228
1617494735856465058,1617494735856977585,1.16157
1617494735906702622,1617494735907235745,1.175551
1617494735956936837,1617494735957502577,1.246745
1617494736007119019,1617494736007579826,1.102462
1617494736057340424,1617494736057821169,1.17099
1617494736107531667,1617494736108007425,1.167092
1617494736157646864,1617494736158062548,1.05949
1617494736207771734,1617494736208119568,0.982329
1617494736257991546,1617494736258983374,1.971629
1617494736308163226,1617494736308633853,1.173952
1617494736358418170,1617494736358802819,1.016397
1617494736408603087,1617494736409009566,1.050299
1617494736458778120,1617494736459234085,1.165134
1617494736508951489,1617494736509310479,1.010229
1617494736559068091,1617494736559499223,1.070578
1617494736609245489,1617494736609699387,1.067819
1617494736659380846,1617494736659885527,1.088325
1617494736709562836,1617494736710007700,1.112773
1617494736759758983,1617494736760302999,1.167857
1617494736809896231,1617494736810575402,1.351248
1617494736860071195,1617494736860537651,1.075796
1617494736910253251,1617494736910682530,1.052039
1617494736960434147,1617494736961004543,1.214219
1617494737010611974,1617494737011078977,1.116118
1617494737060784599,1617494737061204799,1.057819
1617494737111008104,1617494737111485940,1.191329
1617494737161241615,1617494737161813466,1.217997
1617494737211467163,1617494737211955298,1.137446
1617494737261692726,1617494737262203164,1.154444
1617494737311924595,1617494737312476109,1.217319
1617494737362123532,1617494737362701404,1.219201
1617494737412364325,1617494737412896911,1.18827
1617494737462591621,1617494737463081888,1.144158
1617494737512774216,1617494737513269967,1.153077
1617494737563014403,1617494737563468482,1.136216
1617494737613242096,1617494737613709700,1.111704
1617494737663412349,1617494737663846952,1.093316
1617494737713635355,1617494737714102553,1.126588
1617494737763760250,1617494737764091774,0.970771
1617494737813932746,1617494737814311138,1.030487
1617494737864106813,1617494737864512904,1.023353
1617494737914286427,1617494737914710553,1.061355
1617494737964519240,1617494737964876749,0.996728
1617494738014694386,1617494738015127802,1.090009
1617494738064890416,1617494738065381665,1.171461
1617494738115074739,1617494738115581516,1.142138
1617494738165249628,1617494738165730159,1.14806
1617494738215424993,1617494738215903734,1.172015
1617494738265543624,1617494738265916447,1.041561
1617494738315715934,1617494738316172861,1.154511
1617494738365900734,1617494738366383523,1.175803
1617494738416043774,1617494738416533398,1.267127
1617494738466283885,1617494738466866145,1.283621
1617494738516520752,1617494738516999143,1.150209
1617494738566696968,1617494738567151715,1.164247
1617494738616923490,1617494738617527084,1.318725
1617494738667044348,1617494738667493888,1.091812
1617494738717209654,1617494738717763614,1.249779
1617494738767403926,1617494738767935011,1.241121
1617494738817578021,1617494738818027206,1.181142
1617494738867805393,1617494738868276427,1.245627
1617494738918028182,1617494738918637395,1.301104
1617494738968262573,1617494738968867535,1.31297
1617494739018490516,1617494739018954326,1.136312
1617494739068720180,1617494739069177272,1.140732
1617494739118849393,1617494739119261342,1.095572
1617494739169035818,1617494739169551458,1.242236
1617494739219210226,1617494739219620529,1.091133
1617494739269441386,1617494739269987302,1.30124
1617494739319680491,1617494739320121810,1.140393
1617494739369904876,1617494739370536859,1.344136
1617494739420087051,1617494739420505737,1.038474
1617494739470314123,1617494739470803592,1.124567
1617494739520456776,1617494739520987858,1.181073
1617494739570587076,1617494739571127312,1.251861
1617494739620778234,1617494739621305666,1.212982
1617494739670950520,1617494739671485037,1.187807
1617494739721192965,1617494739721795993,1.242579
1617494739771443569,1617494739771992564,1.268004
1617494739821705885,1617494739822156555,1.112686
1617494739871884762,1617494739872433314,1.208261
1617494739922125260,1617494739922670830,1.26294
1617494739972278105,1617494739972868612,1.236726
1617494740022424782,1617494740023391804,1.605956
1617494740072627995,1617494740073122983,1.134775
1617494740122736425,1617494740123335572,1.316574
1617494740172914095,1617494740173902295,1.777414
1617494740223021179,1617494740223544274,1.215454
1617494740273072372,1617494740273537622,1.161036
1617494740323237260,1617494740323838725,1.359914
1617494740373385395,1617494740373832717,1.079808
1617494740423566545,1617494740424076423,1.200319
1617494740473796690,1617494740474293889,1.134931
1617494740524050176,1617494740524508051,1.18515
1617494740574277522,1617494740574845005,1.262592
1617494740624477496,1617494740625037168,1.22826
1617494740674744570,1617494740675339937,1.326473
1617494740724930603,1617494740725425499,1.126362
1617494740775056761,1617494740775625344,1.207388
1617494740825234120,1617494740825765125,1.188936
1617494740875407263,1617494740875861773,1.128029
1617494740925630535,1617494740926228871,1.244201
1617494740975816390,1617494740976288603,1.143846
1617494741026042414,1617494741026628735,1.224034
1617494741076266446,1617494741076804653,1.243082
1617494741126489223,1617494741127050551,1.28084
1617494741176711489,1617494741177125713,1.026095
1617494741226943292,1617494741227470454,1.199925
1617494741277170476,1617494741277723850,1.33134
1617494741327340825,1617494741327742266,1.027183
1617494741377567055,1617494741378060375,1.202735
1617494741427797847,1617494741428276849,1.271532
1617494741477975883,1617494741478567386,1.248781
1617494741528099954,1617494741528648695,1.177447
1617494741578214962,1617494741578763030,1.319999
1617494741628394298,1617494741629037851,1.317942
1617494741678604115,1617494741679049883,1.095377
1617494741728833179,1617494741729367288,1.203391
1617494741778957735,1617494741779446715,1.2439
1617494741829139264,1617494741829643895,1.165033
1617494741879323671,1617494741879843457,1.208139
1617494741929500730,1617494741929966482,1.177714
1617494741979626316,1617494741980057501,1.071214
1617494742029814056,1617494742030321495,1.194473
1617494742079931466,1617494742080327140,0.999169
1617494742130123324,1617494742130686003,1.25062
1617494742180338876,1617494742180823632,1.179307
1617494742230589304,1617494742231037813,1.135746
1617494742280812687,1617494742281476166,1.368196
1617494742330992242,1617494742331537336,1.239601
1617494742381241119,1617494742381750276,1.211901
1617494742431488933,1617494742432054100,1.266223
1617494742481719369,1617494742482235325,1.180367
1617494742531968742,1617494742532521507,1.257013
1617494742582166583,1617494742582758600,1.323482
1617494742632390070,1617494742632939827,1.243175
1617494742682641499,1617494742683131976,1.22808
1617494742732816919,1617494742733363291,1.229738
1617494742783020249,1617494742783512837,1.148473
1617494742833255328,1617494742833857764,1.32936
1617494742883432751,1617494742883982094,1.257518
1617494742933655695,1617494742934229108,1.27076
1617494742983887560,1617494742984371090,1.166204
1617494743034143879,1617494743034751486,1.297754
1617494743084321030,1617494743084841497,1.144984
1617494743134577657,1617494743135098732,1.284567
1617494743184801132,1617494743185241684,1.068085
1617494743234924929,1617494743235326752,1.101583
1617494743285151724,1617494743285594622,1.164604
1617494743335392138,1617494743335943765,1.255844
1617494743385574910,1617494743386130200,1.188011
1617494743435802481,1617494743436267079,1.1586
1617494743485989573,1617494743486386839,1.016195
1617494743536226337,1617494743536761475,1.190848
1617494743586452204,1617494743586932163,1.094845
1617494743636675507,1617494743637225680,1.181152
1617494743686857176,1617494743687254891,1.069239
1617494743736995461,1617494743737481767,1.115015
1617494743787227785,1617494743787671868,1.123493
1617494743837398850,1617494743837908216,1.129984
1617494743887623724,1617494743888068598,1.054223
1617494743937806320,1617494743938419928,1.247958
1617494743988048497,1617494743988673690,1.244076
1617494744038229860,1617494744038809252,1.205791
1617494744088429226,1617494744088947342,1.144924
1617494744138633329,1617494744139154549,1.149524
1617494744188807938,1617494744189277091,1.087966
1617494744238942574,1617494744239937212,1.699594
1617494744289173603,1617494744289700975,1.145278
1617494744339404644,1617494744339972963,1.188013
1617494744389630453,1617494744390103917,1.111765
1617494744439865003,1617494744440275421,1.039773
1617494744490047062,1617494744490499684,1.065853
1617494744540272481,1617494744540663531,1.009384
1617494744590505976,1617494744590894212,1.014874
1617494744640731322,1617494744641207740,1.139391
1617494744690911097,1617494744691404036,1.174993
1617494744741087049,1617494744741447218,0.986045
1617494744791256323,1617494744791649945,1.037835
1617494744841479000,1617494744841932804,1.157124
1617494744891617987,1617494744891968159,1.04955
1617494744941783301,1617494744942311233,1.172135
1617494744992009679,1617494744992492406,1.18287
1617494745042240192,1617494745042757294,1.251952
1617494745092468711,1617494745092910450,1.124964
1617494745142660149,1617494745143165920,1.218386
1617494745192848010,1617494745193518317,1.299471
1617494745242976963,1617494745243435255,1.115702
1617494745293167782,1617494745293731001,1.190343
1617494745343288325,1617494745343705912,1.058892
1617494745393473999,1617494745394022572,1.190312
1617494745443663669,1617494745444044773,1.019605
1617494745493903271,1617494745494288552,1.003204
1617494745544146390,1617494745544591316,1.168746
1617494745594379783,1617494745594859282,1.162622
1617494745644622394,1617494745645013075,1.038379
1617494745694790006,1617494745695291430,1.14658
1617494745745025606,1617494745745635271,1.242257
1617494745795279822,1617494745795881058,1.240862
1617494745845532141,1617494745846029331,1.190468
1617494745895768062,1617494745896223931,1.102525
1617494745946004845,1617494745946448363,1.175655
1617494745996235193,1617494745996777713,1.219441
1617494746046464500,1617494746046994925,1.271938
1617494746096628808,1617494746097136721,1.244952
1617494746146751649,1617494746147321710,1.278175
1617494746196928988,1617494746197507386,1.271423
1617494746247107717,1617494746247677975,1.21255
1617494746297267656,1617494746297788536,1.216982
1617494746347365297,1617494746347841298,1.078071
1617494746397482952,1617494746397970076,1.132394
1617494746447651017,1617494746448178340,1.162848
1617494746497827073,1617494746498278983,1.079091
1617494746548064233,1617494746548582084,1.199194
1617494746598204089,1617494746598758857,1.141825
1617494746648331740,1617494746648830515,1.098902
1617494746698466414,1617494746698960515,1.130387
1617494746748581958,1617494746750780800,2.887754
1617494746798753238,1617494746799256904,1.135293
1617494746848885232,1617494746849520502,1.288829
1617494746899022008,1617494746899482458,1.174649
1617494746949209115,1617494746949719198,1.194557
1617494746999336313,1617494746999736488,1.018926
1617494747049531776,1617494747050014685,1.222671
1617494747099729565,1617494747100216119,1.167014
1617494747149867167,1617494747150556916,1.325166
1617494747200060678,1617494747200603717,1.247359
1617494747250226091,1617494747250689836,1.113259
1617494747300411556,1617494747300886099,1.129206
1617494747350630617,1617494747351099732,1.092212
1617494747400813749,1617494747401257212,1.154464
