#client-send-timestamp,server-timestamp,e2e-rtt
1617527664165385400,1617527664166515739,1.418061
1617527664215552536,1617527664216439694,1.176619
1617527664265811392,1617527664266642749,1.115563
1617527664316032619,1617527664316986218,1.31975
1617527664370658664,1617527664374302984,3.947771
1617527664420853508,1617527664421609624,0.956415
1617527664471032547,1617527664471895649,1.176553
1617527664521291223,1617527664522194108,1.238094
1617527664571514831,1617527664572394647,1.186945
1617527664621738367,1617527664622635363,1.251519
1617527664671967892,1617527664672811844,1.151272
1617527664722192184,1617527664722940663,1.07957
1617527664772437664,1617527664773244677,1.155152
1617527664822672707,1617527664823514876,1.155979
1617527664872902962,1617527664873708627,1.069108
1617527664923072482,1617527664923956517,1.204199
1617527664973301076,1617527664974194427,1.208177
1617527665023519690,1617527665024324070,1.161015
1617527665073756168,1617527665074534659,1.068274
1617527665123940476,1617527665124731854,1.11538
1617527665174120096,1617527665174873487,0.992707
1617527665224258676,1617527665225147280,1.162635
1617527665274426668,1617527665275261043,1.075968
1617527665324536346,1617527665325307108,0.970092
1617527665374637880,1617527665375490457,1.127424
1617527665424759560,1617527665425550575,1.131558
1617527665474883814,1617527665475716285,1.183509
1617527665525042868,1617527665525859050,1.117028
1617527665575165333,1617527665575996385,1.165697
1617527665625353242,1617527665626165553,1.114097
1617527665675484815,1617527665676296928,1.127113
1617527665725605090,1617527665726450869,1.183989
1617527665775738427,1617527665776546477,1.119292
1617527665825920756,1617527665826715047,1.227788
1617527665876157039,1617527665876982234,1.156935
1617527665926421919,1617527665927220495,1.123795
1617527665976552513,1617527665977379699,1.147103
1617527666026727172,1617527666027529486,1.118252
1617527666076919857,1617527666077749527,1.093677
1617527666127047490,1617527666127815279,1.095967
1617527666177214935,1617527666178160220,1.283947
1617527666227429436,1617527666228201403,1.030916
1617527666277677267,1617527666278550645,1.153492
1617527666327873491,1617527666328534764,0.979358
1617527666378043507,1617527666378836683,1.034982
1617527666428216755,1617527666429018430,1.105545
1617527666478344534,1617527666479148810,1.092914
1617527666528471005,1617527666529249845,1.070158
1617527666578623351,1617527666579372550,0.961998
1617527666628740279,1617527666629368537,0.890764
1617527666678873755,1617527666679613695,1.064134
1617527666729046788,1617527666729810222,1.077408
1617527666779163715,1617527666780022812,1.167271
1617527666829336366,1617527666830118224,1.107185
1617527666879507211,1617527666880714383,1.745626
1617527666929528601,1617527666930308691,1.141792
1617527666979732231,1617527666980535225,1.124999
1617527667029906652,1617527667030706882,1.142481
1617527667080090293,1617527667080867800,1.085379
1617527667130264644,1617527667131084166,1.109797
1617527667180435592,1617527667181186979,1.150419
1617527667230591373,1617527667231383718,1.108253
1617527667280711247,1617527667281451207,1.108612
1617527667330834632,1617527667331627483,1.133484
1617527667380952177,1617527667381753725,1.050402
1617527667431076403,1617527667431928863,1.162614
1617527667481250244,1617527667482090889,1.159235
1617527667531443165,1617527667532278962,1.171496
1617527667581608266,1617527667582515577,1.263341
1617527667631772901,1617527667632560464,1.163104
1617527667681893194,1617527667682718819,1.069533
1617527667732065423,1617527667732749896,1.032564
1617527667782248765,1617527667783003787,0.983104
1617527667832426880,1617527667833152375,1.080027
1617527667882603718,1617527667883328598,1.044168
1617527667932772243,1617527667933463078,1.058498
1617527667982955909,1617527667983712021,1.149847
1617527668033123614,1617527668034000827,1.229699
1617527668083309451,1617527668084081871,1.091308
1617527668133517825,1617527668134233129,1.08699
1617527668183691366,1617527668184497879,1.119105
1617527668233824204,1617527668234705689,1.15425
1617527668284055175,1617527668284858055,1.119773
