#client-send-timestamp,server-timestamp,e2e-rtt
1617597202144468256,1617597202145482407,1.386512
1617597202194615262,1617597202195168378,0.887793
1617597202244704783,1617597202245336972,0.97509
1617597202294823085,1617597202295413782,0.950357
1617597202345046975,1617597202345637103,0.981999
1617597202395289426,1617597202395940398,1.075973
1617597202445521692,1617597202446137710,0.996392
1617597202495749788,1617597202496437300,1.078985
1617597202545924094,1617597202546706588,1.196169
1617597202596164313,1617597202596892103,1.118047
1617597202646394345,1617597202647016056,1.013013
1617597202696631557,1617597202697336201,1.089693
1617597202746814971,1617597202747833103,1.448737
1617597202797004450,1617597202797831406,1.161028
1617597202847231843,1617597202847962832,1.127596
1617597202897470787,1617597202898170136,1.105591
1617597202947699289,1617597202948425773,1.124447
1617597202997924374,1617597202998671021,1.141777
1617597203048150403,1617597203048775709,1.057506
1617597203098381926,1617597203099039060,1.044886
1617597203148502235,1617597203149096883,1.002116
1617597203198631973,1617597203199191446,0.945611
1617597203248815923,1617597203249418266,0.999977
1617597203298948036,1617597203299483342,0.922396
1617597203349126896,1617597203349870457,1.145599
1617597203399309872,1617597203399992258,1.030555
1617597203449539188,1617597203450202433,1.077115
1617597203499767085,1617597203500485729,1.125502
1617597203549959489,1617597203550659167,1.073617
1617597203600136646,1617597203600834066,1.094162
1617597203650318009,1617597203651018868,1.140381
1617597203700551400,1617597203701247998,1.092715
1617597203750728719,1617597203751427747,1.041239
1617597203800959570,1617597203801672773,1.048582
1617597203851186335,1617597203851920833,1.122045
1617597203901354029,1617597203902033438,1.045711
1617597203951580109,1617597203952365306,1.141704
1617597204001817435,1617597204002531015,1.086294
1617597204052037647,1617597204052671537,1.015296
1617597204102189008,1617597204102811153,0.939188
1617597204152366192,1617597204153100223,1.095482
1617597204202534576,1617597204203190602,0.967794
1617597204252754236,1617597204253511040,1.120526
1617597204302871719,1617597204303451630,0.914925
1617597204353004456,1617597204353655674,1.004959
1617597204403135398,1617597204403669335,0.831263
1617597204453228054,1617597204453748638,0.947525
1617597204503384053,1617597204504085928,1.024815
1617597204553590811,1617597204554218781,1.040405
1617597204603821208,1617597204604444542,1.011201
1617597204654058055,1617597204654706194,1.012864
1617597204704277853,1617597204704854650,0.953996
1617597204754506265,1617597204755257016,1.225531
1617597204804729729,1617597204805387569,0.977013
1617597204854912817,1617597204855542213,0.960911
1617597204905149181,1617597204905778162,0.930357
1617597204955375742,1617597204956078288,1.051409
1617597205005539125,1617597205006222987,1.058386
1617597205055718002,1617597205056377563,1.125425
1617597205105891218,1617597205106981192,1.567522
1617597205155988645,1617597205156660045,1.012184
1617597205206208843,1617597205206845154,0.996904
1617597205256379060,1617597205257065348,0.985386
1617597205306582604,1617597205307206333,0.945531
1617597205356693877,1617597205357298168,0.916457
1617597205406820619,1617597205407419919,1.02442
1617597205457043071,1617597205457623890,0.969209
1617597205507218972,1617597205507875306,1.049546
1617597205557334824,1617597205557965987,0.965361
1617597205607458747,1617597205608084715,1.021582
1617597205657573690,1617597205658287577,1.105887
1617597205707813871,1617597205708433732,1.069283
1617597205758039199,1617597205758711588,0.999084
1617597205808276031,1617597205808959632,1.066912
1617597205858502904,1617597205859146991,1.015595
1617597205908687238,1617597205909326867,1.040443
1617597205958861677,1617597205959506850,1.011697
1617597206009086089,1617597206009683558,0.946538
1617597206059274941,1617597206059919708,1.017473
1617597206109510480,1617597206110285611,1.193583
1617597206159735304,1617597206160349957,1.011439
1617597206209966604,1617597206210604944,1.049353
1617597206260191403,1617597206260849554,1.06583
1617597206310382269,1617597206311029331,1.051463
1617597206360608158,1617597206361251663,1.039645
1617597206410835039,1617597206411391047,0.973016
1617597206461063584,1617597206461683528,1.012442
1617597206511230954,1617597206511910832,1.083708
1617597206561364437,1617597206562020704,5.296642
1617597206611455353,1617597206612014373,0.820874
