#client-send-timestamp,server-timestamp,e2e-rtt
1616661945725251645,1616661945747352103,27.667766
1616661945750424653,1616661945754221901,9.271295
1616661945775549677,1616661945779146457,9.152166
1616661945800759870,1616661945803757409,8.525449
1616661945825882730,1616661945829226773,8.903727
1616661945850966445,1616661945853883425,8.396742
1616661945876110806,1616661945880369304,9.996674
1616661945901251242,1616661945905010556,9.345068
1616661945926395890,1616661945929871511,9.110615
1616661945951521913,1616661945954493463,8.542544
1616661945976638594,1616661945979508520,8.446774
1616661946001781045,1616661946005600193,9.659758
1616661946026916400,1616661946030332147,9.078325
1616661946052043255,1616661946055024199,9.157526
1616661946077191308,1616661946081146573,10.031606
1616661946102341170,1616661946106551236,9.780099
1616661946127484324,1616661946131410691,9.601289
1616661946152626150,1616661946155447434,8.455759
1616661946177795042,1616661946180903098,8.615997
1616661946202964638,1616661946205851355,8.722626
1616661946228124427,1616661946231927427,9.484233
1616661946253256090,1616661946256539779,8.821425
1616661946278415435,1616661946283782168,10.952184
1616661946303489731,1616661946308352819,10.519525
1616661946328649651,1616661946338629952,15.635982
1616661946353780835,1616661946356994214,8.824274
1616661946378903967,1616661946382459678,9.189998
1616661946404009478,1616661946407420535,9.036793
1616661946429096488,1616661946432429092,8.945693
1616661946454185193,1616661946458414663,9.788249
1616661946479230347,1616661946483161017,9.436926
1616661946504342172,1616661946507249661,8.519802
1616661946529472878,1616661946532416221,8.457361
1616661946554592874,1616661946557295076,8.197151
1616661946579674647,1616661946582956143,8.928674
1616661946604758147,1616661946607567795,8.344588
1616661946629881593,1616661946633697768,9.385587
1616661946655015626,1616661946658692625,10.680485
1616661946680144143,1616661946683275477,8.696517
1616661946705254056,1616661946711549081,11.904711
1616661946730355283,1616661946733256891,8.474198
1616661946755479861,1616661946759955172,10.056977
1616661946780593702,1616661946783310606,8.275102
1616661946805713142,1616661946809205076,9.141236
1616661946830852705,1616661946834225833,8.999032
1616661946855972357,1616661946859392293,8.992804
1616661946881095342,1616661946884231848,8.664364
1616661946906215703,1616661946909095003,8.436321
1616661946931377731,1616661946936087289,10.302696
1616661946956509427,1616661946959884429,8.938126
1616661946981635749,1616661946984454580,8.488108
1616661947006755841,1616661947009673440,8.492231
1616661947031874052,1616661947034665898,8.494779
1616661947056974273,1616661947059801457,8.393244
1616661947082066935,1616661947084766613,8.144429
1616661947107175415,1616661947110519081,8.825691
1616661947132283210,1616661947135372437,8.772778
1616661947157411916,1616661947160571497,8.801712
1616661947182541766,1616661947185861958,9.12424
1616661947207665269,1616661947211126919,9.21873
1616661947232819765,1616661947236663884,9.452171
1616661947257943058,1616661947260778128,8.357521
1616661947283081048,1616661947285948888,8.485409
1616661947308217010,1616661947311304350,8.684014
1616661947333356331,1616661947337114319,9.453817
1616661947358472877,1616661947361393166,8.397881
1616661947383618400,1616661947386398723,8.324292
1616661947408747103,1616661947411903588,8.66702
1616661947433884378,1616661947437603955,9.28348
1616661947458999683,1616661947461943003,8.558682
1616661947484121662,1616661947486948560,8.369848
1616661947509230986,1616661947512736829,8.95578
1616661947534347622,1616661947537421781,9.005941
1616661947559496827,1616661947562870545,9.044321
1616661947584635571,1616661947587414796,8.345074
1616661947609764521,1616661947612827259,8.584602
1616661947634897565,1616661947638457225,9.332662
1616661947660013785,1616661947663007976,9.247604
1616661947685135896,1616661947688875346,9.334959
1616661947710264364,1616661947713742801,9.335284
1616661947735381663,1616661947738549255,8.85316
1616661947760480271,1616661947763699715,8.819254
1616661947785615575,1616661947788847274,8.944004
1616661947810677718,1616661947814397839,9.287422
1616661947835800860,1616661947838683886,8.508138
1616661947860907693,1616661947864240251,9.369437
1616661947886058269,1616661947890178622,9.732554
1616661947911186497,1616661947914621671,9.076019
1616661947936347467,1616661947940067135,9.34045
1616661947961484115,1616661947965218794,9.347098
1616661947986652171,1616661947990212251,9.03196
1616661948011817156,1616661948014676401,8.467864
1616661948036947228,1616661948040005663,8.636296
1616661948062123655,1616661948065173622,8.659904
1616661948087315545,1616661948090310582,8.542999
