#client-send-timestamp,server-timestamp,e2e-rtt
1612933530914049995,1612933530923969510,20.445080
1612933531014202605,1612933531024306703,20.574931
1612933531114362601,1612933531124481320,20.707557
1612933531214547860,1612933531224734895,20.686939
1612933531314700714,1612933531324739765,20.479977
1612933531414889160,1612933531425036761,20.660934
1612933531515020784,1612933531525270567,21.84871
1612933531615157140,1612933531625242040,20.657773
1612933531715335515,1612933531725474059,20.542644
1612933531815501534,1612933531825502867,20.549953
1612933531915652778,1612933531925701852,20.498914
1612933532015806326,1612933532025853449,20.524933
1612933532115977750,1612933532126156163,20.693012
1612933532216145321,1612933532226350998,20.756012
1612933532316307349,1612933532326391222,20.551167
1612933532416478493,1612933532426497982,20.474559
1612933532516640822,1612933532526902205,20.705962
1612933532616819507,1612933532626812674,20.418401
1612933532716983790,1612933532726942346,20.373272
1612933532817143270,1612933532827305202,20.694632
1612933532917306361,1612933532927362142,20.645971
1612933533017441722,1612933533027519727,20.514769
1612933533117601647,1612933533127673755,20.575468
1612933533217771527,1612933533227774415,20.475882
1612933533317938887,1612933533328546271,21.732552
1612933533418087278,1612933533428112554,20.506679
1612933533518252645,1612933533528334530,20.612488
1612933533618437346,1612933533629103745,21.115452
1612933533718566301,1612933533728782302,20.662126
1612933533818724572,1612933533828818374,20.603104
1612933533918855630,1612933533928990922,20.664764
1612933534019006704,1612933534029061947,20.465470
1612933534119151093,1612933534129118093,20.498969
1612933534219295063,1612933534229468245,20.608860
1612933534319471766,1612933534329516308,20.595992
1612933534419616524,1612933534429667084,20.472001
1612933534519794398,1612933534529970568,20.656367
1612933534619954673,1612933534630098278,20.666599
1612933534720098608,1612933534730134335,20.485386
1612933534820221736,1612933534830249337,20.488880
1612933534920394408,1612933534930552731,20.706179
1612933535020544072,1612933535030804560,20.815245
1612933535120704396,1612933535131373765,21.136528
1612933535220827016,1612933535230809240,20.475556
1612933535320991803,1612933535331044371,20.583374
1612933535421160716,1612933535431282707,20.670109
1612933535521293718,1612933535531349286,20.550605
1612933535621456647,1612933535631508719,20.606205
1612933535721615013,1612933535731688201,20.536438
1612933535821765059,1612933535831815795,20.508697
1612933535921925763,1612933535931903384,20.372985
1612933536022081469,1612933536032067590,20.494731
1612933536122248704,1612933536132390020,21.382479
1612933536222375575,1612933536232558303,20.721176
1612933536322538871,1612933536332553631,20.516107
1612933536422703089,1612933536432834705,20.609408
1612933536522864666,1612933536532846900,20.407727
1612933536623051624,1612933536633101492,20.641494
1612933536723247586,1612933536733435585,20.640876
1612933536823411965,1612933536833421144,20.583242
1612933536923551090,1612933536933666443,20.645352
1612933537023715823,1612933537033779431,20.534359
1612933537123881818,1612933537133895352,20.522186
1612933537224035631,1612933537234372528,20.742450
1612933537324201025,1612933537334344061,20.570418
1612933537424340903,1612933537434640902,20.796603
1612933537524487186,1612933537534642566,20.625585
1612933537624677672,1612933537634765199,20.491359
1612933537724832386,1612933537735071895,20.654952
1612933537824990169,1612933537835110134,20.546036
1612933537925139404,1612933537935239165,20.594777
1612933538025287131,1612933538035405136,20.550321
1612933538125464160,1612933538135603135,20.644503
1612933538225629037,1612933538235584371,20.408727
1612933538325796239,1612933538335834480,20.514265
1612933538425962809,1612933538435976167,20.416417
1612933538526130514,1612933538536131200,20.435520
1612933538626286089,1612933538636308622,20.397837
1612933538726421786,1612933538736488220,20.466657
1612933538826580089,1612933538836566209,20.454051
1612933538926710066,1612933538936687247,20.412151
1612933539026856957,1612933539036847499,20.456701
1612933539126989457,1612933539136953696,20.372717
1612933539227181184,1612933539237253442,20.541930
1612933539327328866,1612933539337395890,20.495318
1612933539427468376,1612933539437523749,20.458806
1612933539527659722,1612933539537690739,20.554871
1612933539627805435,1612933539637808736,20.420126
1612933539727948143,1612933539737968835,20.434102
1612933539828091534,1612933539838164938,20.509393
1612933539928229445,1612933539938294729,20.483180
1612933540028385708,1612933540039306986,21.406783
1612933540128518205,1612933540138567810,20.582557
1612933540228664825,1612933540238754865,20.546172
1612933540328809612,1612933540338834375,21.139080
1612933540428952140,1612933540439050653,20.592516
1612933540529069598,1612933540539130747,20.503805
1612933540629229584,1612933540639627334,20.778790
1612933540729367578,1612933540739325111,20.394977
1612933540829497990,1612933540839555486,20.540719
1612933540929649020,1612933540939696258,20.484264
1612933541029798419,1612933541039821740,20.526600
1612933541129972710,1612933541139976343,20.476330
1612933541230129811,1612933541240236356,21.321178
1612933541330286785,1612933541340294464,20.458836
1612933541430449223,1612933541440599506,20.573246
1612933541530566254,1612933541540669832,20.537404
1612933541630707735,1612933541640694809,20.409003
1612933541730819964,1612933541740941138,20.524113
1612933541830942752,1612933541840976626,20.506590
1612933541931105975,1612933541941125629,20.558605
1612933542031265602,1612933542041319691,20.518471
1612933542131441806,1612933542141503468,20.604110
1612933542231609553,1612933542241693541,20.661105
1612933542331765998,1612933542341836979,20.513621
1612933542431932106,1612933542442038010,20.531850
1612933542532092528,1612933542542143710,20.447028
1612933542632240384,1612933542642278267,20.425022
1612933542732381877,1612933542742311449,20.345808
1612933542832531470,1612933542842584438,20.516308
1612933542932683157,1612933542942946881,20.702465
1612933543032884903,1612933543042991065,20.648925
1612933543133042247,1612933543143741832,21.188609
1612933543233206695,1612933543243271254,20.526479
1612933543333356512,1612933543343707134,20.770715
1612933543433499417,1612933543443574527,20.478118
1612933543533553021,1612933543543696600,20.685446
1612933543633697253,1612933543643798982,20.547132
1612933543733821155,1612933543744156783,20.727984
1612933543833871086,1612933543843893407,20.423674
1612933543934012518,1612933543944204304,20.600806
1612933544034162541,1612933544044488790,20.744211
1612933544134314332,1612933544144615953,20.884525
1612933544234475050,1612933544244697072,20.745446
1612933544334633225,1612933544344812509,20.609305
1612933544434789954,1612933544444842245,20.506660
1612933544534952765,1612933544545097628,20.660425
1612933544635121414,1612933544645276964,20.611948
1612933544735275181,1612933544745313154,20.498793
1612933544835406955,1612933544845388147,20.468433
1612933544935547926,1612933544945800080,20.900131
1612933545035720243,1612933545046178511,20.911892
1612933545135864921,1612933545146320363,20.904930
1612933545236026305,1612933545246094164,20.542354
1612933545336172455,1612933545346272384,20.599948
1612933545436337876,1612933545446603313,20.774890
1612933545536501874,1612933545546630928,20.552250
1612933545636645529,1612933545646724113,20.540062
1612933545736784273,1612933545747241925,20.946798
