#client-send-timestamp,server-timestamp,e2e-rtt
1612211580134600435,1612211580138053219,9.91219
1612211580234725854,1612211580238508171,8.331390
1612211580334855572,1612211580338862219,8.473994
1612211580435003047,1612211580438736043,8.91232
1612211580535140845,1612211580538563666,8.60245
1612211580635289253,1612211580639293931,8.595168
1612211580735429735,1612211580739304162,8.332954
1612211580835570071,1612211580839041280,7.882403
1612211580935717030,1612211580940259569,9.640513
1612211581035868227,1612211581039540365,8.75848
1612211581136019841,1612211581139772907,8.475531
1612211581236174407,1612211581240280461,8.801580
1612211581336330980,1612211581339927775,8.77748
1612211581436489936,1612211581440033611,8.102711
1612211581536627689,1612211581540265253,8.69441
1612211581636753495,1612211581640275984,7.853492
1612211581736910464,1612211581741611377,9.166720
1612211581837074404,1612211581841986626,9.329194
1612211581937221669,1612211581940841302,8.21175
1612211582037370604,1612211582041256952,8.337353
1612211582137523074,1612211582141337587,8.410725
1612211582237686392,1612211582241266414,7.998587
1612211582337791728,1612211582341701965,8.569104
1612211582437938380,1612211582442059713,9.65303
1612211582538174092,1612211582541666525,8.119129
1612211582638304139,1612211582642094076,10.334956
1612211582738465443,1612211582742221912,8.502364
1612211582838617159,1612211582842685265,8.485159
1612211582938785912,1612211582942298877,8.119199
1612211583038907430,1612211583042369711,8.152399
1612211583139052790,1612211583142871566,8.777263
1612211583239162199,1612211583242928599,8.655546
1612211583339301387,1612211583343009833,8.338572
1612211583439416289,1612211583442748452,7.685405
1612211583539542143,1612211583543185503,8.93264
1612211583639670276,1612211583643561651,8.485330
1612211583739793411,1612211583743337371,7.894232
1612211583839930499,1612211583843638416,8.268819
1612211583940096113,1612211583945783648,10.181218
1612211584040220606,1612211584043783184,7.959160
1612211584140252876,1612211584144163433,8.604650
1612211584240366318,1612211584244146663,8.358356
1612211584340505033,1612211584344015087,7.848517
1612211584440629595,1612211584444316332,8.141113
1612211584540756687,1612211584544181056,7.847766
1612211584640881127,1612211584644980225,8.863213
1612211584741015195,1612211584744732343,8.82423
1612211584841126227,1612211584844879481,8.388356
1612211584941263073,1612211584945013418,8.321250
1612211585041417105,1612211585044749836,7.703560
1612211585141536662,1612211585145313993,8.285190
1612211585241690402,1612211585245453631,8.210735
1612211585341800590,1612211585345700173,8.466428
1612211585441915182,1612211585445682803,8.175147
1612211585542027694,1612211585545787438,8.261868
1612211585642154860,1612211585645968077,8.465658
1612211585742285263,1612211585745754098,7.892363
1612211585842418464,1612211585846193449,8.370488
1612211585942559463,1612211585946701604,9.45966
1612211586042692266,1612211586046189210,8.64333
1612211586142809218,1612211586147589807,9.548355
1612211586242959741,1612211586246708896,8.704810
1612211586343147882,1612211586347004341,8.440312
1612211586443354762,1612211586447211781,8.367381
1612211586543504713,1612211586551251503,12.516381
1612211586643687295,1612211586647788670,9.12632
1612211586743813134,1612211586747810701,8.583395
1612211586843968858,1612211586847799331,8.594499
1612211586944158369,1612211586948049174,8.463580
1612211587044303277,1612211587047797093,8.41478
1612211587144417629,1612211587148410652,8.570351
1612211587244635153,1612211587248331379,8.310682
1612211587344819216,1612211587348696827,8.939869
1612211587444900390,1612211587448601853,8.315303
1612211587545089067,1612211587548981702,8.374181
1612211587645260053,1612211587648958531,8.160378
1612211587745422835,1612211587748894859,8.36721
1612211587845571006,1612211587849070898,8.83668
1612211587945724902,1612211587949099230,8.36869
1612211588045928525,1612211588049461277,7.946481
1612211588146014827,1612211588149988933,8.393966
1612211588246193232,1612211588249946362,8.221254
1612211588346403310,1612211588350167403,8.477446
1612211588446540900,1612211588450305940,8.264985
1612211588546666588,1612211588550512380,8.262268
1612211588646832352,1612211588650824726,8.625778
1612211588746942628,1612211588750403536,7.797823
1612211588847172202,1612211588851121101,8.911411
1612211588947366734,1612211588951315441,8.476435
1612211589047587200,1612211589051673688,8.618516
1612211589147747521,1612211589151787924,8.475844
1612211589247869580,1612211589252493488,9.277
1612211589347990747,1612211589351494972,7.874598
1612211589448209891,1612211589451826418,8.386314
1612211589548374688,1612211589552122762,8.176956
1612211589648628800,1612211589652266100,8.324397
1612211589748785501,1612211589752580245,8.482936
1612211589848990202,1612211589853250108,8.867908
1612211589949186091,1612211589953081030,8.597933
1612211590049363069,1612211590053277270,8.375668
1612211590149542056,1612211590153363905,8.472440
1612211590249708941,1612211590253596146,8.569655
1612211590349847075,1612211590353426169,7.971951
1612211590449947198,1612211590453492403,8.106007
1612211590550093740,1612211590553729445,8.36674
1612211590650227516,1612211590654314103,8.601457
1612211590750362584,1612211590754044321,8.24571
1612211590850525646,1612211590854375767,8.486321
1612211590950662818,1612211590954480603,8.74396
1612211591050859702,1612211591055262970,9.142401
1612211591151007335,1612211591155394707,10.518474
1612211591251157836,1612211591254955417,8.468234
1612211591351303892,1612211591355008250,8.133975
1612211591451459576,1612211591454796671,7.691740
1612211591551601746,1612211591555175519,7.873678
1612211591651836687,1612211591655964987,9.49011
1612211591752006574,1612211591755923816,8.568627
1612211591852143790,1612211591855850943,8.321026
1612211591952285068,1612211591955865074,7.937359
1612211592052349662,1612211592056047413,10.221452
1612211592152485278,1612211592156281455,8.181498
1612211592252636344,1612211592256379190,8.207035
1612211592352809788,1612211592356496126,8.496914
1612211592453022412,1612211592456581461,7.900102
1612211592553087073,1612211592559830445,11.160803
1612211592653280548,1612211592657473165,8.590672
1612211592753447750,1612211592757211883,8.443669
1612211592853615954,1612211592857428324,8.292898
1612211592953756151,1612211592957481457,8.186612
1612211593053963233,1612211593057866006,8.349613
1612211593154108893,1612211593157956040,8.641902
1612211593254345965,1612211593258053976,8.604779
1612211593354501673,1612211593360523423,10.620706
1612211593454710011,1612211593459000382,9.87167
1612211593554855960,1612211593558173973,7.768441
1612211593655073925,1612211593659024044,8.544519
1612211593755223777,1612211593758865067,8.219451
1612211593855418876,1612211593859439925,8.675729
1612211593955642094,1612211593959588163,8.428478
1612211594055856767,1612211594059262678,7.759835
1612211594156027850,1612211594160206253,8.707526
1612211594256191910,1612211594259837566,8.230711
1612211594356333591,1612211594360029706,8.83868
1612211594456478736,1612211594460303349,8.450498
1612211594556634557,1612211594561913756,9.906023
1612211594656817345,1612211594660599025,8.192429
1612211594756929335,1612211594760648558,8.109202
1612211594857083828,1612211594861080409,8.467732
1612211594957202454,1612211594960836928,7.924462
1612211595057259105,1612211595060826758,7.952039
1612211595157393994,1612211595161089601,8.275745
1612211595257577430,1612211595261185136,8.70866
1612211595357720009,1612211595364162308,10.880137
1612211595457858539,1612211595461577016,8.85831
1612211595557999495,1612211595566079459,12.793135
1612211595658132691,1612211595661872091,8.176257
1612211595758251066,1612211595761707314,7.945440
1612211595858350855,1612211595862043860,8.171951
1612211595958492771,1612211595962146296,8.31630
1612211596058650895,1612211596062092624,7.862874
1612211596158820072,1612211596162793088,8.406970
1612211596258956939,1612211596262632811,8.721861
1612211596359102273,1612211596362648342,8.11014
1612211596459194566,1612211596462975288,8.225411
1612211596559334587,1612211596563049322,8.169383
1612211596659458150,1612211596663926894,8.922369
1612211596759592953,1612211596763449502,8.286824
1612211596859711092,1612211596863678044,8.844780
1612211596959870127,1612211596963948087,8.440266
1612211597059999782,1612211597063603601,8.211655
1612211597160189774,1612211597163721538,8.127589
1612211597260338267,1612211597264905924,9.202476
1612211597360561706,1612211597364355029,8.530462
1612211597460764419,1612211597464644373,8.403222
1612211597560936719,1612211597565272334,8.729567
1612211597661070777,1612211597664687836,8.4309
1612211597761155395,1612211597764570162,7.979891
1612211597861272785,1612211597865012913,8.122420
1612211597961526825,1612211597965171951,8.149302
1612211598061723534,1612211598065327489,8.272289
1612211598161871678,1612211598166899994,9.718324
1612211598262034575,1612211598266972728,9.443972
1612211598362172474,1612211598366108018,8.348977
1612211598462394756,1612211598466206753,8.593487
1612211598562584600,1612211598566196183,8.520897
1612211598662725808,1612211598666175913,8.45266
1612211598762866623,1612211598766297149,8.78997
1612211598863034754,1612211598866639096,8.5625
1612211598963139023,1612211598966761032,7.997604
1612211599063291430,1612211599067857215,9.137768
1612211599163435038,1612211599167397624,8.466727
1612211599263617428,1612211599267375553,8.207239
