#client-send-timestamp,server-timestamp,e2e-rtt
1612903638739693043,1612903638742971045,7.686643
1612903638839854576,1612903638843512890,8.566527
1612903638939982950,1612903638943543998,8.34655
1612903639040111801,1612903639043732818,8.310882
1612903639140241923,1612903639143974642,8.202895
1612903639240367097,1612903639244097057,8.200891
1612903639340522218,1612903639344274575,8.339565
1612903639440671802,1612903639444136171,7.960617
1612903639540745223,1612903639544538406,8.446621
1612903639640892615,1612903639644670822,8.330121
1612903639741043223,1612903639744810638,8.252446
1612903639841198425,1612903639844925152,8.683440
1612903639941367135,1612903639944951060,8.251704
1612903640041510567,1612903640045191783,8.183478
1612903640141660909,1612903640145237892,8.91168
1612903640241798402,1612903640245438613,8.140733
1612903640341948911,1612903640345292408,7.825897
1612903640442096828,1612903640445719245,8.182961
1612903640542250606,1612903640547057050,9.403373
1612903640642379607,1612903640645898470,7.961595
1612903640742483464,1612903640746194997,8.187813
1612903640842643330,1612903640846138199,8.2709
1612903640942767034,1612903640946493331,8.250912
1612903641042902258,1612903641046542440,8.543843
1612903641143051735,1612903641146844668,8.309232
1612903641243216781,1612903641246602156,7.777596
1612903641343354173,1612903641346832479,7.834506
1612903641443476655,1612903641447070202,7.934135
1612903641543627158,1612903641547289924,8.113997
1612903641643745384,1612903641647290630,8.78162
1612903641743875016,1612903641747382842,8.31428
1612903641844019703,1612903641847442752,7.908962
1612903641944173771,1612903641947505263,7.698705
1612903642044316440,1612903642047746586,7.955638
1612903642144392239,1612903642147883502,8.295225
1612903642244535587,1612903642248425948,8.921669
1612903642344664763,1612903642348139933,7.997136
1612903642444742893,1612903642448220944,8.414738
1612903642544890327,1612903642548590577,8.131438
1612903642645033650,1612903642648540079,8.549601
1612903642745191007,1612903642748705397,7.924107
1612903642845238122,1612903642848913218,8.185613
1612903642945368831,1612903642948962328,8.94373
1612903643045516143,1612903643049262656,8.315739
1612903643145664380,1612903643149379870,8.369112
1612903643245881768,1612903643254624064,13.407952
1612903643346072675,1612903643349803413,8.422154
1612903643446220383,1612903643449713612,8.241668
1612903643546375815,1612903643549985338,8.20221
1612903643646499527,1612903643650209360,8.304338
1612903643746646308,1612903643750236568,8.42847
1612903643846774409,1612903643850303578,8.106311
1612903643946931664,1612903643950582605,8.487095
1612903644047071726,1612903644050729121,8.113432
1612903644147206363,1612903644150912740,8.220703
1612903644247371630,1612903644254328799,11.796402
1612903644347502628,1612903644351104266,8.103120
