#client-send-timestamp,server-timestamp,e2e-rtt
1612893931934731375,1612893931944438660,22.345504
1612893932034899127,1612893932045593617,21.870253
1612893932135064660,1612893932145071126,21.17420
1612893932235160853,1612893932245112454,21.57196
1612893932335260419,1612893932345147815,20.822753
1612893932435400859,1612893932445156954,20.946792
1612893932535538127,1612893932545552848,21.678
1612893932635711622,1612893932645444600,20.718889
1612893932735848044,1612893932747159659,22.256136
1612893932835987813,1612893932846152991,21.94872
1612893932936136028,1612893932945977828,20.770576
1612893933036270429,1612893933046030740,20.742420
1612893933136406967,1612893933146171360,20.685916
1612893933236547553,1612893933246447618,20.834982
1612893933336681174,1612893933346651235,20.882034
1612893933436831113,1612893933446596136,20.752772
1612893933536959665,1612893933546917769,20.902549
1612893933637086546,1612893933646867848,20.779887
1612893933737220601,1612893933746940621,20.701668
1612893933837380269,1612893933847142547,20.718901
1612893933937534558,1612893933947441081,20.864042
1612893934037663558,1612893934047579957,20.821700
1612893934137815945,1612893934147478278,20.627769
1612893934237949449,1612893934247554383,20.460352
1612893934338082564,1612893934347790256,20.600659
1612893934438219862,1612893934447870547,20.506177
1612893934538365508,1612893934548109510,20.625615
1612893934638511315,1612893934648337305,20.746727
1612893934738645218,1612893934748337936,20.555058
1612893934838806034,1612893934848555283,20.622669
1612893934938918313,1612893934949526931,21.572881
1612893935039070940,1612893935049151140,21.44688
1612893935139209362,1612893935149516322,21.199244
1612893935239353330,1612893935249088283,20.686263
1612893935339505918,1612893935349117758,20.546150
1612893935439615801,1612893935449432615,20.724787
1612893935539754920,1612893935549820352,20.969683
1612893935639799805,1612893935649686568,21.369314
1612893935739953769,1612893935749673502,20.632376
1612893935840103027,1612893935849997854,20.839354
1612893935940239484,1612893935950007172,20.701041
1612893936040367261,1612893936050131756,20.807506
1612893936140518616,1612893936150274009,20.743695
1612893936240663559,1612893936250470561,20.728775
1612893936340812345,1612893936350451496,20.643243
1612893936440943749,1612893936450628519,20.616749
1612893936541058133,1612893936550774538,20.619588
1612893936641188335,1612893936650928840,20.705394
1612893936741338636,1612893936751118643,20.706542
1612893936841490739,1612893936851236549,20.675088
1612893936941630196,1612893936951531259,20.811945
1612893937041774630,1612893937051495259,20.657782
1612893937141887530,1612893937151572951,20.598066
1612893937241986387,1612893937251629171,20.543159
1612893937342117752,1612893937351763522,20.852336
1612893937442266125,1612893937452072111,20.729035
1612893937542372665,1612893937552011939,20.525627
1612893937642514422,1612893937652820841,21.236894
1612893937742684650,1612893937752488420,20.733453
1612893937842834832,1612893937852540713,20.590216
1612893937942967966,1612893937952651105,20.573516
1612893938043118926,1612893938052777486,20.640171
1612893938143264145,1612893938153154239,20.814509
1612893938243413679,1612893938253221295,20.746986
1612893938343564336,1612893938353169991,20.525826
1612893938443713485,1612893938453428148,20.752409
1612893938543827801,1612893938553729128,20.779406
1612893938643973805,1612893938653788306,20.747424
1612893938744101847,1612893938754000795,20.813602
1612893938844262080,1612893938854282986,21.551168
1612893938944401117,1612893938954063353,20.580339
1612893939044610009,1612893939054420707,20.878241
1612893939144859440,1612893939154624806,20.807956
1612893939245024534,1612893939254640599,20.530804
1612893939345260455,1612893939355160560,20.948385
1612893939445396171,1612893939455095876,20.656242
1612893939545530530,1612893939555415034,20.802076
1612893939645692445,1612893939655488839,20.867002
1612893939745843768,1612893939755769128,20.826580
1612893939845963097,1612893939855641147,20.630537
1612893939946110576,1612893939955680460,20.505383
1612893940046287871,1612893940056130972,20.882903
1612893940146467872,1612893940156230738,20.650915
1612893940246626153,1612893940256514329,20.819414
1612893940346764999,1612893940356473474,20.615848
1612893940446924141,1612893940456655950,20.709915
1612893940547072050,1612893940556751396,20.546175
1612893940647207597,1612893940656856713,20.584794
1612893940747358264,1612893940757501690,21.110960
1612893940847533600,1612893940857298655,20.748522
1612893940947668540,1612893940957528620,20.742159
1612893941047801607,1612893941057716388,20.823520
1612893941147921886,1612893941157879550,20.848189
1612893941248061350,1612893941257732540,20.564672
1612893941348181305,1612893941358091325,20.802170
1612893941448319055,1612893941458086425,20.634842
1612893941548448294,1612893941558314044,20.765469
1612893941648600108,1612893941658654702,21.14533
1612893941748699597,1612893941758684655,20.931935
1612893941848828546,1612893941858511539,20.566868
1612893941948967689,1612893941958582781,20.518638
1612893942049087611,1612893942058742601,20.560456
1612893942149234217,1612893942158879497,20.585462
1612893942249367325,1612893942259221475,20.806096
1612893942349504057,1612893942359177090,20.614876
1612893942449656809,1612893942459414019,20.866482
1612893942549849952,1612893942559619095,20.684692
1612893942649981450,1612893942659989689,21.11168
1612893942750071265,1612893942759783568,20.713823
1612893942850224809,1612893942859899745,20.658034
1612893942950346295,1612893942959990779,20.624503
1612893943050497451,1612893943060939908,21.387260
1612893943150639924,1612893943160262565,20.527511
1612893943250781197,1612893943260451124,20.658582
1612893943350911325,1612893943360689175,20.679571
1612893943451031163,1612893943460781520,20.698076
1612893943551175392,1612893943560917136,20.711234
1612893943651302126,1612893943661123703,20.837844
1612893943751457743,1612893943761237360,20.761229
1612893943851588772,1612893943861325557,20.650906
1612893943951750858,1612893943961527760,20.836690
1612893944051893724,1612893944061646973,20.660926
1612893944152045850,1612893944163123868,22.34457
1612893944252178933,1612893944261938587,20.706476
1612893944352328412,1612893944362231761,20.792873
1612893944452461788,1612893944462248435,20.659130
1612893944552605880,1612893944562558713,20.892069
1612893944652720835,1612893944662522654,20.724431
1612893944752873672,1612893944763072259,21.222270
1612893944852989627,1612893944862747175,20.655538
1612893944953135650,1612893944962930699,20.861821
1612893945053291331,1612893945063104491,21.180824
1612893945153435173,1612893945163270494,20.752798
1612893945253566888,1612893945263289612,20.603020
1612893945353726171,1612893945363641844,20.847617
1612893945453864035,1612893945463456569,20.471624
1612893945554021667,1612893945563883182,20.734688
1612893945654151196,1612893945663990233,20.735481
1612893945754274407,1612893945764016093,20.644416
1612893945854427567,1612893945864276597,21.352348
1612893945954564808,1612893945964345932,20.668434
1612893946054742395,1612893946064454843,21.211281
1612893946154890031,1612893946164599140,20.667602
1612893946255038704,1612893946264832018,20.784556
1612893946355151985,1612893946364940629,20.675127
1612893946455288261,1612893946465180421,20.791372
1612893946555454647,1612893946565291126,20.794563
1612893946655612607,1612893946665367201,20.733432
1612893946755773985,1612893946765595768,20.761667
1612893946855921726,1612893946865733596,20.701607
1612893946956051605,1612893946965748127,20.621767
1612893947056203180,1612893947065945228,20.641685
1612893947156356595,1612893947166075177,20.599194
1612893947256499787,1612893947266226621,20.966398
1612893947356587083,1612893947366253164,20.698790
1612893947456736368,1612893947466530726,21.368698
1612893947556890777,1612893947566717719,20.796483
1612893947657033841,1612893947666804786,20.671497
1612893947757180090,1612893947766976218,20.705712
1612893947857326945,1612893947867071561,20.746885
1612893947957465861,1612893947967138293,20.582330
1612893948057567770,1612893948067528945,20.994781
1612893948157636388,1612893948167338251,20.647704
1612893948257771764,1612893948267502656,20.677785
1612893948357878062,1612893948367491223,20.572924
1612893948458024027,1612893948467757579,20.630748
1612893948558149666,1612893948567930057,20.844463
1612893948658302872,1612893948668029305,20.643492
1612893948758429422,1612893948768082934,20.612852
1612893948858611758,1612893948868474143,20.828474
1612893948958723151,1612893948968520234,20.717505
1612893949058856096,1612893949068599275,20.663015
1612893949158981850,1612893949168738292,20.727341
1612893949259126824,1612893949268919746,20.712209
1612893949359245738,1612893949368995420,20.711923
