#client-send-timestamp,server-timestamp,e2e-rtt
1621947162992536990,1621947162993625380,3.518634
1621947163092665836,1621947163093656808,3.528199
1621947163192819119,1621947163193750780,3.418006
1621947163292950600,1621947163294578077,4.112343
1621947163393097730,1621947163394043352,3.451848
1621947163493219466,1621947163494889842,4.175356
1621947163593356455,1621947163594455203,3.595142
1621947163693521567,1621947163694576623,3.538643
1621947163793667886,1621947163794702203,3.698872
1621947163893800993,1621947163894711057,3.405461
1621947163993954667,1621947163994867697,3.389954
1621947164094108575,1621947164095053077,3.424903
1621947164194264914,1621947164195293856,3.47937
1621947164294397045,1621947164295361418,3.426827
1621947164394536636,1621947164395645800,3.590589
1621947164494683848,1621947164495615935,3.412084
1621947164594822904,1621947164595697064,3.397529
1621947164694964017,1621947164695873400,3.572125
1621947164795081495,1621947164795950429,3.291403
1621947164895237791,1621947164896876263,4.979631
1621947164995374744,1621947164996341231,3.487709
1621947165095502525,1621947165096482789,3.460321
1621947165195654867,1621947165198130576,4.882497
1621947165295781678,1621947165296811412,3.523951
1621947165395936653,1621947165397009024,3.631792
1621947165496097187,1621947165497108563,3.521204
1621947165596218892,1621947165597107158,3.324371
1621947165696375548,1621947165697342898,3.406331
1621947165796521320,1621947165797378559,3.332673
1621947165896642075,1621947165897624629,3.670184
1621947165996818692,1621947165997702940,3.401138
1621947166096959134,1621947166097891668,3.434054
1621947166197119846,1621947166198041148,3.918362
1621947166297274748,1621947166298188596,3.409629
1621947166397405348,1621947166398293015,3.361499
1621947166497558813,1621947166498496135,3.449285
1621947166597689079,1621947166598635655,3.477952
1621947166697834598,1621947166698755566,3.419064
1621947166797996031,1621947166798947381,3.430925
1621947166898141727,1621947166899107549,3.442965
1621947166998254525,1621947166999176987,3.394085
1621947167098377706,1621947167099409112,3.574272
1621947167198524539,1621947167199380381,3.402617
1621947167298680248,1621947167299595599,3.477334
1621947167398816228,1621947167399733100,3.495235
1621947167498942468,1621947167499870208,3.577002
1621947167599076809,1621947167600024271,3.547024
1621947167699212485,1621947167700173277,3.540948
1621947167799328732,1621947167800315555,3.492612
1621947167899454359,1621947167900439686,3.460416
1621947167999573110,1621947168000645038,3.57758
1621947168099708921,1621947168102429330,5.214015
1621947168199822916,1621947168200710211,3.454974
1621947168299942133,1621947168300951421,3.496491
1621947168400087030,1621947168401474956,3.880054
1621947168500216072,1621947168501238480,3.507437
1621947168600372205,1621947168601432340,5.000164
1621947168700502609,1621947168701540783,3.510016
1621947168800634281,1621947168801537378,3.354522
1621947168900767987,1621947168901771491,3.759656
1621947169000835880,1621947169001877583,3.560167
1621947169100979097,1621947169102157520,3.670792
1621947169201103527,1621947169202031074,3.464731
1621947169301235444,1621947169302185846,3.447885
1621947169401385320,1621947169402340064,3.427213
1621947169501545505,1621947169502784908,3.854049
1621947169601681329,1621947169602744978,3.57572
1621947169701807210,1621947169702702009,3.315236
1621947169801947596,1621947169802805847,4.105365
1621947169902125113,1621947169903116258,3.61735
1621947170002259238,1621947170003230582,3.450041
1621947170102425379,1621947170103511481,3.600572
1621947170202584553,1621947170203450202,3.368891
1621947170302753926,1621947170303726621,3.464541
1621947170402885691,1621947170403847180,3.521916
1621947170503006536,1621947170504024007,3.657857
1621947170603150435,1621947170604678244,4.027331
1621947170703283572,1621947170704221949,3.497764
1621947170803420293,1621947170804727780,3.792641
1621947170903572706,1621947170904479331,3.484329
1621947171003702022,1621947171004542795,3.457058
1621947171103867012,1621947171104952403,3.55663
1621947171204016165,1621947171204894592,3.693519
1621947171304133729,1621947171304968258,3.257216
1621947171404275874,1621947171405138022,3.324804
1621947171504429199,1621947171505326831,3.342306
1621947171604568638,1621947171605559908,3.72503
1621947171704704577,1621947171705854079,3.750798
1621947171804875628,1621947171805735602,3.350808
1621947171905002992,1621947171906475733,3.98962
1621947172005128869,1621947172006062891,3.560397
1621947172105255844,1621947172106131185,3.309011
1621947172205371452,1621947172206337511,3.483317
1621947172305507940,1621947172306468633,3.45813
1621947172405658024,1621947172406544956,3.348028
1621947172505802860,1621947172506781016,3.448799
1621947172605969843,1621947172606934392,3.462536
1621947172706097341,1621947172706999625,3.322051
1621947172806229642,1621947172807048854,3.377066
1621947172906372361,1621947172907252306,3.377215
1621947173006535070,1621947173007467388,3.407994
1621947173106662024,1621947173107592306,3.472723
1621947173206809412,1621947173207989539,3.664136
1621947173306903975,1621947173307880064,3.431731
1621947173407038782,1621947173408093543,3.902706
1621947173507146223,1621947173508144024,3.522616
1621947173607325448,1621947173608246314,3.529623
1621947173707449730,1621947173708445296,3.528568
1621947173807596020,1621947173808635349,3.594114
1621947173907742117,1621947173908813800,3.697585
1621947174007845364,1621947174008724010,3.426179
1621947174107968501,1621947174108970789,3.524922
1621947174208101059,1621947174208996025,3.440589
1621947174308226882,1621947174309174899,3.470101
1621947174408375446,1621947174409457110,3.572791
1621947174508497649,1621947174509327513,3.33861
1621947174608631935,1621947174609551458,3.433953
1621947174708781672,1621947174709715695,3.449976
1621947174808910532,1621947174809793848,3.300203
1621947174909074338,1621947174909918989,3.323992
1621947175009221083,1621947175010234613,3.468757
1621947175109369743,1621947175110339907,3.476658
1621947175209502487,1621947175210415093,3.462833
1621947175309657018,1621947175310585140,3.500539
1621947175409812909,1621947175410735329,3.451557
1621947175510001556,1621947175511160667,3.781319
1621947175610049432,1621947175611012495,3.473328
1621947175710198428,1621947175711192129,4.674743
1621947175810339259,1621947175811278977,3.49298
1621947175910376188,1621947175911742270,4.413732
1621947176010484056,1621947176011369052,3.535312
1621947176110632486,1621947176111695633,3.530595
1621947176210757566,1621947176211622561,3.397164
1621947176310902448,1621947176311802388,4.142961
1621947176411037286,1621947176411950176,3.356799
1621947176511162338,1621947176512066830,3.489698
1621947176611293950,1621947176612200036,3.440456
1621947176711482182,1621947176712380175,3.416176
1621947176811642591,1621947176812622875,3.559085
1621947176911777100,1621947176912725855,3.536398
1621947177011962558,1621947177012789592,3.387769
1621947177112124169,1621947177113096560,3.478576
1621947177212268743,1621947177213751158,3.975549
1621947177312408311,1621947177313341193,3.51848
1621947177412527731,1621947177413533000,3.459906
1621947177512683302,1621947177513636541,3.532838
1621947177612820921,1621947177614301173,4.255851
1621947177712996021,1621947177713968019,3.412722
1621947177813153534,1621947177814066290,3.506894
1621947177913294875,1621947177914244326,3.44352
1621947178013438725,1621947178014326674,3.449751
1621947178113585823,1621947178114435790,3.350818
1621947178213682393,1621947178214733067,3.543146
1621947178313820316,1621947178314690099,3.355392
1621947178413962969,1621947178415097019,3.655426
1621947178514119929,1621947178515087371,3.896708
1621947178614236225,1621947178615128554,3.385048
1621947178714381944,1621947178715309809,3.44013
1621947178814512141,1621947178815526583,3.607262
1621947178914638436,1621947178915520529,3.328599
1621947179014800448,1621947179015788022,3.427295
1621947179114963369,1621947179116165434,4.179735
1621947179215143260,1621947179216114055,3.442838
1621947179315284970,1621947179316207876,3.388205
1621947179415434251,1621947179416360232,3.420104
1621947179515571310,1621947179516435431,3.841114
1621947179615670371,1621947179616568192,3.350818
1621947179715757998,1621947179716684203,3.417834
1621947179815911808,1621947179816841111,3.485642
1621947179916046360,1621947179916938193,3.463623
1621947180016202504,1621947180018325264,4.67808
1621947180116399973,1621947180117343075,4.478488
1621947180216535578,1621947180217663470,3.987132
1621947180316675850,1621947180317555291,3.591712
1621947180416826518,1621947180417697611,3.380751
1621947180516956985,1621947180517895842,3.453383
1621947180617092991,1621947180617959980,3.373838
1621947180717227721,1621947180718158171,5.185146
1621947180817346643,1621947180818269921,3.380917
1621947180917495032,1621947180919550252,4.561606
1621947181017614712,1621947181018462490,3.29853
1621947181117765364,1621947181118804533,3.58074
1621947181217915533,1621947181218857979,3.490473
1621947181318065796,1621947181319046499,3.899426
1621947181418218593,1621947181419159170,3.901662
1621947181518361396,1621947181519392878,3.508653
1621947181618487570,1621947181619931423,3.966417
1621947181718654602,1621947181720644582,4.479659
1621947181818778679,1621947181819573035,3.282899
1621947181918911752,1621947181919820514,3.400749
1621947182019064831,1621947182020030339,3.464764
1621947182119199787,1621947182124458637,7.794658
1621947182219297277,1621947182220224898,3.430548
1621947182319429209,1621947182320389104,3.452938
1621947182419564561,1621947182420501903,3.349197
1621947182519714416,1621947182520599890,3.379601
1621947182619846947,1621947182620752701,3.377921
1621947182719982313,1621947182720965271,3.464514
1621947182820099062,1621947182821033821,3.390889
1621947182920209165,1621947182921108693,3.390768
1621947183020343295,1621947183021781206,3.974757
1621947183120480339,1621947183121482488,3.544744
1621947183220616555,1621947183221729751,3.764212
1621947183320749261,1621947183321799833,4.314195
1621947183420860400,1621947183421766485,4.327069
1621947183520975799,1621947183521940231,3.43564
1621947183621111048,1621947183622147397,3.466864
1621947183721263505,1621947183722233672,3.541185
1621947183821414866,1621947183822337747,3.330501
1621947183921542351,1621947183922425804,3.404262
1621947184021720871,1621947184022741344,3.481367
1621947184121848813,1621947184122815924,3.463443
1621947184221993807,1621947184222933245,3.479673
1621947184322155382,1621947184323813720,4.239894
1621947184422284870,1621947184423334269,3.548673
1621947184522422891,1621947184523399734,3.47607
1621947184622548619,1621947184623461474,3.373569
