#client-send-timestamp,server-timestamp,e2e-rtt
1613311073468676527,1613311073470766247,3.639017
1613311073568885294,1613311073570975986,3.525017
1613311073668980362,1613311073671150861,3.461116
1613311073769105829,1613311073771319948,3.598317
1613311073869312197,1613311073871794250,3.855618
1613311073969387564,1613311073971703030,3.646117
1613311074069526731,1613311074071749284,3.582117
1613311074169680598,1613311074171853212,3.657917
1613311074269827966,1613311074272047914,3.576116
1613311074369982733,1613311074372208348,3.535517
1613311074470195501,1613311074472438912,3.603417
1613311074570360068,1613311074572482140,3.592917
1613311074670526336,1613311074672759409,3.811517
1613311074770719603,1613311074773001756,3.629117
1613311074870935071,1613311074873170905,3.723617
1613311074971094838,1613311074973408791,3.768618
1613311075071242206,1613311075073441091,3.746317
1613311075171416173,1613311075173499537,3.522017
1613311075271628141,1613311075273847061,3.601317
1613311075371749608,1613311075373972582,3.661217
1613311075471905776,1613311075474112186,3.619117
1613311075572081743,1613311075574234289,3.605817
1613311075672278411,1613311075674434546,3.645617
1613311075772518279,1613311075774785433,3.594916
1613311075872682946,1613311075874884740,3.717517
1613311075972829813,1613311075975079050,3.583617
1613311076072902480,1613311076075550176,3.997519
1613311076173002048,1613311076175156267,3.471816
1613311076273190115,1613311076275450406,3.691217
1613311076373392383,1613311076375679711,4.273820
1613311076473553450,1613311076475715199,3.569817
1613311076573798018,1613311076576115200,3.760818
1613311076673958785,1613311076676201280,3.789418
1613311076774096653,1613311076776243205,3.519816
1613311076874273520,1613311076876413580,3.502417
1613311076974452588,1613311076976645026,3.647217
1613311077074538855,1613311077076718641,3.606817
1613311077174648522,1613311077176887369,3.580017
1613311077274736889,1613311077277042496,3.766718
1613311077374918957,1613311077377214847,7.406134
1613311077475012924,1613311077477171605,4.622221
1613311077575681094,1613311077578540411,4.708922
1613311077676256663,1613311077678759639,4.443921
1613311077776497931,1613311077778859105,3.793018
1613311077876699599,1613311077878982994,3.635816
1613311077976813966,1613311077979066068,4.536821
1613311078076893733,1613311078079061833,3.536116
1613311078177039700,1613311078179180600,3.573717
1613311078277303268,1613311078279515522,3.637017
1613311078377489736,1613311078379668070,3.599016
1613311078477647703,1613311078479804636,3.637517
1613311078577833471,1613311078580138074,3.898718
1613311078678028838,1613311078680241046,3.831318
1613311078778152105,1613311078780336912,3.589417
1613311078878434873,1613311078880792417,3.726218
1613311078978586841,1613311078980753896,3.545416
1613311079078772408,1613311079080964486,4.9719
1613311079178981576,1613311079181128524,3.699217
1613311079279116543,1613311079281405127,3.681318
1613311079379310511,1613311079381461343,3.506516
1613311079479400578,1613311079481596765,3.533217
1613311079579534745,1613311079581728426,3.901119
1613311079679771813,1613311079682159932,3.788918
1613311079779927981,1613311079782172307,3.624017
1613311079880184549,1613311079882406612,3.748817
1613311079980301716,1613311079982446488,3.471816
1613311080080517683,1613311080082923962,4.537022
1613311080180629251,1613311080182906557,3.638917
1613311080280769718,1613311080283007805,3.631917
1613311080380974786,1613311080383203173,3.566716
1613311080481077253,1613311080483257779,3.656317
1613311080581259820,1613311080583533942,3.805418
1613311080683964600,1613311080686138440,3.627217
1613311080784056967,1613311080786278947,3.561816
1613311080884144234,1613311080886204992,3.389216
1613311080984308001,1613311080986445335,3.644417
1613311081084484569,1613311081086701695,3.692317
1613311081184587636,1613311081186775910,3.587017
1613311081284736303,1613311081287042371,3.653817
1613311081384910571,1613311081387181807,3.617417
1613311081485071038,1613311081487218166,3.539817
1613311081585279106,1613311081587726677,3.903718
1613311081685353373,1613311081687540581,3.618717
1613311081785454940,1613311081787666658,3.573017
1613311081885639608,1613311081887850522,5.994528
1613311081985773975,1613311081988076056,3.645717
1613311082085936842,1613311082088678072,4.221220
1613311082186183510,1613311082188787647,4.178220
1613311082286367878,1613311082288492290,3.524016
1613311082386596146,1613311082388962920,3.738617
1613311082486685613,1613311082488904395,3.747717
1613311082586858880,1613311082589123181,3.734818
1613311082686932947,1613311082689184906,3.728418
1613311082787021114,1613311082789348900,3.832818
1613311082887109281,1613311082889359728,3.616317
1613311082987198648,1613311082989424431,3.527017
1613311083087376316,1613311083089658747,3.736817
1613311083187555384,1613311083189670506,5.55923
1613311083287736451,1613311083289935761,3.570017
1613311083387857018,1613311083390092568,3.672917
1613311083488038586,1613311083490405041,3.914918
1613311083588144553,1613311083590481282,3.765418
1613311083688235420,1613311083690504884,3.671017
1613311083788395188,1613311083790626533,3.765317
1613311083888529955,1613311083890615330,3.442016
1613311083992870242,1613311083995035599,3.566316
1613311084093083909,1613311084095439864,3.744518
1613311084193246877,1613311084195407820,3.526416
1613311084293406844,1613311084295615843,3.601917
1613311084393580212,1613311084395771855,3.515016
1613311084493738879,1613311084496047979,3.777618
1613311084593880647,1613311084596404660,4.596621
1613311084694084414,1613311084696478717,4.296120
1613311084794180681,1613311084796351809,3.539617
1613311084894306949,1613311084896555080,3.612317
1613311084994494016,1613311084996942744,3.948419
1613311085094600983,1613311085096926883,3.669818
1613311085194735551,1613311085197025556,3.654617
1613311085294890918,1613311085297079988,3.799618
1613311085395029785,1613311085397214744,3.736518
1613311085495173753,1613311085497314207,3.533016
1613311085595338720,1613311085597710493,3.732318
1613311085695432987,1613311085697719664,3.705618
1613311085795517054,1613311085797791761,3.945219
1613311085895663922,1613311085897834125,3.503716
1613311085995821989,1613311085998058453,3.695917
1613311086096006657,1613311086098263927,3.666117
1613311086196187724,1613311086198938146,4.171820
1613311086296422692,1613311086298854172,3.949019
1613311086396619760,1613311086399021482,3.780017
1613311086496755427,1613311086498968206,3.585217
1613311086596868294,1613311086599179842,3.815818
1613311086696992261,1613311086699316081,4.60819
1613311086797066028,1613311086799347183,3.611517
1613311086897300496,1613311086899468678,3.827318
1613311086997337963,1613311086999677336,4.98019
1613311087097555431,1613311087099803192,3.708917
1613311087197661898,1613311087199869259,3.673817
1613311087297846366,1613311087300098934,3.697317
1613311087397989333,1613311087400172145,3.542716
1613311087498129500,1613311087500343542,3.817618
1613311087598269368,1613311087600506600,3.619516
1613311087698443635,1613311087700727902,3.733417
1613311087798580702,1613311087800759442,3.646317
1613311087898741770,1613311087900945948,5.79324
1613311087998868237,1613311088001117501,3.612717
1613311088099377706,1613311088101614961,3.638017
1613311088199490973,1613311088201840247,8.457940
1613311088299809842,1613311088302025823,3.967518
1613311088399950909,1613311088402222020,3.644217
1613311088500154276,1613311088502383392,3.696118
1613311088600277444,1613311088602547194,3.867018
1613311088700367011,1613311088702562953,3.502016
1613311088800689079,1613311088802803769,3.577117
1613311088900811146,1613311088903570993,4.126020
1613311089000894213,1613311089003057376,3.624417
1613311089100970380,1613311089103304101,3.782118
1613311089201073348,1613311089203299426,3.743217
1613311089301185015,1613311089303320990,3.520216
1613311089401277682,1613311089403385781,3.648817
1613311089501391049,1613311089503520067,3.721317
1613311089601495716,1613311089603712765,3.587117
1613311089701659684,1613311089703946922,3.672417
1613311089801800051,1613311089803823110,3.467016
1613311089901979619,1613311089904164873,3.626916
1613311090002137686,1613311090004367756,3.743817
1613311090102305653,1613311090104517797,4.492721
1613311090202541221,1613311090204872413,3.680517
1613311090302762489,1613311090305125444,3.798818
1613311090402883656,1613311090405138705,3.628017
1613311090503033824,1613311090505278725,3.669317
1613311090603223791,1613311090605478333,3.729418
1613311090703381659,1613311090705702514,4.5018
1613311090803518126,1613311090805956408,3.945118
1613311090903614793,1613311090905903533,3.642817
1613311091003872861,1613311091006172675,3.660717
1613311091104118129,1613311091106315391,3.676517
1613311091204269396,1613311091206571571,3.598117
1613311091304408963,1613311091306636638,3.638617
1613311091404607731,1613311091406869115,3.680817
1613311091504742198,1613311091506957244,3.764918
1613311091604879466,1613311091607110336,3.641517
1613311091705012033,1613311091707299491,3.642217
1613311091805108600,1613311091807317692,3.560617
1613311091905321168,1613311091907639208,3.806318
1613311092005464535,1613311092007726367,3.594917
1613311092105623203,1613311092107942608,3.872418
1613311092205642869,1613311092207838358,3.514217
1613311092305972638,1613311092308304129,3.789117
1613311092406098605,1613311092408464750,3.744617
1613311092506453273,1613311092508619501,3.682417
1613311092606546940,1613311092608750492,3.643717
1613311092706678208,1613311092708844648,3.600916
1613311092806778975,1613311092809148358,3.741017
1613311092906960542,1613311092909183963,3.643617
1613311093007128110,1613311093009323757,3.646417
1613311093107275377,1613311093109434526,4.43819
1613311093207443444,1613311093209554237,3.538417
1613311093307570012,1613311093309872045,3.802618
1613311093407713579,1613311093409938903,3.645817
1613311093507804846,1613311093509875002,3.917918
1613311093607876213,1613311093610132245,3.616817
1613311093707987780,1613311093710148555,3.509717
1613311093808092148,1613311093810345534,3.641717
1613311093908269015,1613311093910397798,3.579717
1613311094008438283,1613311094010618519,3.557516
1613311094108552350,1613311094110784093,3.554816
1613311094208737017,1613311094211021941,4.738622
1613311094308839584,1613311094311055302,3.580717
1613311094408982952,1613311094411170436,3.616617
1613311094509165119,1613311094511442227,3.650717
1613311094609295687,1613311094611396730,3.600216
1613311094709439454,1613311094711689218,3.564117
1613311094809597021,1613311094811843132,3.575917
1613311094909809089,1613311094911939096,3.724217
1613311095009936956,1613311095012092669,3.539817
1613311095110095924,1613311095112271048,3.770517
1613311095210140591,1613311095212311436,3.631317
1613311095310324258,1613311095312492049,3.497817
1613311095410494826,1613311095412724919,4.491521
1613311095510659493,1613311095512919106,3.645317
1613311095610811960,1613311095612983249,3.698618
1613311095710969928,1613311095713190045,3.562317
1613311095811124795,1613311095813200427,3.416616
1613311095911304563,1613311095913491875,3.637717
1613311096011477930,1613311096013579954,3.610617
1613311096111625998,1613311096113847933,3.581116
1613311096211859665,1613311096214081005,3.601117
1613311096312015233,1613311096314249561,3.734517
1613311096412190500,1613311096414600067,4.40319
1613311096512478268,1613311096514753592,3.655317
1613311096612639336,1613311096614804187,3.545816
1613311096712809003,1613311096715105705,4.104319
1613311096812897770,1613311096815074267,3.651217
1613311096913144838,1613311096915389391,3.595217
1613311097013399506,1613311097015696756,3.704717
1613311097113530373,1613311097115797604,3.753018
1613311097213682841,1613311097215939936,3.774717
1613311097313834308,1613311097316014151,3.571317
1613311097413989776,1613311097416105862,3.644617
1613311097514173043,1613311097516400050,3.583817
1613311097614318810,1613311097616559090,3.991019
1613311097714482378,1613311097716642599,3.533716
1613311097814511545,1613311097816814290,3.654117
1613311097914665112,1613311097916877384,3.703117
1613311098014805279,1613311098017045201,3.634017
1613311098114937447,1613311098117161036,3.603016
1613311098215121914,1613311098217514608,3.748318
1613311098315254782,1613311098317527038,3.717017
1613311098415415949,1613311098417630161,3.680317
1613311098515542316,1613311098517721703,3.816718
1613311098615624583,1613311098617946149,3.666017
1613311098715706050,1613311098717947444,4.144520
1613311098815795617,1613311098817954364,4.662022
1613311098915841884,1613311098918195050,3.919719
1613311099015959152,1613311099018329848,3.798417
1613311099116105719,1613311099118395262,3.676017
1613311099216300986,1613311099218446764,3.439117
1613311099316516154,1613311099318625488,3.579317
1613311099416653421,1613311099418789700,3.645417
1613311099516812689,1613311099519008544,3.549416
1613311099617007656,1613311099619358613,3.737118
1613311099717165524,1613311099719381543,3.665517
1613311099817347891,1613311099819757343,3.815018
1613311099917370958,1613311099919570709,3.808618
1613311100017558326,1613311100019980048,5.212224
1613311100117719193,1613311100119894762,3.713317
1613311100217855260,1613311100220275888,3.838018
1613311100317939328,1613311100320182709,3.684017
1613311100418121895,1613311100420405716,3.720017
1613311100518305163,1613311100520460301,3.636017
1613311100618510430,1613311100620820578,3.763618
1613311100718630197,1613311100720810031,3.500717
1613311100818967866,1613311100821212231,3.883818
1613311100919086333,1613311100921192239,3.430616
1613311101019215800,1613311101021313992,3.485616
1613311101119384868,1613311101121609950,3.564416
1613311101219566735,1613311101221849919,3.742718
1613311101319772803,1613311101321956422,3.552516
1613311101420008171,1613311101422241837,3.616016
1613311101520262638,1613311101522561797,3.705818
1613311101620396606,1613311101622550524,3.525116
1613311101720572973,1613311101722709439,3.498417
1613311101820740041,1613311101823000835,3.605517
1613311101920932008,1613311101923378770,3.835518
1613311102021097376,1613311102023381914,3.628817
1613311102121278443,1613311102123550502,3.664717
1613311102221366610,1613311102223584629,3.589917
1613311102321585878,1613311102323735630,3.522916
1613311102421768246,1613311102423994212,3.803317
1613311102521925813,1613311102524100813,3.536716
1613311102622020980,1613311102624339999,3.689617
1613311102722311448,1613311102724435167,3.563317
1613311102822450215,1613311102824744171,3.661318
1613311102922565783,1613311102924714350,3.554216
1613311103022663250,1613311103024834535,3.721017
1613311103122783917,1613311103125233209,4.7519
1613311103222909584,1613311103225013841,3.468116
1613311103323122652,1613311103325322721,3.698917
1613311103423305819,1613311103425434409,3.558917
1613311103523415387,1613311103525703499,3.648617
1613311103623537954,1613311103625918344,4.542621
1613311103723656721,1613311103725988969,3.769018
1613311103823808189,1613311103826145393,3.687717
1613311103923978256,1613311103926169227,3.590917
1613311104024073423,1613311104026155654,3.447016
1613311104124232491,1613311104126619080,3.824017
1613311104224389258,1613311104226516197,3.547716
1613311104324543425,1613311104326805811,3.707218
1613311104424640692,1613311104426801325,3.690818
1613311104524756860,1613311104526817830,3.362815
1613311104624932727,1613311104627108809,3.668617
1613311104725080595,1613311104727446298,3.872018
1613311104825131861,1613311104827290253,3.542817
1613311104925218329,1613311104927508099,3.673617
1613311105025407696,1613311105027847800,3.846018
1613311105125479463,1613311105127748686,3.814218
1613311105225702831,1613311105228742746,4.455021
1613311105325815898,1613311105328098781,3.647617
1613311105425982465,1613311105428413598,4.80619
1613311105526109133,1613311105528270249,3.831618
1613311105626236400,1613311105628509049,3.902218
1613311105726340967,1613311105728465257,3.616817
1613311105826440834,1613311105828640630,3.637717
1613311105926582502,1613311105928914870,3.904418
1613311106026680769,1613311106029001134,3.717017
1613311106126872036,1613311106129075203,3.551717
1613311106226986803,1613311106229345325,3.785718
1613311106327090671,1613311106329218884,3.569416
1613311106427197238,1613311106429385503,4.305520
1613311106527328705,1613311106529560163,3.681217
1613311106627447372,1613311106629656785,3.641017
1613311106727642540,1613311106729867046,3.563217
1613311106828311010,1613311106830523127,3.694817
1613311106928456777,1613311106930899577,3.843618
1613311107028480644,1613311107030657974,3.652417
1613311107128656711,1613311107130979015,4.8519
1613311107228764279,1613311107230925980,3.568516
1613311107328964246,1613311107331123921,3.585017
1613311107429098813,1613311107431267560,3.577717
1613311107529198981,1613311107531396480,3.600816
1613311107629316848,1613311107631543222,3.656617
1613311107729378615,1613311107731520233,3.591816
1613311107829523882,1613311107831631942,3.468716
1613311107929699250,1613311107932013846,3.780917
1613311108029885217,1613311108032231401,3.859618
1613311108129977984,1613311108132315758,3.721618
1613311108230083451,1613311108232253907,3.502917
1613311108330198319,1613311108332421026,5.68623
1613311108430324386,1613311108432455542,3.920118
1613311108530433053,1613311108532725607,3.723517
1613311108630656421,1613311108632794056,3.647917
1613311108730701088,1613311108732996139,3.661517
1613311108830833055,1613311108833116440,3.721617
1613311108930952922,1613311108933291935,3.748818
1613311109031042889,1613311109033334571,3.724418
1613311109131172656,1613311109133546717,3.835418
1613311109231315024,1613311109233681248,3.766217
1613311109331424091,1613311109333723831,3.880718
1613311109431518158,1613311109433801311,4.38219
1613311109531666625,1613311109534088846,3.816818
1613311109631767193,1613311109633971135,3.725317
1613311109732230461,1613311109734441360,3.539117
1613311109832440429,1613311109834757198,3.751918
1613311109932580496,1613311109934885888,3.618917
1613311110032823564,1613311110035096330,3.725718
1613311110132930531,1613311110135096933,3.655217
1613311110233085599,1613311110235300414,3.523916
1613311110333274666,1613311110335511728,3.555917
1613311110433467634,1613311110435714923,3.668317
1613311110533927103,1613311110536240201,4.419220
1613311110634170171,1613311110636574334,3.857418
1613311110734256438,1613311110736454060,3.513516
1613311110835007308,1613311110837409725,3.722117
1613311110935189075,1613311110937449449,3.733318
1613311111035332443,1613311111037631180,3.984118
1613311111135486910,1613311111137763961,3.698817
1613311111235578477,1613311111237808746,3.622617
1613311111335736445,1613311111337978528,3.608316
1613311111435908912,1613311111438127020,3.558817
1613311111536149680,1613311111538410980,3.653617
1613311111636347547,1613311111638645222,3.829718
1613311111736435614,1613311111738741875,3.823618
1613311111836554182,1613311111838858107,3.810017
1613311111936682249,1613311111938853795,3.574717
1613311112036885817,1613311112039145637,3.681117
1613311112137025484,1613311112139173318,3.533616
1613311112237144551,1613311112239422128,3.826318
1613311112337296519,1613311112339599810,3.657817
1613311112437440986,1613311112439534538,3.643917
1613311112537530153,1613311112539681633,3.571617
1613311112637632920,1613311112639772183,3.648417
1613311112737739987,1613311112739839040,3.549817
1613311112837908355,1613311112840105472,3.632517
1613311112938154223,1613311112940353100,3.709917
1613311113038321090,1613311113040460405,3.603017
1613311113138564058,1613311113140797538,3.819618
1613311113238657025,1613311113241040258,3.865918
1613311113338700992,1613311113340976930,3.803417
1613311113438838259,1613311113441055488,3.816718
1613311113538994126,1613311113541227864,3.582917
1613311113639133994,1613311113641348043,3.544716
1613311113739384962,1613311113741679901,3.592316
1613311113839552729,1613311113841757081,3.591017
1613311113939732497,1613311113941943726,3.861518
1613311114039803964,1613311114042142341,3.655717
1613311114139942731,1613311114142124938,3.683917
1613311114240114498,1613311114242352455,3.764618
1613311114340235666,1613311114342495065,4.91819
1613311114440397133,1613311114442919914,4.327320
1613311114540569800,1613311114543284407,4.214920
1613311114640732268,1613311114643000534,3.586817
1613311114740889435,1613311114743272819,3.819418
1613311114841023803,1613311114843216735,3.579616
1613311114941117170,1613311114943550110,3.852218
1613311115041183937,1613311115043675961,3.751017
1613311115141279904,1613311115143491059,3.713417
1613311115241380971,1613311115243543061,3.621917
1613311115341564338,1613311115343817126,3.612617
1613311115441744706,1613311115443966725,3.617917
1613311115541900873,1613311115544153650,3.729918
1613311115642090141,1613311115644294262,3.688617
1613311115742187108,1613311115744400648,3.616817
1613311115842367976,1613311115844571100,3.489816
1613311115942551543,1613311115944816615,3.866118
1613311116042607310,1613311116044842055,3.663617
1613311116142852478,1613311116145048401,3.594417
1613311116242936845,1613311116245133366,3.699117
1613311116343081612,1613311116345300844,3.926319
1613311116443216980,1613311116445333112,3.468316
1613311116543383247,1613311116545568057,3.540416
1613311116643512114,1613311116645679390,3.580817
1613311116743597781,1613311116745667236,3.626217
1613311116843756849,1613311116845885446,3.757817
1613311116943849116,1613311116946120876,4.238320
1613311117044013083,1613311117046170079,3.575317
1613311117144456152,1613311117146712035,3.643917
1613311117244547719,1613311117246586296,3.455116
1613311117344711386,1613311117346798657,3.607917
1613311117444838254,1613311117447173634,3.730317
1613311117544984621,1613311117547128563,3.511516
1613311117645203389,1613311117647560418,3.812518
1613311117745312056,1613311117747760975,3.818618
1613311117845380423,1613311117847592479,3.664117
1613311117945477990,1613311117947648755,3.531617
1613311118045563357,1613311118047803628,3.547917
1613311118145757325,1613311118147983687,3.741717
1613311118245865192,1613311118248029902,3.562417
1613311118346052759,1613311118348189307,3.483617
1613311118446169627,1613311118448370197,3.557416
1613311118546326994,1613311118548411142,3.461416
1613311118646512062,1613311118648646519,3.900118
1613311118746562728,1613311118748829146,3.606517
1613311118846749896,1613311118848978087,3.607217
1613311118946889663,1613311118949200057,3.623017
1613311119047072831,1613311119049302859,3.926018
