#client-send-timestamp,server-timestamp,e2e-rtt
1612897893272212322,1612897893285248110,28.183158
1612897893372361546,1612897893385596430,28.22877
1612897893472490520,1612897893485495522,27.774288
1612897893572633076,1612897893585541494,27.836646
1612897893672838752,1612897893685799491,27.730402
1612897893772966093,1612897893785835689,27.654449
1612897893873127555,1612897893886101470,27.790849
1612897893973258702,1612897893986006797,27.627215
1612897894073392017,1612897894086327143,27.733019
1612897894173529499,1612897894186342247,27.713995
1612897894273680469,1612897894286571704,28.4923
1612897894373757646,1612897894387359693,28.447967
1612897894473919381,1612897894486852731,27.924342
1612897894574038200,1612897894586810001,27.551354
1612897894674176030,1612897894686929781,27.496974
1612897894774328865,1612897894787106085,27.663225
1612897894874494785,1612897894887544053,27.909114
1612897894974643787,1612897894987374941,27.472278
1612897895074770044,1612897895087867801,27.947071
1612897895174907665,1612897895187783874,27.605038
1612897895275038415,1612897895287822061,27.591835
1612897895375181083,1612897895387997367,27.570634
1612897895475328169,1612897895488178996,27.692507
1612897895575467600,1612897895588351167,27.663041
1612897895675593990,1612897895688524878,27.877992
1612897895775734370,1612897895788687484,27.732276
1612897895875884126,1612897895888822268,27.727883
1612897895976029051,1612897895988951075,27.688083
1612897896076226307,1612897896089120095,27.706802
1612897896176373125,1612897896189216619,27.578506
1612897896276498524,1612897896289377163,27.741307
1612897896376631751,1612897896389511737,28.151152
1612897896476758534,1612897896489567380,27.595813
1612897896576864433,1612897896589755618,27.650040
1612897896676987181,1612897896689885064,27.654853
1612897896777131116,1612897896789943757,27.637629
1612897896877264143,1612897896890189377,27.756291
1612897896977401273,1612897896990158987,27.774250
1612897897077562361,1612897897090508826,27.770211
1612897897177717399,1612897897190557692,27.754702
1612897897277878474,1612897897290718494,27.682293
1612897897378024567,1612897897390824848,27.576087
1612897897478177888,1612897897490999144,27.606994
1612897897578309685,1612897897591051343,27.595534
1612897897678444998,1612897897691169169,27.513476
1612897897778588985,1612897897791425460,27.654610
1612897897878724523,1612897897891597214,27.661654
1612897897978861796,1612897897991655751,27.561450
1612897898079026356,1612897898091818245,27.587072
1612897898179162892,1612897898192088323,27.734757
1612897898279312946,1612897898292163905,27.622494
1612897898379455516,1612897898392837170,28.334279
1612897898479621138,1612897898492687583,27.963430
1612897898579803096,1612897898592886148,27.953563
1612897898679937611,1612897898692870412,27.940124
1612897898780083570,1612897898792974746,27.670753
1612897898880209749,1612897898893045435,27.667433
1612897898980360677,1612897898993342692,27.877203
