#client-send-timestamp,server-timestamp,e2e-rtt
1613754104244577400,1613754104449970102,25.851200
1613754104344742700,1613754104541090852,16.572500
1613754104444843300,1613754104639715045,14.912100
1613754104544987600,1613754104740192008,15.892700
1613754104645113700,1613754104840029522,14.853000
1613754104745241200,1613754104939950198,14.773100
1613754104845378600,1613754105040375952,15.884400
1613754104945540100,1613754105140577950,15.54200
1613754105045671400,1613754105241412296,16.674900
1613754105145791800,1613754105340853256,15.89900
1613754105245918700,1613754105441040500,15.94200
1613754105346045100,1613754105541004110,15.32700
1613754105446173700,1613754105641240079,22.990800
1613754105546299900,1613754105741160903,15.91900
1613754105646425200,1613754105841275356,16.89000
1613754105746575400,1613754105941757559,15.65400
1613754105846703500,1613754106042208882,15.866200
1613754105946850400,1613754106141881450,15.338100
1613754106046977300,1613754106241762535,14.665500
1613754106147105300,1613754106343573603,16.659100
1613754106247261200,1613754106443124423,15.793900
1613754106347420900,1613754106542782161,15.537700
1613754106447541200,1613754106642265558,14.526900
1613754106547657800,1613754106742418356,14.707400
1613754106647774300,1613754106842513952,14.666900
1613754106747932700,1613754106942764558,14.748800
1613754106848064100,1613754107043022611,14.921400
1613754106948200400,1613754107143256727,15.365000
1613754107048325200,1613754107243225006,16.97400
1613754107148470000,1613754107343257486,15.83700
1613754107248623200,1613754107443717344,15.90500
1613754107348753800,1613754107543732960,15.111000
1613754107448883900,1613754107644502081,15.627200
1613754107549054000,1613754107744068651,15.183500
1613754107649186200,1613754107844611796,18.836600
1613754107749343900,1613754107944144256,14.826300
1613754107849482800,1613754108044143582,15.300600
1613754107949619100,1613754108144729023,16.906500
1613754108049744800,1613754108244752466,15.130600
1613754108149856600,1613754108345996545,16.647000
1613754108250027200,1613754108446079659,16.179400
1613754108350158100,1613754108545940235,15.732700
1613754108450286500,1613754108644977014,14.611000
1613754108550458300,1613754108745191662,14.785100
1613754108650586600,1613754108845636229,15.33900
1613754108750713200,1613754108945715187,15.159900
1613754108850854100,1613754109045710398,15.146300
1613754108950993000,1613754109145847485,15.309600
1613754109051125000,1613754109246185816,15.572000
1613754109151278400,1613754109346056985,15.4900
1613754109251451800,1613754109446186693,14.681400
1613754109351594900,1613754109546136167,14.491300
1613754109451713500,1613754109647127662,15.529600
1613754109551841600,1613754109746566061,14.514800
1613754109651997900,1613754109846927078,15.249100
1613754109752125100,1613754109946946791,15.791100
1613754109852251900,1613754110047055743,15.729100
1613754109952382200,1613754110147268563,14.865200
1613754110052527800,1613754110247300101,14.875100
1613754110152660100,1613754110347791077,15.179400
1613754110252810200,1613754110447726990,16.267000
1613754110352940000,1613754110548765250,16.511100
1613754110453087800,1613754110648388272,15.584400
1613754110553210000,1613754110748385474,15.243800
1613754110653332100,1613754110848503184,15.258000
1613754110753449100,1613754110948146718,14.775600
1613754110853593400,1613754111048546814,14.883100
1613754110953760300,1613754111149084263,15.567500
1613754111053790700,1613754111248708125,16.76000
1613754111153917800,1613754111348998970,16.628300
1613754111254053100,1613754111449634846,19.237400
1613754111354247800,1613754111549282051,16.114700
1613754111454375000,1613754111649488388,15.838100
1613754111554505200,1613754111749243025,14.990500
1613754111654648300,1613754111849529922,15.498400
1613754111754776400,1613754111949884932,15.163400
1613754111854900800,1613754112049817539,14.934600
1613754111955033900,1613754112150029350,15.632100
1613754112055187800,1613754112250570345,15.226800
1613754112155311600,1613754112350167227,14.947000
1613754112255438300,1613754112450728067,16.832500
1613754112355569100,1613754112550302513,14.676300
1613754112455717400,1613754112650724654,14.781800
1613754112555845900,1613754112751083185,15.263700
1613754112655977800,1613754112851086429,15.156400
1613754112756099100,1613754112950936156,15.48000
1613754112856253400,1613754113051522316,15.17300
1613754112956390100,1613754113151056790,14.882000
1613754113056508300,1613754113251270289,15.570500
1613754113156619800,1613754113351581576,15.720800
1613754113256786600,1613754113452257520,15.754600
1613754113356893900,1613754113551804651,15.870200
1613754113457016100,1613754113651997913,15.115700
1613754113557137200,1613754113752404356,15.165800
1613754113657289000,1613754113852486815,15.391300
1613754113757338400,1613754113952606398,15.408400
1613754113857465100,1613754114052877733,15.349100
1613754113957592500,1613754114152640898,14.942500
1613754114057719800,1613754114252691712,16.762700
1613754114157862000,1613754114353513487,15.912500
1613754114258031200,1613754114453548614,15.832900
1613754114358181600,1613754114553019084,15.414900
1613754114458324900,1613754114653179936,15.276800
1613754114558455500,1613754114753464137,15.74200
1613754114658590600,1613754114853874014,15.382600
1613754114758719400,1613754114953649543,14.854800
1613754114858847900,1613754115053728157,14.594700
1613754114958874300,1613754115154352498,16.684000
1613754115059014400,1613754115254221538,15.36400
1613754115159157200,1613754115354756703,15.619000
1613754115259341100,1613754115454568092,15.146400
1613754115359503200,1613754115554487909,14.998400
1613754115459761400,1613754115654798838,14.946200
1613754115559905600,1613754115755078508,15.64600
1613754115660039300,1613754115855156921,15.246400
1613754115760161400,1613754115955614724,15.358400
1613754115860298500,1613754116055385048,15.510600
1613754115960427300,1613754116155222199,14.709000
1613754116060645600,1613754116255627783,14.925600
1613754116160774500,1613754116355882593,14.980700
1613754116260900500,1613754116455685052,14.642900
1613754116361030900,1613754116555790847,14.650500
1613754116461104100,1613754116656109348,16.439500
1613754116561230800,1613754116756089824,15.217500
1613754116661351300,1613754116856535288,15.306600
1613754116761478800,1613754116956877042,15.317900
1613754116861605600,1613754117056831024,15.102400
1613754116961738000,1613754117156576717,14.606400
1613754117061794100,1613754117256524308,14.520900
1613754117161911000,1613754117356724676,14.830200
1613754117262047500,1613754117457489521,15.858600
1613754117362184000,1613754117557975444,16.398400
1613754117462309400,1613754117657348474,14.754600
1613754117562464300,1613754117758224624,15.545900
1613754117662621600,1613754117857660734,15.74200
1613754117762749900,1613754117958300009,15.436200
1613754117862880300,1613754118058085367,15.218100
1613754117963051800,1613754118158446141,15.362600
1613754118063177400,1613754118257855633,14.533400
1613754118163295900,1613754118359277807,15.930400
1613754118263438200,1613754118458457289,14.862600
1613754118363588300,1613754118558627023,15.6700
1613754118463734300,1613754118658955051,15.40500
1613754118563853100,1613754118759365033,15.322700
1613754118663975300,1613754118858987204,14.778100
1613754118764102200,1613754118959217333,15.250300
1613754118864257500,1613754119059394634,15.598300
1613754118964402400,1613754119159357263,14.587600
1613754119064545200,1613754119259228497,14.560800
1613754119164661400,1613754119359340431,14.509900
1613754119264819500,1613754119459873209,14.885300
