#client-send-timestamp,server-timestamp,e2e-rtt
1621946620694926909,1621946620707183654,24.433799
1621946620795091857,1621946620803778353,22.738547
1621946620895152739,1621946620903990139,20.997646
1621946620995314055,1621946621003988014,21.581186
1621946621095483638,1621946621104600921,21.034692
1621946621195631883,1621946621204881210,21.719432
1621946621295818407,1621946621304607471,20.699735
1621946621395981240,1621946621404770055,20.630805
1621946621496156261,1621946621505539570,21.336636
1621946621596299984,1621946621605449940,21.222387
1621946621696458394,1621946621705314908,20.861597
1621946621796621115,1621946621805645801,21.04662
1621946621896784944,1621946621905729280,21.123521
1621946621996922293,1621946622005804559,20.779233
1621946622096962984,1621946622105674728,20.598559
1621946622197124917,1621946622205897214,20.64064
1621946622297257123,1621946622308365417,23.083183
1621946622397385155,1621946622406362488,20.93385
1621946622497533572,1621946622506253358,20.747091
1621946622597589560,1621946622606185930,20.471922
1621946622697731608,1621946622706539623,20.615085
1621946622797888533,1621946622806609202,20.821024
1621946622897990667,1621946622906868290,20.848285
1621946622998074836,1621946623006635553,20.369266
1621946623098235444,1621946623106843539,20.519798
1621946623198386646,1621946623207040924,20.542642
1621946623298544749,1621946623307226509,20.571002
1621946623398680852,1621946623407614704,20.960304
1621946623498846242,1621946623507548576,20.847327
1621946623599003223,1621946623607845067,20.835545
1621946623699116591,1621946623707889044,20.839943
1621946623799213823,1621946623807791114,25.754988
1621946623899381742,1621946623908908647,32.316419
1621946623999535722,1621946624008738513,31.005498
1621946624099693301,1621946624108491175,30.3316
1621946624199837559,1621946624208604356,24.165336
1621946624299971230,1621946624309411673,25.939627
1621946624400096959,1621946624409068931,26.198646
1621946624500246901,1621946624509109608,30.135083
1621946624600361068,1621946624609319294,26.163025
1621946624700488726,1621946624709562082,22.560578
1621946624800596975,1621946624809628660,27.535261
1621946624900719705,1621946624909489228,21.869088
1621946625000849800,1621946625009505104,20.587631
1621946625100989885,1621946625109700989,21.038733
1621946625201119285,1621946625210146387,20.951712
1621946625301247096,1621946625309984854,20.643192
1621946625401342667,1621946625410319247,21.476569
1621946625501507393,1621946625510226017,20.700877
1621946625601649844,1621946625610533408,20.715748
1621946625701806068,1621946625710746594,21.156834
1621946625801960023,1621946625811150590,21.125194
1621946625902114279,1621946625911203268,20.938399
1621946626002235196,1621946626011371952,21.032743
1621946626102422463,1621946626111097113,20.559905
1621946626202555299,1621946626211226994,20.648146
1621946626302706859,1621946626311351796,20.470061
1621946626402834597,1621946626411725635,20.823934
1621946626502863139,1621946626511745556,20.957954
1621946626603017095,1621946626611986988,20.914858
1621946626703179790,1621946626712031109,20.856828
1621946626803282005,1621946626812140734,22.678987
1621946626903398484,1621946626912233859,21.095468
1621946627003547178,1621946627012681601,25.418145
1621946627103691859,1621946627113176547,21.269858
1621946627203845520,1621946627212859549,21.005605
1621946627304000374,1621946627312728762,20.626776
1621946627404128869,1621946627412851388,21.263463
1621946627504285397,1621946627513105420,20.758305
1621946627604427704,1621946627613154142,20.564498
1621946627704577787,1621946627713688090,21.13252
1621946627804670928,1621946627813601205,20.886224
1621946627904771261,1621946627914818587,21.878547
1621946628004901953,1621946628013710449,20.770522
1621946628105031409,1621946628113714969,20.656173
1621946628205147977,1621946628213996703,25.543193
1621946628305272734,1621946628314431045,21.247614
1621946628405396354,1621946628414128848,20.572304
1621946628505524609,1621946628518513997,24.872644
1621946628605581931,1621946628615343851,21.673168
1621946628705722459,1621946628714955650,21.654852
1621946628805879980,1621946628814662154,20.985777
1621946628906021443,1621946628915989143,22.122438
1621946629006147812,1621946629014900405,20.788427
1621946629106199000,1621946629115024431,20.762561
1621946629206340799,1621946629215152557,20.779485
1621946629306506428,1621946629315495594,20.934116
1621946629406636173,1621946629415946537,21.302025
1621946629506795387,1621946629515939456,21.017245
1621946629606956268,1621946629616231191,21.647745
1621946629707121303,1621946629715941295,20.872183
1621946629807226715,1621946629816429640,20.990497
1621946629907411647,1621946629916261351,20.771269
1621946630007579869,1621946630017632842,21.944707
1621946630107758785,1621946630116916724,21.07875
1621946630207922890,1621946630216537023,21.134046
1621946630308106987,1621946630316773655,20.546988
1621946630408239492,1621946630417261400,21.059234
1621946630508365939,1621946630517141013,20.75857
