#client-send-timestamp,server-timestamp,e2e-rtt
1621942531344256613,1621942531422748523,86.804135
1621942531444395745,1621942531519571084,83.58157
1621942531544649786,1621942531621373915,85.063785
1621942531644884149,1621942531721315520,84.677189
1621942531745133184,1621942531818272482,81.101712
1621942531845373103,1621942531912509707,74.927788
1621942531945626922,1621942532013526627,75.74456
1621942532045815769,1621942532113090826,75.222316
1621942532145926885,1621942532213575938,75.440266
1621942532246058274,1621942532313534343,75.387167
1621942532346259933,1621942532417510005,79.217652
1621942532446548836,1621942532516852231,77.893363
1621942532546702189,1621942532617332806,78.744233
1621942532646922728,1621942532717374675,78.698986
1621942532747230240,1621942532817316142,78.041749
1621942532847468840,1621942532917736616,78.284856
1621942532947724629,1621942533024622885,84.950958
1621942533047898178,1621942533120360491,80.673362
1621942533148010696,1621942533217379415,77.390295
1621942533248292223,1621942533319312912,200.654447
1621942533348504117,1621942533425788975,100.569493
1621942533448762905,1621942533515354690,74.425452
1621942533549054017,1621942533616925281,75.958187
1621942533649267729,1621942533715909434,74.366449
1621942533749367492,1621942533815915302,74.260815
1621942533849488223,1621942533916351777,74.948152
1621942533949654122,1621942534016036140,73.935872
1621942534049805855,1621942534116349313,74.348638
1621942534149913191,1621942534216368481,74.270352
1621942534250174396,1621942534316589153,73.853468
1621942534350215813,1621942534416886425,74.118783
1621942534450363872,1621942534516996095,74.442251
1621942534550601164,1621942534617369068,74.174382
1621942534650692689,1621942534717104933,74.262794
1621942534750872706,1621942534817096400,73.856193
1621942534851022747,1621942534918211485,74.81785
1621942534951153006,1621942535017588844,73.886206
1621942535051245339,1621942535117900217,74.209669
1621942535151355169,1621942535217618980,74.096964
1621942535251489494,1621942535317632249,74.189768
1621942535351734885,1621942535418625231,74.767397
1621942535451826677,1621942535518113092,74.308447
1621942535552110357,1621942535618322363,73.708809
1621942535652344648,1621942535719198744,74.580945
1621942535752588278,1621942535819548117,74.578033
1621942535852764856,1621942535919103379,74.003749
1621942535952951204,1621942536019582954,74.336274
1621942536053131974,1621942536119319318,73.632993
1621942536153267964,1621942536220219900,74.870956
1621942536253458459,1621942536320416371,74.888195
1621942536353562305,1621942536419863630,73.981197
1621942536453694686,1621942536520354906,74.16786
1621942536553803637,1621942536620368074,74.378456
1621942536653938835,1621942536720548345,74.356293
1621942536754213178,1621942536820800717,74.531274
1621942536854422337,1621942536920821585,73.905662
1621942536954664954,1621942537021347161,74.183973
1621942537054842868,1621942537121355629,74.198388
1621942537154965153,1621942537221102293,73.37275
1621942537255118092,1621942537321900773,74.721522
1621942537355291075,1621942537421628337,74.055695
1621942537455422434,1621942537521635805,73.919477
1621942537555496944,1621942537622285583,74.514029
1621942537655712849,1621942537722101448,73.744121
1621942537755895889,1621942537822392821,74.142763
1621942537856199222,1621942537922610992,74.140552
1621942537956421244,1621942538023059067,74.003963
1621942538056534234,1621942538123130036,73.978468
1621942538156642143,1621942538223128204,73.845481
1621942538256724525,1621942538323116572,73.851477
1621942538356765024,1621942538423129940,74.075112
1621942538456950654,1621942538523564915,74.230289
1621942538557145705,1621942538623630184,73.970261
1621942538657422662,1621942538724209460,74.714779
1621942538757639433,1621942538823881324,73.662166
1621942538857813424,1621942538924603402,74.426145
1621942538957964023,1621942539024341566,74.114358
1621942539058179799,1621942539124824642,74.763781
1621942539158211123,1621942539224601406,74.373667
1621942539258465489,1621942539327245413,76.319786
1621942539358716711,1621942539425569057,74.61821
1621942539458835094,1621942539525371222,73.67398
1621942539558939124,1621942539625409091,74.147051
1621942539659089281,1621942539725882166,74.530005
1621942539759237863,1621942539825389727,73.736824
1621942539859367850,1621942539925596698,73.725796
1621942539959508790,1621942540025937671,74.348609
1621942540059729244,1621942540126461347,74.666197
1621942540159910609,1621942540226377713,74.18055
1621942540260008714,1621942540326379681,73.933736
1621942540360083330,1621942540426151946,73.87195
1621942540460225331,1621942540526869308,74.015779
1621942540560428109,1621942540627136646,74.253345
1621942540660559533,1621942540727135280,74.322517
1621942540760810480,1621942540827229115,74.241918
1621942540860934360,1621942540927112548,73.797718
1621942540961031893,1621942541027874992,74.045047
1621942541061184928,1621942541127711024,74.32967
1621942541161350410,1621942541227640957,74.041064
1621942541261615981,1621942541328111398,74.208382
1621942541361888504,1621942541428633139,74.096565
1621942541462128606,1621942541528384870,73.925901
1621942541562371885,1621942541629210616,74.457396
1621942541662573421,1621942541729081648,74.20742
1621942541762726176,1621942541829417886,74.386363
1621942541862906399,1621942541929733625,74.499991
1621942541963043213,1621942542029356454,73.830396
1621942542063128124,1621942542129626391,73.90298
1621942542163262587,1621942542229942330,74.490776
1621942542263366872,1621942542329334055,73.403765
1621942542363515342,1621942542429915997,74.258083
1621942542463655177,1621942542529983832,73.816712
1621942542563806219,1621942542630842679,74.857136
1621942542664030554,1621942542731342720,74.982537
1621942542764305727,1621942542830892347,74.364359
1621942542864546021,1621942542930898281,74.246908
1621942542964784104,1621942543031393523,74.258501
1621942543065054972,1621942543131638760,73.80168
1621942543165121807,1621942543231482992,74.316828
1621942543265306549,1621942543331632728,73.557923
1621942543365409308,1621942543431904966,73.929508
1621942543465535936,1621942543531903400,73.760396
1621942543565685743,1621942543632088436,74.094029
1621942543665861020,1621942543732474776,74.645291
1621942543766072417,1621942543832684013,74.319023
1621942543866196278,1621942543932677247,73.874636
1621942543966227605,1621942544032676081,73.759208
1621942544066372914,1621942544132634714,73.768056
1621942544166478849,1621942544233141655,74.220161
1621942544266721198,1621942544333130989,73.948083
1621942544366871162,1621942544433153724,73.80964
1621942544466932033,1621942544533732566,74.504792
1621942544567051342,1621942544633558797,74.222143
1621942544667253363,1621942544733847635,74.230611
1621942544767386358,1621942544833672967,73.800772
1621942544867475428,1621942544933970905,74.053371
1621942544967586711,1621942545034116341,74.270349
1621942545067777044,1621942545134702384,74.717523
1621942545167922464,1621942545234424914,73.939191
1621942545268221726,1621942545335369961,74.970545
1621942545368439260,1621942545434972789,73.928964
1621942545468510446,1621942545534893222,73.589033
1621942545568615131,1621942545634935057,73.998739
1621942545668722515,1621942545734920191,73.560679
1621942545768828459,1621942545835518633,74.514429
1621942545868893359,1621942545935409966,73.960208
1621942545969078491,1621942546035827806,74.218222
1621942546069191299,1621942546135954941,74.3064
1621942546169297233,1621942546235440968,73.741818
1621942546269418328,1621942546335870508,74.095646
1621942546369631608,1621942546436430650,74.264338
1621942546469925328,1621942546536685688,74.537553
1621942546570168191,1621942546636901425,74.340905
1621942546670402602,1621942546737137762,74.43095
1621942546770650407,1621942546837201597,74.432073
1621942546870873649,1621942546937391734,74.301384
1621942546971085423,1621942547037732773,74.208316
1621942547071177026,1621942547137655406,74.005664
1621942547171350067,1621942547238174547,74.28375
1621942547271482350,1621942547338091880,74.065788
1621942547371627934,1621942547438186015,73.934679
1621942547471717994,1621942547538225950,74.270747
1621942547571924066,1621942547638703791,74.042521
1621942547672089134,1621942547738666024,74.288911
1621942547772382201,1621942547839131165,74.392415
1621942547872670183,1621942547938912896,73.885791
1621942547972943661,1621942548039735641,74.782663
1621942548073008077,1621942548139434471,73.90947
1621942548173186183,1621942548239695909,74.081466
1621942548273445096,1621942548339937346,74.185735
1621942548373630678,1621942548439924780,73.684397
1621942548473881366,1621942548540685545,74.530316
1621942548574053002,1621942548640464113,74.056379
1621942548674328497,1621942548740972791,74.229238
1621942548774598605,1621942548841456769,74.291726
1621942548874716851,1621942548941442839,74.332781
1621942548974852438,1621942549041176106,74.030722
1621942549074967871,1621942549141496081,73.857563
1621942549175012094,1621942549241234248,73.762395
1621942549275126749,1621942549341860028,74.182206
1621942549375244284,1621942549442095402,74.298115
1621942549475388968,1621942549541716867,73.768976
1621942549575557725,1621942549642424948,74.431221
1621942549675737691,1621942549742146315,74.006293
1621942549775942582,1621942549842459390,74.088355
1621942549876118814,1621942549945472905,77.291957
1621942549976439345,1621942550042710735,73.694485
1621942550076647910,1621942550143187212,73.695517
1621942550176910773,1621942550243623890,74.29849
1621942550277106592,1621942550343643860,74.361753
1621942550377206498,1621942550443681332,74.147591
1621942550477328074,1621942550543701803,73.748335
1621942550577499243,1621942550643946277,74.00669
1621942550677778074,1621942550745373169,75.29943
1621942550778012487,1621942550845021934,74.834568
1621942550878135532,1621942550944728800,74.205468
1621942550978314474,1621942551044693870,73.693083
1621942551078406912,1621942551144947645,74.292475
1621942551178534297,1621942551245205619,74.275733
1621942551278639654,1621942551344916686,73.581879
1621942551378799118,1621942551444946957,73.616476
1621942551478903045,1621942551545470935,74.329434
1621942551579014871,1621942551645472106,73.979534
1621942551679140699,1621942551746010084,74.301762
1621942551779369042,1621942551845909553,73.917057
1621942551879657415,1621942551946444232,74.084054
1621942551979815558,1621942552046495003,74.220024
1621942552079866413,1621942552146384972,73.9499
1621942552180058342,1621942552246791449,74.247142
1621942552280155168,1621942552346445115,73.866804
1621942552380224225,1621942552446861791,74.135177
1621942552480415026,1621942552546977264,73.865864
1621942552580511085,1621942552647135537,74.328939
1621942552680689096,1621942552747207108,74.046987
1621942552780947970,1621942552848711701,75.326522
1621942552881090260,1621942552947789358,74.664552
1621942552981370568,1621942553047669327,73.833521
1621942553081402306,1621942553147744699,74.038598
1621942553181515485,1621942553247690569,73.610522
1621942553281619241,1621942553348278148,74.101181
1621942553381722269,1621942553448257918,74.108679
1621942553481993825,1621942553548514993,73.832077
1621942553582111814,1621942553648730767,73.829674
1621942553682162598,1621942553748763338,74.044026
1621942553782293104,1621942553848769208,74.019653
1621942553882408767,1621942553948675078,73.807533
1621942553982504024,1621942554048995653,73.931672
1621942554082610996,1621942554149291528,74.437612
1621942554182740837,1621942554249421701,74.050011
1621942554282915018,1621942554349512273,74.27118
1621942554383106015,1621942554449733346,74.257584
1621942554483243447,1621942554549463013,73.495584
1621942554583339963,1621942554650391397,74.894412
1621942554683542511,1621942554750469669,74.757584
1621942554783591610,1621942554849977333,73.725639
1621942554883727608,1621942554949979003,74.095137
1621942554983951866,1621942555051514696,74.951585
1621942555084134212,1621942555160836404,85.805053
1621942555184168464,1621942555256282308,80.260117
1621942555284421498,1621942555350964000,74.501456
1621942555384638775,1621942555451523679,74.459947
1621942555484779783,1621942555551485249,74.172954
1621942555584900874,1621942555651234816,74.143384
1621942555685028335,1621942555751492791,73.829113
1621942555785173700,1621942555851936168,74.162449
1621942555885307789,1621942555951956139,74.155903
1621942555985514045,1621942556052428116,74.723827
1621942556085955877,1621942556152747292,74.261666
1621942556186166580,1621942556252707562,73.92174
1621942556286262516,1621942556352813234,73.893945
1621942556386349284,1621942556452733903,73.987266
1621942556486699188,1621942556553327851,74.392493
1621942556586975774,1621942556653755175,74.43607
1621942556687122694,1621942556753488690,73.835318
1621942556787146357,1621942556853843613,74.101878
1621942556887250619,1621942556953493026,73.867043
1621942556987291314,1621942557053728947,73.996221
1621942557087464651,1621942557154260573,74.216718
1621942557187635997,1621942557254065788,74.460146
1621942557287948342,1621942557354765016,74.524315
1621942557388181372,1621942557454441629,74.07282
1621942557488321886,1621942557555019156,74.747185
1621942557588364040,1621942557655000373,74.283612
1621942557688516873,1621942557755008291,74.41984
1621942557788663310,1621942557855447816,74.107744
1621942557888788824,1621942557955450134,74.302005
1621942557988927731,1621942558054978345,73.567778
1621942558089035994,1621942558155979677,74.55343
1621942558189177979,1621942558255913695,74.30777
1621942558289346346,1621942558355809411,74.337092
1621942558389545132,1621942558455984132,73.788474
1621942558489622762,1621942558556260154,74.643228
1621942558589829325,1621942558656534576,74.094604
1621942558690066801,1621942558756513593,74.276141
1621942558790275994,1621942558856747515,73.956299
1621942558890462890,1621942558957017337,73.859672
1621942558990636040,1621942559057267458,74.625257
1621942559090787716,1621942559157277576,74.2217
1621942559190980577,1621942559257768801,74.405321
1621942559291188113,1621942559357696418,73.989938
1621942559391431967,1621942559458020641,73.925492
1621942559491671980,1621942559558307063,74.41666
1621942559591789014,1621942559658701987,74.185293
1621942559691959030,1621942559758799506,74.307312
1621942559792098088,1621942559858782724,73.916912
1621942559892305967,1621942559958544539,73.803509
1621942559992363318,1621942560059425269,75.354914
1621942560092622734,1621942560159112383,74.191849
1621942560192779997,1621942560259254803,73.710177
1621942560292825329,1621942560359455524,74.421577
1621942560393114471,1621942560459537743,74.257424
1621942560493399789,1621942560560238471,74.529289
1621942560593524596,1621942560660057486,74.544289
1621942560693703877,1621942560760071005,74.267809
1621942560793836139,1621942560860566430,74.50696
1621942560894022552,1621942560960622849,74.413634
