#client-send-timestamp,server-timestamp,e2e-rtt
1621942986705382634,1621942986725560242,34.432069
1621942986805514048,1621942986825428940,33.682765
1621942986905663750,1621942986926320492,34.977778
1621942987005852744,1621942987026140588,34.567703
1621942987106039845,1621942987125553162,33.297059
1621942987206331737,1621942987226024192,33.831341
1621942987306559339,1621942987326540824,34.405906
1621942987406695101,1621942987426143908,33.373929
1621942987506826225,1621942987526416927,33.468914
1621942987607088405,1621942987626675746,33.777173
1621942987707231694,1621942987727149576,33.772218
1621942987807421135,1621942987827531100,33.877283
1621942987907624261,1621942987927172287,33.369836
1621942988007871382,1621942988027426605,33.74673
1621942988107970270,1621942988127667023,33.82401
1621942988208197713,1621942988227827436,33.860521
1621942988308487466,1621942988328185160,33.905844
1621942988408803667,1621942988428827898,33.999447
1621942988509083766,1621942988528809803,33.977392
1621942988609365594,1621942988629713055,34.789497
1621942988709448541,1621942988729363041,33.606962
1621942988809687778,1621942988829286543,33.933634
1621942988909944850,1621942988929862078,34.165782
1621942989010245633,1621942989030182799,33.923818
1621942989110399256,1621942989129920391,33.311714
1621942989210709448,1621942989230546928,33.631386
1621942989310870027,1621942989330427527,33.574238
1621942989411069841,1621942989431052065,34.036212
1621942989511322756,1621942989531236980,34.009847
1621942989611604955,1621942989631162781,33.455853
1621942989711885645,1621942989731432600,33.38016
1621942989812149099,1621942989832252048,34.440904
1621942989912402333,1621942989932003840,33.781308
1621942990012516074,1621942990032421267,33.877875
1621942990112705095,1621942990132181360,33.052995
1621942990212972010,1621942990232454780,33.423629
1621942990313214690,1621942990333098818,34.234261
1621942990413538509,1621942990433039620,33.473343
1621942990513838518,1621942990534460300,34.227405
1621942990614141430,1621942990633709366,33.693675
1621942990714327923,1621942990734128093,33.995005
1621942990814624075,1621942990834267605,34.118985
1621942990914872419,1621942990934710534,34.007509
1621942991015010348,1621942991034709839,33.46585
1621942991115270795,1621942991134738045,33.327872
1621942991215447343,1621942991235180274,33.833338
1621942991315665237,1621942991335210781,33.402212
1621942991415862906,1621942991435795416,34.267895
1621942991516115877,1621942991538121243,36.048675
1621942991616397174,1621942991636205848,33.638997
1621942991716593298,1621942991736008343,33.465721
1621942991816789229,1621942991836215159,33.686767
1621942991916990861,1621942991936571983,33.386849
1621942992017272212,1621942992036961908,33.671934
1621942992117515796,1621942992137377135,34.006259
1621942992217794055,1621942992238596704,34.748609
1621942992317898292,1621942992337430548,33.780726
1621942992418037697,1621942992437576361,34.118385
1621942992518320650,1621942992537919384,33.688379
1621942992618467900,1621942992637804284,33.656335
1621942992718671236,1621942992738539427,34.032927
1621942992818860906,1621942992839515583,35.124426
1621942992918998120,1621942992938475634,33.642157
1621942993019214222,1621942993038913962,33.63765
1621942993119452183,1621942993139135479,33.735197
1621942993219610219,1621942993239053180,33.271506
1621942993319905757,1621942993339214194,33.267503
1621942993420012502,1621942993439304704,33.276888
1621942993520145680,1621942993539799435,33.722747
1621942993620197720,1621942993639930547,33.842328
1621942993720414594,1621942993740188965,33.862014
1621942993820580624,1621942993840203171,33.721364
1621942993920704167,1621942993940202076,33.706848
1621942994020767961,1621942994041333041,34.93789
1621942994121102637,1621942994140845620,33.535269
1621942994221206240,1621942994240978733,34.042971
1621942994321427635,1621942994341210550,33.727983
1621942994421525553,1621942994440984543,34.016556
1621942994521812065,1621942994541430972,33.573609
1621942994622090116,1621942994642243519,34.354936
1621942994722376345,1621942994742032314,33.724523
1621942994822428702,1621942994842493143,34.06425
1621942994922673543,1621942994942591753,33.939777
1621942995022844807,1621942995042456951,33.738429
1621942995122960872,1621942995142471257,33.336834
1621942995223147443,1621942995243064493,33.677321
1621942995323378095,1621942995343072199,33.97692
1621942995423533840,1621942995443033202,33.402357
1621942995523785513,1621942995543531133,33.576865
1621942995624046903,1621942995643734749,33.784622
1621942995724154144,1621942995744007269,33.878872
1621942995824271794,1621942995843801663,33.363353
1621942995924494751,1621942995946621415,36.081803
1621942996024787912,1621942996049825087,38.870523
1621942996125020872,1621942996145045944,34.062764
1621942996225295189,1621942996245412068,34.037541
1621942996325556544,1621942996345201562,33.794905
1621942996425621598,1621942996445231869,33.537767
1621942996525909954,1621942996545831906,33.859545
1621942996626215201,1621942996645703704,33.613699
1621942996726447886,1621942996746476650,34.01215
1621942996826660025,1621942996846264944,33.597995
1621942996926873855,1621942996946603567,33.944724
1621942997027069655,1621942997046816283,33.931755
1621942997127248585,1621942997147288113,34.323949
1621942997227530928,1621942997247026204,34.092011
1621942997327828170,1621942997347337026,33.435296
1621942997428054074,1621942997447959463,34.237802
1621942997528174598,1621942997547556148,33.44392
1621942997628436674,1621942997648023176,33.551898
1621942997728722613,1621942997748535007,33.969962
1621942997829019763,1621942997848748522,33.787504
1621942997929130376,1621942997948971438,33.929618
1621942998029418498,1621942998049006344,33.751418
1621942998129463496,1621942998148986947,33.589464
1621942998229722718,1621942998248964250,33.524135
1621942998330014962,1621942998349757495,33.87782
1621942998430146270,1621942998449641093,33.865245
1621942998530348023,1621942998550215127,34.211495
1621942998630666109,1621942998650253233,33.730337
1621942998730838282,1621942998751066079,34.271278
1621942998831067231,1621942998850743067,33.871616
1621942998931206403,1621942998950973083,33.937332
1621942999031381383,1621942999050799078,33.408222
1621942999131669337,1621942999151223004,33.550711
1621942999231959917,1621942999251820339,33.668583
1621942999332079644,1621942999351995652,33.89588
1621942999432240962,1621942999451551433,33.218187
1621942999532524447,1621942999556021370,37.544594
1621942999632743501,1621942999652735703,34.267355
1621942999733023264,1621942999752667503,33.674241
1621942999833218569,1621942999852912620,33.455553
1621942999933413751,1621942999953025630,33.702603
1621943000033623558,1621943000053403554,34.076879
1621943000133808122,1621943000153501163,33.552723
1621943000234116191,1621943000254237605,34.391286
1621943000334428901,1621943000354356516,34.039533
1621943000434648131,1621943000454105607,33.658664
1621943000534866731,1621943000554062909,33.157025
1621943000635065411,1621943000654510536,33.427793
1621943000735241990,1621943000755169074,34.133436
1621943000835433613,1621943000855012170,33.658323
1621943000935670199,1621943000955146981,33.547048
1621943001036000570,1621943001055857322,33.962779
1621943001136235964,1621943001156149242,34.106323
1621943001236375592,1621943001255988537,33.3838
1621943001336624504,1621943001356296457,33.276197
1621943001436863481,1621943001456949595,34.209912
1621943001537074177,1621943001556733988,33.79347
1621943001637319946,1621943001656823297,33.465261
1621943001737605643,1621943001757278225,33.870312
1621943001837790234,1621943001857260128,33.389687
1621943001937990511,1621943001957523846,33.605299
1621943002038150049,1621943002057847967,33.607972
1621943002138330422,1621943002158633812,34.114308
1621943002238604901,1621943002258316599,33.607749
1621943002338764760,1621943002358286902,33.451843
1621943002438969463,1621943002458513217,33.629958
1621943002539164207,1621943002559043249,33.623444
1621943002639378248,1621943002659095356,34.205084
1621943002739674630,1621943002759091860,33.155375
1621943002839879163,1621943002859737297,33.971884
1621943002940185558,1621943002959553792,33.445731
1621943003040508146,1621943003060127826,33.674148
1621943003140673475,1621943003160832067,33.95307
1621943003240913088,1621943003260536255,38.312371
1621943003341216072,1621943003361492809,34.144318
1621943003441501571,1621943003461000888,33.724523
1621943003541562606,1621943003561285306,33.549784
1621943003641822692,1621943003661569325,33.659318
1621943003742080781,1621943003762161260,34.46702
1621943003842388788,1621943003861885150,33.238402
1621943003942666525,1621943003962631793,34.105133
1621943004042915798,1621943004062773004,33.878956
1621943004143007569,1621943004162554597,33.783969
1621943004243049470,1621943004262900519,34.097741
1621943004343341458,1621943004362801618,33.637877
1621943004443547732,1621943004463668967,34.565864
1621943004543681363,1621943004564252902,34.671301
1621943004643950360,1621943004664059896,34.187856
1621943004744183439,1621943004763824087,33.624125
1621943004844444696,1621943004864357119,34.234465
1621943004944771917,1621943004964522632,33.986946
1621943005045060294,1621943005065080965,34.081311
1621943005145178673,1621943005164553742,33.292521
1621943005245367788,1621943005264850861,33.664308
1621943005345558371,1621943005365270387,33.89237
1621943005445749853,1621943005465556106,33.988392
1621943005546025764,1621943005565893428,34.085149
1621943005646281008,1621943005665692121,33.784513
1621943005746405219,1621943005766236554,33.710604
1621943005846667029,1621943005866135752,33.785564
1621943005946777956,1621943005966590280,33.817518
1621943006046952839,1621943006066654288,34.010375
1621943006147065022,1621943006166645991,33.709753
1621943006247183753,1621943006267011614,34.232825
1621943006347409394,1621943006367295433,34.321492
1621943006447537687,1621943006467005722,33.65148
1621943006547752598,1621943006567446049,33.632221
1621943006647942720,1621943006667888776,33.835595
1621943006748075599,1621943006767915182,33.971786
1621943006848321752,1621943006867987390,33.848873
1621943006948579023,1621943006969446470,35.207968
1621943007048717543,1621943007070539331,35.736723
1621943007148816935,1621943007168675538,33.854057
1621943007248965123,1621943007268840751,33.623964
1621943007349295529,1621943007368794852,33.551705
1621943007449621093,1621943007469402188,33.732823
1621943007549701015,1621943007569346289,33.841156
1621943007649863440,1621943007669354294,33.341536
1621943007750172179,1621943007769818122,33.656192
1621943007850437962,1621943007870043138,33.497425
1621943007950695237,1621943007970555468,33.728487
1621943008050845510,1621943008071009796,34.427847
1621943008150942113,1621943008170605079,33.476628
1621943008251155481,1621943008271354022,34.349159
1621943008351398903,1621943008371388928,34.320225
