#client-send-timestamp,server-timestamp,e2e-rtt
1621941334081174146,1621941334103168713,38.737301
1621941334181263981,1621941334197650673,33.092284
1621941334281417799,1621941334297775578,33.341131
1621941334381705120,1621941334398629689,33.627246
1621941334481922620,1621941334498660993,33.446624
1621941334582165402,1621941334598927699,33.327654
1621941334682455367,1621941334699156105,33.266202
1621941334782698484,1621941334798806806,32.874416
1621941334882846248,1621941334899100313,32.858325
1621941334982944634,1621941334999284418,32.788595
1621941335083065664,1621941335099750026,33.361551
1621941335183226396,1621941335199903232,33.290233
1621941335283362246,1621941335300382039,33.499483
1621941335383578876,1621941335400033641,33.679242
1621941335483803387,1621941335500978452,33.997418
1621941335583946564,1621941335600177850,33.308029
1621941335684155967,1621941335700872260,33.372747
1621941335784434760,1621941335801057165,33.33274
1621941335884540794,1621941335900851668,33.114978
1621941335984708704,1621941336000847772,32.845189
1621941336084816895,1621941336101179578,32.875068
1621941336184983742,1621941336200775579,31.870329
1621941336285201315,1621941336301837692,33.628202
1621941336385437623,1621941336401340692,32.606957
1621941336485674887,1621941336502661707,33.434133
1621941336585881638,1621941336602318408,33.251253
1621941336686159523,1621941336702180611,32.783712
1621941336786273310,1621941336802306016,32.976603
1621941336886574384,1621941336902623522,32.931958
1621941336986756326,1621941337002912029,33.237031
1621941337086955313,1621941337103130635,32.710958
1621941337187083363,1621941337203367341,32.877016
1621941337287165154,1621941337303512846,33.362408
1621941337387352537,1621941337403821252,33.318414
1621941337487540752,1621941337503398553,32.434664
1621941337587773248,1621941337604284164,32.903553
1621941337687982606,1621941337704463370,33.014561
1621941337788145211,1621941337804157371,33.079236
1621941337888408662,1621941337904759680,33.24083
1621941337988694768,1621941338005580191,33.416491
1621941338088957985,1621941338105318293,33.502509
1621941338189128942,1621941338205202096,32.767369
1621941338289172744,1621941338305014699,32.610538
1621941338389396295,1621941338405629208,32.907933
1621941338489638963,1621941338505942814,32.747996
1621941338589685588,1621941338605937618,32.98383
1621941338689983538,1621941338706396426,33.280987
1621941338790255461,1621941338806349730,32.661336
1621941338890481957,1621941338907091140,33.390109
1621941338990720212,1621941339006894442,33.212361
1621941339090922882,1621941339107491851,33.481639
1621941339191066447,1621941339207433855,33.065549
1621941339291269838,1621941339307404558,32.97469
1621941339391502047,1621941339407654664,32.691178
1621941339491726169,1621941339507910271,32.697227
1621941339591919525,1621941339608186177,33.139159
1621941339692153029,1621941339708615984,33.008096
1621941339792389238,1621941339808578457,33.137032
1621941339892535353,1621941339908834127,32.811668
1621941339992671227,1621941340009635802,33.67982
1621941340092832988,1621941340109176567,33.203631
1621941340193072556,1621941340209518539,33.251811
1621941340293353294,1621941340309756709,33.323689
1621941340393613868,1621941340409548876,32.528555
1621941340493922901,1621941340510220350,32.590737
1621941340594182522,1621941340610568621,32.9758
1621941340694413605,1621941340711748499,34.160144
1621941340794705076,1621941340810885861,32.912541
1621941340894874343,1621941340911115032,33.112752
1621941340995139927,1621941341011766305,33.687793
1621941341095318166,1621941341111721374,33.162614
1621941341195477417,1621941341211996145,33.401207
1621941341295635584,1621941341311385709,32.640229
1621941341395850939,1621941341412441285,33.362626
1621941341496008071,1621941341512512255,33.294682
1621941341596129250,1621941341612313122,32.842935
1621941341696192594,1621941341712420891,32.837241
1621941341796229336,1621941341812478961,32.692615
1621941341896427615,1621941341912390229,32.874406
1621941341996681639,1621941342013120303,32.947985
1621941342096826055,1621941342112938670,33.038851
1621941342196960073,1621941342212923139,32.478847
1621941342297071461,1621941342313571212,32.968487
1621941342397189737,1621941342414249186,34.03068
1621941342497377901,1621941342513552650,32.994113
1621941342597625415,1621941342613737120,32.709264
1621941342697867484,1621941342713891390,32.763923
1621941342797948186,1621941342814526263,33.184211
1621941342898185834,1621941342914249130,32.833797
1621941342998230839,1621941343014472000,32.864319
1621941343098394665,1621941343114730771,33.158979
1621941343198626396,1621941343215181343,33.486989
1621941343298781443,1621941343315412314,33.393993
1621941343398929996,1621941343415305381,33.158207
1621941343499076717,1621941343515091249,32.669758
1621941343599279248,1621941343616087825,33.521805
1621941343699462026,1621941343715451689,32.744696
1621941343799602218,1621941343815625059,32.878226
1621941343899774997,1621941343916147631,33.114289
1621941343999964806,1621941344015819298,32.751116
1621941344100008094,1621941344116169469,32.604627
1621941344200152400,1621941344216427440,32.876882
1621941344300323196,1621941344316656410,32.808907
1621941344400503858,1621941344416970881,33.309296
1621941344500650621,1621941344516391146,32.402958
1621941344600766845,1621941344617019519,33.353861
1621941344700919171,1621941344717509492,33.033301
