#client-send-timestamp,server-timestamp,e2e-rtt
1621937861211472091,1621937861321718764,124.36871
1621937861311726509,1621937861386650998,88.958688
1621937861411910549,1621937861486600317,88.609378
1621937861512079775,1621937861589522232,91.560809
1621937861612374333,1621937861686660185,88.131268
1621937861712518668,1621937861786874802,88.401481
1621937861812667147,1621937861886647754,87.770186
1621937861912802806,1621937861986375773,87.1596
1621937862012946154,1621937862087120036,88.133962
1621937862113125112,1621937862187149880,87.969599
1621937862213258005,1621937862287378439,88.056952
1621937862313401860,1621937862387783616,88.724613
1621937862413603788,1621937862487916123,88.436158
1621937862513730285,1621937862587789557,87.945825
1621937862613899437,1621937862688394353,88.087204
1621937862714034892,1621937862787908344,87.857942
1621937862814164063,1621937862887907768,87.642272
1621937862914313333,1621937862988422304,88.04687
1621937863014489820,1621937863091415450,90.507179
1621937863114660299,1621937863188889697,87.927196
1621937863214755696,1621937863288892111,87.733131
1621937863314905713,1621937863389121570,88.102272
1621937863415075350,1621937863489360808,88.128296
1621937863515250157,1621937863590183777,89.04973
1621937863615288882,1621937863689378855,87.543356
1621937863715448139,1621937863789162753,87.813646
1621937863815600525,1621937863889622070,87.686944
1621937863915711082,1621937863989942217,88.44411
1621937864015882390,1621937864089662352,87.534809
1621937864116031142,1621937864190501842,88.414986
1621937864216202379,1621937864290138869,87.451132
1621937864316364336,1621937864390156720,87.786162
1621937864416511636,1621937864490729026,87.944071
1621937864516679647,1621937864590786084,88.024022
1621937864616875868,1621937864690949138,88.217995
1621937864717005155,1621937864791262390,88.171226
1621937864817186459,1621937864891251164,88.31154
1621937864917332958,1621937864991699935,88.053972
1621937865017505031,1621937865091732675,88.283085
1621937865117698111,1621937865191970470,88.31906
1621937865217888861,1621937865292225366,88.420007
1621937865318086147,1621937865391935413,88.030776
1621937865418239287,1621937865491890634,87.132531
1621937865518429879,1621937865592632011,88.003369
1621937865618645176,1621937865692455382,87.85552
1621937865718706170,1621937865793095446,88.054764
1621937865818847320,1621937865892931434,87.746634
1621937865918994060,1621937865992861591,87.650597
1621937866019148062,1621937866093499878,88.225802
1621937866119326925,1621937866193375975,87.964197
1621937866219467153,1621937866293154245,87.614863
1621937866319638845,1621937866393939879,87.917315
1621937866419795332,1621937866493906580,88.727266
1621937866519959695,1621937866593929994,87.44521
1621937866620083118,1621937866693943870,87.683357
1621937866720231581,1621937866794158468,87.637778
1621937866820377439,1621937866894408464,88.055303
1621937866920547699,1621937866994235510,87.240511
1621937867020669416,1621937867094738846,88.254465
1621937867120840790,1621937867194664724,87.735349
1621937867220993054,1621937867295240933,88.400912
1621937867321130412,1621937867395490318,88.261575
1621937867421331938,1621937867495697011,88.418038
1621937867521505462,1621937867595238202,87.78089
1621937867621539688,1621937867695734090,88.040265
1621937867721658466,1621937867795654457,87.5437
1621937867821930594,1621937867895980376,87.910394
1621937867922099929,1621937867996306614,87.750477
1621937868022268871,1621937868096152704,87.541427
1621937868122425067,1621937868196703076,87.638343
1621937868222590679,1621937868296663637,87.564341
1621937868322716880,1621937868396392791,87.345395
1621937868422859308,1621937868497193435,88.13743
1621937868522996702,1621937868597048753,87.683256
1621937868623128402,1621937868697402638,87.820888
1621937868723175622,1621937868796919417,87.478815
1621937868823359342,1621937868897414875,87.879925
1621937868923514581,1621937868997862530,88.415305
1621937869023693725,1621937869097925110,88.099413
1621937869123880732,1621937869197930184,88.093615
1621937869224060041,1621937869298409339,88.240322
1621937869324223408,1621937869397962505,87.61711
1621937869424415283,1621937869498474993,88.028308
1621937869524610671,1621937869599003382,88.291606
1621937869624800980,1621937869699694011,88.479631
1621937869724955734,1621937869799006945,88.044785
1621937869825115842,1621937869898927631,87.489393
1621937869925275986,1621937869999160653,87.657653
1621937870025473042,1621937870099500377,88.016915
1621937870125637865,1621937870199797106,88.011892
1621937870225783086,1621937870299771615,88.045011
1621937870325955032,1621937870400268719,88.441902
1621937870426133453,1621937870500272812,88.354688
1621937870526313006,1621937870599683116,86.788868
1621937870626344940,1621937870700262327,87.945982
1621937870726543397,1621937870800817362,88.238692
1621937870826674143,1621937870900749621,87.933209
1621937870926863832,1621937871001231627,88.089317
1621937871027068896,1621937871100982666,87.893099
1621937871127241817,1621937871201680105,88.078286
1621937871227361870,1621937871300952800,87.248044
1621937871327497689,1621937871401746643,88.383571
1621937871427653555,1621937871501683107,87.743023
1621937871527808426,1621937871601938947,87.85677
1621937871627890793,1621937871702277351,88.589286
1621937871728084168,1621937871801931032,87.718791
1621937871828229557,1621937871902701144,88.429228
1621937871928427695,1621937872002990331,88.662671
1621937872028598018,1621937872102560519,87.587905
1621937872128787178,1621937872203030487,88.038852
1621937872228982771,1621937872303512177,88.696416
1621937872329167702,1621937872402902020,87.451996
1621937872429329747,1621937872503434575,88.033046
1621937872529483958,1621937872603541971,87.719398
1621937872629634575,1621937872703779746,88.190324
1621937872729735527,1621937872804046800,88.207081
1621937872829868251,1621937872903743804,87.979678
1621937872930030698,1621937873003923006,87.828286
1621937873030177215,1621937873103691030,87.195321
1621937873130353986,1621937873204262554,87.662695
1621937873230510062,1621937873305042895,88.417889
1621937873330629138,1621937873404778346,88.226604
1621937873430757546,1621937873505047698,88.376964
1621937873530940571,1621937873605302523,88.571529
1621937873631087212,1621937873705215806,88.105373
1621937873731217761,1621937873805301904,88.101531
1621937873831367305,1621937873905232710,87.96013
1621937873931533842,1621937874005028999,87.453952
1621937874031701893,1621937874105772469,88.234277
1621937874131846176,1621937874205767950,87.922637
1621937874232044010,1621937874306213842,87.867195
1621937874332136237,1621937874406217013,87.926835
1621937874432314803,1621937874506577988,88.247952
1621937874532491357,1621937874606808103,88.192756
1621937874632637664,1621937874708080657,89.40623
1621937874732791899,1621937874806473772,87.551729
1621937874832946042,1621937874907225652,88.157032
1621937874933107200,1621937875006998049,87.648884
1621937875033293393,1621937875107734641,88.591443
1621937875133438434,1621937875207464531,87.810782
1621937875233484718,1621937875307459177,87.932338
1621937875333649499,1621937875408063053,88.59733
1621937875433806209,1621937875507930528,87.922611
1621937875533978335,1621937875607680912,87.397061
1621937875634140869,1621937875708529619,88.108225
1621937875734265636,1621937875808463710,87.790761
1621937875834386984,1621937875909198415,88.616041
1621937875934509071,1621937876008541628,87.951002
1621937876034605723,1621937876108700723,87.80848
1621937876134876460,1621937876208974596,87.673899
1621937876235015925,1621937876309268233,88.084633
1621937876335192974,1621937876409293683,88.27412
1621937876435359652,1621937876509272373,87.81567
1621937876535497700,1621937876609282263,87.761713
1621937876635663559,1621937876710076154,88.673397
1621937876735812318,1621937876809726623,87.476058
1621937876835958148,1621937876909763733,87.60745
1621937876936111244,1621937877010291632,88.097204
1621937877036311705,1621937877110265350,87.844514
1621937877136426379,1621937877210566089,88.364124
1621937877236629253,1621937877310866940,88.124318
1621937877336799234,1621937877410484128,87.481991
1621937877436993325,1621937877511246436,88.129325
1621937877537280638,1621937877611225733,87.770452
1621937877637487719,1621937877711511685,88.160005
1621937877737646671,1621937877812272295,88.383878
1621937877837779019,1621937877913092338,89.210649
1621937877938029104,1621937878011984372,87.95234
1621937878038188280,1621937878111991426,87.431717
1621937878138382889,1621937878212497652,88.023004
1621937878238547371,1621937878312740556,87.648077
1621937878338732816,1621937878413031031,88.031859
1621937878438878602,1621937878512970063,87.791363
1621937878538968723,1621937878612980922,87.961112
1621937878639163393,1621937878712957524,87.677046
1621937878739289668,1621937878813269678,87.774483
1621937878839443834,1621937878914028111,88.394587
1621937878939556311,1621937879013732654,87.733854
1621937879039599770,1621937879114810443,89.348126
1621937879139722554,1621937879213461057,87.634633
1621937879239887362,1621937879313757989,87.460188
1621937879340014483,1621937879413979791,87.658106
1621937879440118165,1621937879513724170,87.233247
1621937879540294799,1621937879614245291,87.584229
1621937879640469627,1621937879714746829,87.742108
1621937879740643949,1621937879815310977,88.976868
1621937879840822019,1621937879914751239,87.491149
1621937879940960772,1621937880016105043,89.119644
1621937880041165359,1621937880115197533,87.847892
1621937880141268476,1621937880215243345,87.838977
1621937880241400290,1621937880315256896,87.379934
1621937880341540606,1621937880415577797,87.805602
1621937880441673015,1621937880515761540,88.04563
1621937880541831018,1621937880617524232,89.2511
1621937880642019143,1621937880716257520,88.184012
1621937880742183530,1621937880815930398,87.558108
1621937880842368900,1621937880916507350,88.097149
1621937880942509464,1621937881016886470,88.434672
1621937881042652114,1621937881116524863,87.811823
1621937881142707854,1621937881216799568,87.92698
1621937881242882925,1621937881317008713,88.101144
1621937881343030940,1621937881417027381,87.986572
1621937881443147913,1621937881517523945,88.358334
1621937881543292170,1621937881617500035,87.853027
1621937881643363122,1621937881717484086,87.970549
1621937881743501290,1621937881817577520,87.86855
1621937881843628800,1621937881918057790,88.563711
1621937881943756051,1621937882018088143,88.187504
1621937882043913566,1621937882118135059,88.24775
1621937882144037925,1621937882217858796,87.997028
1621937882244212967,1621937882318578563,88.649668
1621937882344408446,1621937882418179881,87.630562
1621937882444596513,1621937882518313743,87.643282
1621937882544685861,1621937882618566556,87.714797
1621937882644805633,1621937882718826685,87.927941
1621937882744875026,1621937882819059796,87.977931
1621937882845002224,1621937882919388673,88.415144
1621937882945117471,1621937883019274501,87.751489
1621937883045214303,1621937883119804352,88.335342
1621937883145329770,1621937883219299403,87.772797
1621937883245511274,1621937883319363744,87.88327
1621937883345647719,1621937883419776111,88.183417
1621937883445784071,1621937883520342933,88.823129
1621937883545833402,1621937883619731265,87.617497
1621937883645941027,1621937883719774019,87.156373
1621937883746051981,1621937883820004356,87.611162
1621937883846171793,1621937883920307380,87.837152
1621937883946260303,1621937884020024310,87.232978
1621937884046384613,1621937884120342650,87.907477
1621937884146458358,1621937884220066013,87.489567
1621937884246574241,1621937884320569187,87.940122
1621937884346675449,1621937884420801607,87.501614
1621937884446791482,1621937884520551978,87.762096
1621937884546900234,1621937884620870132,87.777069
1621937884647017107,1621937884721164879,88.002039
1621937884747141966,1621937884821013562,87.537717
1621937884847256005,1621937884921623232,87.98232
1621937884947390517,1621937885029290888,95.313974
1621937885047488529,1621937885121534835,87.819814
1621937885147624308,1621937885221570532,88.026036
1621937885247812921,1621937885322064511,88.31931
1621937885347950107,1621937885422211410,88.207578
1621937885448193119,1621937885525836811,91.735813
1621937885548235261,1621937885622338838,88.230751
1621937885648408353,1621937885722612716,88.418715
1621937885748591152,1621937885822741567,87.845082
1621937885848734777,1621937885922811545,87.920175
1621937885948840636,1621937886023137518,88.254943
1621937886048958553,1621937886123334154,88.295913
1621937886149079452,1621937886223886404,88.275391
1621937886249283137,1621937886323833533,88.683911
1621937886349455500,1621937886423276547,87.647347
1621937886449597606,1621937886523785202,88.104422
1621937886549757207,1621937886623862017,87.982156
1621937886649907368,1621937886723610748,87.656618
1621937886750051948,1621937886824299682,88.02421
1621937886850272303,1621937886924291492,87.593647
1621937886950417888,1621937887024748413,87.855992
1621937887050490996,1621937887124806083,88.080738
1621937887150615254,1621937887224635119,88.02989
1621937887250735504,1621937887324845546,88.091646
1621937887350914349,1621937887425067882,87.999365
1621937887451090452,1621937887525028831,87.775401
1621937887551123307,1621937887625091596,87.77173
1621937887651290194,1621937887725147785,87.854395
1621937887751345379,1621937887825375764,87.940001
