#client-send-timestamp,server-timestamp,e2e-rtt
1622219344093484299,1622219344105167452,17.690247
1622219344193579621,1622219344205132448,17.449969
1622219344293673062,1622219344305133704,17.532501
1622219344393768243,1622219344405663346,17.959539
1622219344493880023,1622219344505889344,17.965004
1622219344594008039,1622219344605614075,17.593422
1622219344694155429,1622219344706149791,18.040112
1622219344794273189,1622219344806143255,18.0488
1622219344894382133,1622219344905418915,17.465283
1622219344994486498,1622219345005631167,17.410877
1622219345094579645,1622219345105882440,17.413648
1622219345194687184,1622219345205619018,17.27827
1622219345294805130,1622219345306638412,17.769433
1622219345394907667,1622219345405930222,17.21832
1622219345495017695,1622219345506134538,17.095091
1622219345595125528,1622219345606370203,17.356318
1622219345695220235,1622219345706627644,17.502853
1622219345795368724,1622219345806389563,17.342389
1622219345895476206,1622219345906897972,17.436519
1622219345995602385,1622219346006888608,17.380286
1622219346095698179,1622219346106877447,17.208818
1622219346195791548,1622219346206889356,17.335623
1622219346295969025,1622219346307428190,17.581072
1622219346396141791,1622219346407420476,17.52118
1622219346496308670,1622219346507388462,17.304195
1622219346596533020,1622219346607908899,17.724141
1622219346696603682,1622219346708144112,17.800377
1622219346796644776,1622219346807906153,17.417144
1622219346896795726,1622219346908136181,17.466551
1622219346996950311,1622219347007876999,16.704671
1622219347097115434,1622219347108928128,17.736497
1622219347197281536,1622219347208639718,17.337368
1622219347297453799,1622219347308913192,17.600944
1622219347397604093,1622219347413586652,22.199159
1622219347497782901,1622219347509134252,17.327828
1622219347597956858,1622219347609159081,17.484939
1622219347698176837,1622219347709139802,17.151046
1622219347798403667,1622219347809381225,16.912469
1622219347898531879,1622219347909677191,16.854973
1622219347998603624,1622219348009657449,17.443523
1622219348098731283,1622219348110151423,17.430929
1622219348198913947,1622219348210150335,17.195985
1622219348299124158,1622219348310444470,17.461799
1622219348399279628,1622219348410638735,17.261956
1622219348499569326,1622219348510908920,17.759552
1622219348599683110,1622219348610897566,17.393487
1622219348699883400,1622219348711154188,17.175215
1622219348800147749,1622219348811425473,17.337604
1622219348900305460,1622219348911640817,17.497614
1622219349000515952,1622219349011898005,17.71275
1622219349100587161,1622219349111930185,17.691607
1622219349200785175,1622219349211920668,17.4099
1622219349301084856,1622219349312394656,17.594382
1622219349401366529,1622219349412635245,17.596673
1622219349501609844,1622219349512981880,17.433952
1622219349601817564,1622219349613442124,17.58241
1622219349702040683,1622219349713168704,17.279429
1622219349802295291,1622219349813403013,17.305293
1622219349902405158,1622219349913711665,17.386896
1622219350002570337,1622219350013422182,16.895254
1622219350102718488,1622219350113674301,17.239564
1622219350202939889,1622219350214242704,16.953283
1622219350303100102,1622219350314209807,17.22331
1622219350403353256,1622219350414708900,17.776842
1622219350503515665,1622219350514679646,17.240042
1622219350603722795,1622219350614651736,17.034487
1622219350703955561,1622219350715178398,17.262448
1622219350804105747,1622219350815165484,17.439195
1622219350904302500,1622219350915703618,17.665329
1622219351004501585,1622219351015938321,17.826841
1622219351104670963,1622219351116180628,17.735952
1622219351204754111,1622219351216177914,17.896024
1622219351305045578,1622219351315942906,17.006631
1622219351405334078,1622219351416660550,17.600563
1622219351505533903,1622219351516447866,17.152859
1622219351605808868,1622219351616936839,17.469912
1622219351705967181,1622219351716956545,17.246907
1622219351806267027,1622219351817417711,17.454887
1622219351906364749,1622219351917451168,16.923556
1622219352006511958,1622219352017952352,17.468982
1622219352106719302,1622219352118481498,18.0465
1622219352206914021,1622219352217931913,17.260969
1622219352307117411,1622219352318453045,17.742449
1622219352407138880,1622219352418183902,17.020591
1622219352507373970,1622219352518420947,17.477051
1622219352607675147,1622219352619179404,17.513443
1622219352707871925,1622219352719429010,17.678077
1622219352808050491,1622219352819165001,17.344154
1622219352908244829,1622219352919186877,17.435272
1622219353008471447,1622219353019952449,17.457022
1622219353108694972,1622219353119669746,17.353116
1622219353208953620,1622219353220161194,17.257334
1622219353309223443,1622219353320700519,17.764347
1622219353409328994,1622219353420686666,17.563055
1622219353509615831,1622219353520682771,17.435651
1622219353609802690,1622219353620666208,17.140032
1622219353710070514,1622219353721692640,17.656317
1622219353810357441,1622219353821693286,17.602573
1622219353910499963,1622219353921685607,17.251896
1622219354010683389,1622219354021931850,17.329106
1622219354110871229,1622219354122189906,17.444388
1622219354211017131,1622219354221923806,16.695909
1622219354311215932,1622219354322448428,17.320219
1622219354411420833,1622219354422967035,17.837909
1622219354511528719,1622219354522994613,17.2045
1622219354611743027,1622219354623204925,17.619233
1622219354711980077,1622219354722950885,16.924643
1622219354812214723,1622219354823462430,17.352409
1622219354912334660,1622219354923458799,17.176411
1622219355012493912,1622219355023514513,17.226726
1622219355112621303,1622219355123682549,17.101359
1622219355212939100,1622219355224469584,17.69856
1622219355313181623,1622219355324194275,17.275799
1622219355413451596,1622219355424443158,17.249629
1622219355513680691,1622219355524957539,17.648397
1622219355613721972,1622219355625189989,17.64863
1622219355713933579,1622219355724940375,17.385652
1622219355814101634,1622219355825694137,17.79041
1622219355914187390,1622219355925209849,17.360348
1622219356014336961,1622219356025692451,17.498884
1622219356114449368,1622219356125711365,17.287212
1622219356214655905,1622219356225957995,17.558935
1622219356314868622,1622219356326256201,17.709457
1622219356414978901,1622219356426181765,17.187583
1622219356515167326,1622219356526734428,17.870276
1622219356615365749,1622219356626709440,17.378493
1622219356715587490,1622219356727017234,17.540711
1622219356815784216,1622219356827192063,17.74274
1622219356915865033,1622219356927013480,17.386303
1622219357016130335,1622219357027217686,17.322428
1622219357116414257,1622219357134986312,25.174023
1622219357216681994,1622219357227958112,17.735501
1622219357316773854,1622219357331358558,20.98782
1622219357416920703,1622219357428000548,17.064569
1622219357517162261,1622219357528465075,17.415805
