#client-send-timestamp,server-timestamp,e2e-rtt
1621939431177624027,1621939431206572731,46.498452
1621939431277760059,1621939431306409076,46.212876
1621939431378031949,1621939431407227301,47.046644
1621939431478286306,1621939431506896972,46.108342
1621939431578443570,1621939431606858865,45.514051
1621939431678610200,1621939431707191096,46.280155
1621939431778770908,1621939431807440485,46.144196
1621939431878972022,1621939431907440640,46.017162
1621939431979165831,1621939432007928737,46.563559
1621939432079408724,1621939432107942692,46.285203
1621939432179587970,1621939432208445308,46.706217
1621939432279756504,1621939432308425830,46.125818
1621939432379931511,1621939432408161664,47.086576
1621939432480128020,1621939432508899845,46.209272
1621939432580406043,1621939432608900474,45.911725
1621939432680700159,1621939432709158601,46.049675
1621939432780959387,1621939432809903093,46.275685
1621939432881189379,1621939432910164154,46.253701
1621939432981431542,1621939433010197097,46.334798
1621939433081696450,1621939433110168384,46.050437
1621939433181814089,1621939433210715018,46.678579
1621939433282001489,1621939433310668605,46.56829
1621939433382237030,1621939433410645040,46.002315
1621939433482408332,1621939433510678947,45.425208
1621939433582612973,1621939433611167152,46.151608
1621939433682755221,1621939433711181871,46.086602
1621939433782931338,1621939433810912564,45.404798
1621939433883211740,1621939433911659056,46.192845
1621939433983522649,1621939434011916463,46.062181
1621939434083675203,1621939434112225659,46.045382
1621939434183884498,1621939434212737763,46.733872
1621939434283924039,1621939434311937867,45.70553
1621939434384050888,1621939434412720366,46.252082
1621939434484247839,1621939434512408918,45.775587
1621939434584332056,1621939434612464409,45.831215
1621939434684482719,1621939434712934503,46.351294
1621939434784705696,1621939434812896788,45.780311
1621939434884840923,1621939434913476386,45.833865
1621939434984990843,1621939435014607798,47.040923
1621939435085107678,1621939435113470993,46.229132
1621939435185240818,1621939435215066232,47.589351
1621939435285425866,1621939435313958549,45.987789
1621939435385661948,1621939435414274605,46.29556
1621939435485851182,1621939435514478866,46.338286
1621939435586032620,1621939435614656217,46.235945
1621939435686202370,1621939435714430541,45.844018
1621939435786291525,1621939435814683133,46.235423
1621939435886596720,1621939435915232975,46.374001
1621939435986710113,1621939436014937821,45.436915
1621939436086853422,1621939436115245745,46.008795
1621939436187046263,1621939436215227498,45.793527
1621939436287301400,1621939436315687381,45.812756
1621939436387414767,1621939436415699528,45.730551
1621939436487579991,1621939436515932083,45.886861
1621939436587744571,1621939436616165597,46.047059
1621939436687841845,1621939436716426811,46.219741
1621939436787966933,1621939436816166663,45.780307
1621939436887998517,1621939436916684190,45.872151
1621939436988184098,1621939437016495311,46.161936
1621939437088366372,1621939437116786360,46.06652
1621939437188527162,1621939437216982678,46.090772
