#client-send-timestamp,server-timestamp,e2e-rtt
1622222134717308653,1622222134720967375,11.331707
1622222134817969508,1622222134821520775,10.936491
1622222134918217059,1622222134922021519,11.201233
1622222135018743145,1622222135022566214,11.373535
1622222135119412877,1622222135122780877,10.77112
1622222135219434484,1622222135223043599,10.742771
1622222135320477923,1622222135323785808,10.609504
1622222135421389361,1622222135424863611,11.012732
1622222135521723753,1622222135525108016,10.949181
1622222135621984190,1622222135625310508,10.725443
1622222135722996285,1622222135726272050,10.588626
1622222135823904724,1622222135827595517,11.352247
1622222135924562830,1622222135927606919,10.475473
1622222136025369331,1622222136028836709,10.671836
1622222136126309651,1622222136129947545,11.048667
1622222136226676181,1622222136230111087,10.804334
1622222136326722224,1622222136330031902,10.381592
1622222136427408328,1622222136431050233,10.875693
1622222136527529925,1622222136531071490,10.993631
1622222136627842870,1622222136631540025,10.944074
1622222136728088704,1622222136731542340,10.712587
1622222136829114764,1622222136832318672,10.711035
1622222136930094299,1622222136933533125,10.691863
1622222137031112394,1622222137034852255,10.968266
1622222137131370237,1622222137134880190,10.9545
1622222137231635397,1622222137235287258,10.953358
1622222137331870051,1622222137335322911,10.718683
1622222137432906489,1622222137436642640,10.917863
1622222137533024032,1622222137536353505,10.809691
1622222137633044750,1622222137636350689,10.792906
1622222137733073203,1622222137736804889,10.983259
1622222137833366665,1622222137836801388,10.711621
1622222137934352584,1622222137937781414,10.709905
1622222138035376045,1622222138038774976,10.681948
1622222138136354433,1622222138140122375,11.190227
1622222138236857960,1622222138240643171,11.160442
1622222138337315648,1622222138340813608,10.982412
1622222138437609472,1622222138441013443,10.750656
1622222138538641085,1622222138542289923,10.677684
1622222138639632691,1622222138643051414,10.69526
1622222138740628606,1622222138743750776,10.398059
1622222138841328699,1622222138844540678,10.482211
1622222138942103522,1622222138945530337,10.726638
1622222139043132591,1622222139046853233,11.161831
1622222139143605747,1622222139146834004,10.745484
1622222139244654749,1622222139248077858,10.642891
1622222139345620405,1622222139349279354,10.943687
1622222139445871521,1622222139449289557,10.552517
1622222139546723913,1622222139550027844,11.163
1622222139647192789,1622222139650790427,10.867866
1622222139747312061,1622222139750628045,10.768692
1622222139847345756,1622222139850789893,10.760898
1622222139948402364,1622222139952043881,10.676218
1622222140049401902,1622222140053025581,10.963047
1622222140149669719,1622222140153313087,10.929069
1622222140249922630,1622222140253297759,10.898943
1622222140350043932,1622222140353348266,14.977677
1622222140450330685,1622222140453797440,10.572013
1622222140551205395,1622222140554554556,10.640457
1622222140652151914,1622222140655315109,10.449107
1622222140752898277,1622222140756332671,10.658973
1622222140853868720,1622222140857535661,10.966085
1622222140954137627,1622222140957547920,10.681903
1622222141055112661,1622222141058370545,10.724064
1622222141156151921,1622222141159577295,10.946391
1622222141256434335,1622222141259794156,10.683787
1622222141357444070,1622222141360814964,10.342294
1622222141458087841,1622222141461311067,10.968417
1622222141558372683,1622222141561808396,10.53025
1622222141659208543,1622222141662544872,10.623177
1622222141760131300,1622222141763550156,10.684215
1622222141861096094,1622222141864550173,10.716152
1622222141962113116,1622222141965615400,10.742271
1622222142063156949,1622222142066893942,10.953428
1622222142163409689,1622222142166771374,10.453617
1622222142264170924,1622222142267635149,10.637668
1622222142365131316,1622222142368547700,10.678878
1622222142466111500,1622222142469878964,11.286976
1622222142566710505,1622222142570069857,10.657177
1622222142667660104,1622222142671071198,10.690326
1622222142768655509,1622222142772302418,10.915332
1622222142868780806,1622222142872048348,10.80067
1622222142968837148,1622222142972289340,10.769729
1622222143069918218,1622222143073596421,10.91661
1622222143170042599,1622222143173414279,10.584065
1622222143270935167,1622222143274380545,10.88172
1622222143371057682,1622222143374597731,10.541248
1622222143471912056,1622222143475327592,10.631504
1622222143572822232,1622222143576278632,10.979123
1622222143673112781,1622222143676537602,10.482204
1622222143773899268,1622222143777581268,10.965322
1622222143874174705,1622222143877570952,11.909275
1622222143974301574,1622222143977560384,11.030733
1622222144074645899,1622222144078132568,10.707077
1622222144175668854,1622222144179059733,10.688463
1622222144276676643,1622222144280068924,10.639582
1622222144377633482,1622222144381334588,10.986028
1622222144477896488,1622222144481320258,10.726013
1622222144578925213,1622222144582077357,10.441094
1622222144679670474,1622222144683134913,10.935057
1622222144779924974,1622222144783576920,10.980385
1622222144880211641,1622222144883555923,10.704738
1622222144981226362,1622222144984872800,10.820793
1622222145081271904,1622222145084862047,11.062026
1622222145181640780,1622222145185284402,10.749046
1622222145282690085,1622222145286050308,10.371846
1622222145383365041,1622222145386805890,10.746882
1622222145484419857,1622222145487818792,10.639104
1622222145585362000,1622222145588838282,10.775125
1622222145686441371,1622222145689799221,10.689886
1622222145787477804,1622222145791065230,10.866116
1622222145887584104,1622222145890867467,10.535365
1622222145988419713,1622222145991817186,10.630368
1622222146089380498,1622222146093141700,10.977607
1622222146189670730,1622222146193329744,10.930673
1622222146289925866,1622222146293424777,10.953006
1622222146390180459,1622222146393877390,10.936528
1622222146490416312,1622222146493548120,10.475719
1622222146591178456,1622222146594559702,10.708173
1622222146692184522,1622222146695825282,10.930252
1622222146792316577,1622222146795616818,10.536518
1622222146893151929,1622222146896580692,10.724205
1622222146994180571,1622222146997561381,10.932025
1622222147094311234,1622222147097566812,10.561843
1622222147195195791,1622222147198836245,11.159371
1622222147295612780,1622222147299325154,11.021461
1622222147395921781,1622222147399412017,10.905943
1622222147496039244,1622222147499367750,10.58134
1622222147596937361,1622222147600575504,10.718672
1622222147697964147,1622222147701333672,10.650114
1622222147798908705,1622222147802324076,10.7132
1622222147899932799,1622222147903325904,10.672518
1622222148000893155,1622222148004334691,12.461925
1622222148101652314,1622222148105161616,13.914211
1622222148201758515,1622222148205313532,10.852107
1622222148301824185,1622222148305338353,10.786129
1622222148402881886,1622222148406337031,10.771643
1622222148503948940,1622222148507414311,10.658491
1622222148604877600,1622222148608665320,10.976023
1622222148705114343,1622222148708322414,10.477026
1622222148805875218,1622222148809398086,10.753693
1622222148906924695,1622222148910419104,10.905314
1622222149007035306,1622222149010320984,10.603479
1622222149107929863,1622222149111373704,10.617504
1622222149208816669,1622222149212169902,10.75289
1622222149309853957,1622222149313080783,10.502053
1622222149410632841,1622222149414130606,11.002561
1622222149510948182,1622222149514676619,11.104194
1622222149611352193,1622222149614573986,10.562886
1622222149712219588,1622222149715882816,10.933497
1622222149812461958,1622222149815848033,10.635516
1622222149913355947,1622222149916623618,10.554258
1622222150014228313,1622222150017591755,10.390228
1622222150114907445,1622222150118356151,10.733053
1622222150215933360,1622222150219642810,10.671724
1622222150316925339,1622222150320608041,10.711925
1622222150417936211,1622222150421344134,10.69122
1622222150518935766,1622222150522390989,10.69282
1622222150619935592,1622222150623351199,10.656201
1622222150720889284,1622222150724134889,10.504219
1622222150821680369,1622222150825092787,10.705941
1622222150922698797,1622222150926319311,10.925586
1622222151022941899,1622222151026335251,10.721489
1622222151123954550,1622222151127131587,10.421331
1622222151224705780,1622222151228088992,10.675124
1622222151325652839,1622222151329330826,10.972977
1622222151425937819,1622222151429320931,10.743064
1622222151526977115,1622222151530091960,10.368303
1622222151627660778,1622222151630831025,10.503467
1622222151728472975,1622222151731990907,10.852885
1622222151828562210,1622222151831840963,10.565466
1622222151929408210,1622222151932856755,10.433465
1622222152030141189,1622222152033584179,10.543933
1622222152131015726,1622222152134406207,10.592581
1622222152231911273,1622222152235436509,10.705993
1622222152332957104,1622222152336354616,10.632825
1622222152433901954,1622222152437422498,10.952307
1622222152534175296,1622222152537847367,10.703246
1622222152635150222,1622222152638594993,10.743926
1622222152736179936,1622222152739376320,10.417547
1622222152836917230,1622222152840450365,10.927897
1622222152937040741,1622222152940365602,10.557848
1622222153037906722,1622222153041583781,10.990114
1622222153138205412,1622222153141593685,10.401363
1622222153238920115,1622222153242439670,10.688874
1622222153339918172,1622222153343333200,10.703958
1622222153440921757,1622222153444732402,11.01038
1622222153541266024,1622222153544657969,10.379541
1622222153641965660,1622222153645432853,10.671002
1622222153742936786,1622222153746182316,10.405667
1622222153843643854,1622222153846845984,10.455386
1622222153944391586,1622222153947856808,10.69933
1622222154045394643,1622222154048856420,10.709587
1622222154146420995,1622222154150140197,10.959326
1622222154246700219,1622222154250164593,10.679874
1622222154347692507,1622222154351376688,10.93161
1622222154447947075,1622222154451343170,15.138381
1622222154548378399,1622222154551854485,12.434897
1622222154649127001,1622222154652616270,11.685954
1622222154750108137,1622222154753655784,10.511563
1622222154850936575,1622222154854443501,10.721131
1622222154951958492,1622222154955106296,10.417317
1622222155052032507,1622222155055673729,10.63377
1622222155152967881,1622222155156361629,10.59803
1622222155253866155,1622222155257336004,10.967252
1622222155354141620,1622222155357648028,10.519737
1622222155454962299,1622222155458665773,10.948775
1622222155555233138,1622222155558696120,10.911391
1622222155655357643,1622222155658615748,10.586342
1622222155756250175,1622222155759342193,10.154451
1622222155856704454,1622222155860180187,10.67732
1622222155957693607,1622222155961122277,10.662404
1622222156058679938,1622222156062429672,11.023931
1622222156159006249,1622222156162429268,10.658067
1622222156259992689,1622222156263425731,10.442229
1622222156360738758,1622222156364130091,10.894516
1622222156460859103,1622222156464143699,10.314038
1622222156561479652,1622222156565392328,10.933429
1622222156661734515,1622222156665100736,10.441564
1622222156762483070,1622222156765941800,10.63806
1622222156863436482,1622222156866693098,10.478044
1622222156964224519,1622222156967652505,10.634721
1622222157065174718,1622222157068896996,10.97591
1622222157165450608,1622222157168928272,10.725853
1622222157266492960,1622222157269920167,10.660653
1622222157367455848,1622222157370870491,10.677647
1622222157468425088,1622222157472138664,10.959615
1622222157568706771,1622222157572153602,10.468074
1622222157669487377,1622222157673202851,10.91642
1622222157769729418,1622222157773119231,10.664137
1622222157870699884,1622222157874331052,10.952264
1622222157970974512,1622222157974340716,10.675426
1622222158071965264,1622222158079618009,14.948474
1622222158172234161,1622222158175602227,10.647805
1622222158273188875,1622222158276342306,10.426309
1622222158373945761,1622222158377347261,10.70863
1622222158474973404,1622222158478662051,11.184471
1622222158575488352,1622222158578848765,10.630542
1622222158676426293,1622222158679923824,10.758338
1622222158777515070,1622222158781140633,10.571942
1622222158878392077,1622222158881962075,11.015476
1622222158978726222,1622222158981960076,10.453986
1622222159079491303,1622222159082847636,10.697131
1622222159180503975,1622222159184138982,10.584437
1622222159281395229,1622222159284845964,10.716721
1622222159382430027,1622222159385923072,10.726984
1622222159483459352,1622222159486899156,10.698837
1622222159584470134,1622222159587876612,10.703468
1622222159685489380,1622222159689135920,10.932454
1622222159785744955,1622222159789104743,10.657101
1622222159886704635,1622222159889968687,10.468489
1622222159987498285,1622222159990893393,10.6429
1622222160088457720,1622222160092150181,11.001239
1622222160188774259,1622222160192128219,10.397192
1622222160289489906,1622222160292851533,10.663993
1622222160390468914,1622222160393970061,10.923901
1622222160490599708,1622222160493609971,10.7955
1622222160591690521,1622222160595281485,12.451094
1622222160692451951,1622222160695851260,10.737326
1622222160793491578,1622222160796894420,10.698091
1622222160894479815,1622222160897943783,10.631323
1622222160995442072,1622222160999121166,11.009368
1622222161095775469,1622222161099158105,10.461639
1622222161196552730,1622222161200194698,10.823725
1622222161296619624,1622222161299690603,10.60832
1622222161397533345,1622222161400865750,10.577713
1622222161498413505,1622222161501877958,10.82154
1622222161598461748,1622222161602000267,10.733963
1622222161699503661,1622222161702675317,10.399535
1622222161800223674,1622222161803693884,10.712824
1622222161901244510,1622222161904641870,10.699825
1622222162002272464,1622222162005667141,10.662503
1622222162103276198,1622222162106883986,10.891755
1622222162203399117,1622222162206624971,10.560881
1622222162304265763,1622222162307639815,11.120911
1622222162404689618,1622222162407928835,10.489577
1622222162505479729,1622222162508976580,10.695564
1622222162606482915,1622222162609952864,10.727605
1622222162707533305,1622222162711116005,10.67929
1622222162808512557,1622222162811983314,10.942097
1622222162908747089,1622222162912192975,10.926179
1622222163008985650,1622222163012434712,10.702902
1622222163110003045,1622222163113474036,10.92321
1622222163210127206,1622222163213420265,10.56905
1622222163310999045,1622222163314450340,10.681284
1622222163411997188,1622222163415376925,10.699112
1622222163512998904,1622222163516650192,11.214777
1622222163613513524,1622222163617149796,10.703943
1622222163714522849,1622222163717886083,10.688621
1622222163815513013,1622222163818863290,10.636468
1622222163916452741,1622222163919898763,10.738749
1622222164017477479,1622222164020669234,10.415642
1622222164118162833,1622222164121371897,10.531971
1622222164218970824,1622222164222390256,10.672411
1622222164319953220,1622222164323387492,10.721521
1622222164420981159,1622222164424660159,11.021594
1622222164521265043,1622222164524621503,10.949678
1622222164621480844,1622222164625131881,10.725264
1622222164722478427,1622222164725870555,10.758652
1622222164823540523,1622222164826647783,10.587438
1622222164924416172,1622222164927905502,10.842712
1622222165024506420,1622222165028136223,10.713065
1622222165125533755,1622222165128940176,10.911405
1622222165225656418,1622222165229266444,11.033596
1622222165325990529,1622222165329371465,10.715475
1622222165426987077,1622222165430146868,10.232283
1622222165527542563,1622222165531145568,10.609458
1622222165628440922,1622222165631913096,10.758893
1622222165729498018,1622222165732628716,10.401036
1622222165830198797,1622222165833394626,10.437705
1622222165930913936,1622222165934163817,11.996879
1622222166031212830,1622222166034918420,10.996297
1622222166131509356,1622222166134891275,10.70718
1622222166232517251,1622222166236134752,10.877297
1622222166332635273,1622222166336133019,10.805178
1622222166432655709,1622222166435932388,10.553679
1622222166533512849,1622222166536900414,10.398653
1622222166634242665,1622222166637389196,10.418815
1622222166734959128,1622222166738154276,10.492224
1622222166835764040,1622222166839154553,10.614078
1622222166936665150,1622222166939986493,10.758432
1622222167037715597,1622222167041125241,10.69158
1622222167138676099,1622222167142155054,10.758459
1622222167239748395,1622222167243148849,10.624088
1622222167340659291,1622222167343988887,10.779122
1622222167441713654,1622222167445487339,10.935862
1622222167541945524,1622222167545475833,11.047762
1622222167642276910,1622222167645966706,11.241554
1622222167742838100,1622222167746161348,10.601842
1622222167843753353,1622222167847206083,10.91789
1622222167943883652,1622222167947186380,10.810161
1622222168043932057,1622222168047661194,10.783172
1622222168143957013,1622222168147703446,11.348789
1622222168244622564,1622222168248210234,10.750309
1622222168345645317,1622222168348932601,10.542169
1622222168446500375,1622222168449963966,10.920659
1622222168546623938,1622222168550008669,10.868672
1622222168646731625,1622222168650142515,10.738802
1622222168747785293,1622222168751139008,10.647181
1622222168848730937,1622222168852533464,10.934138
1622222168948966729,1622222168952409969,10.749553
1622222169050007710,1622222169053671386,10.935637
1622222169150248240,1622222169153735429,10.988967
1622222169250550979,1622222169254170658,10.879938
1622222169350672091,1622222169354154575,10.536612
1622222169451522018,1622222169454902995,10.650419
1622222169552471655,1622222169555659500,10.45297
1622222169653226911,1622222169656663883,10.651643
1622222169754187355,1622222169757405123,10.718509
1622222169855205764,1622222169858902357,10.993557
1622222169955503360,1622222169958643798,10.681192
1622222170056486916,1622222170059919992,10.666896
1622222170157500670,1622222170160899801,10.648231
1622222170258463086,1622222170261661100,10.464047
1622222170359225261,1622222170362673867,10.716606
1622222170460248210,1622222170463715913,10.951708
1622222170560511143,1622222170564139910,10.98319
1622222170660794819,1622222170664180288,10.441836
1622222170761545974,1622222170764910961,10.699636
1622222170862552398,1622222170865916312,10.695391
