#client-send-timestamp,server-timestamp,e2e-rtt
1622226158759790000,1622226158789736141,16.683
1622226158865835000,1622226158895556861,15.902
1622226158970955000,1622226159001451282,17.243
1622226159076062000,1622226159106124886,16.833
1622226159181216000,1622226159212253910,18.32
1622226159286357000,1622226159318491636,21.706
1622226159391461000,1622226159421382617,16.82
1622226159496615000,1622226159527693143,17.955
1622226159601788000,1622226159632434949,20.093
1622226159706923000,1622226159737413957,17.24
1622226159812053000,1622226159842486567,17.553
1622226159917628000,1622226159947786880,20.921
1622226160022789000,1622226160053757102,17.91
1622226160127905000,1622226160158530708,17.655
1622226160228269000,1622226160258791354,18.443
1622226160333387000,1622226160363832963,17.199
1622226160438496000,1622226160469461381,18.163
1622226160539811000,1622226160569673125,19.331
1622226160644856000,1622226160675493446,17.795
1622226160750020000,1622226160781280666,20.14
1622226160855186000,1622226160886778082,22.144
1622226160960299000,1622226160991065082,17.406
1622226161065257000,1622226161095729086,17.75
1622226161170096000,1622226161200255490,19.356
1622226161271050000,1622226161301492548,17.517
1622226161376169000,1622226161407234868,17.88
1622226161476716000,1622226161507019007,19.389
1622226161581871000,1622226161612077117,16.738
1622226161687010000,1622226161717320930,17.627
1622226161792161000,1622226161822807046,20.14
1622226161894823000,1622226161924725814,16.95
1622226161999968000,1622226162030522634,24.42
1622226162105107000,1622226162135679246,18.03
1622226162210228000,1622226162240696256,17.136
1622226162314427000,1622226162344399948,20.521
1622226162419541000,1622226162450369970,17.801
1622226162520555000,1622226162550215710,16.621
1622226162625662000,1622226162655732427,19.588
1622226162730839000,1622226162761025040,17.356
1622226162835981000,1622226162866979562,17.762
1622226162941093000,1622226162970865057,20.157
1622226163046194000,1622226163076499975,16.945
1622226163151306000,1622226163181157979,16.639
1622226163253181000,1622226163283852158,20.352
1622226163358301000,1622226163388231859,16.975
1622226163461530000,1622226163491784349,17.061
1622226163565393000,1622226163596241751,19.067
1622226163670326000,1622226163701802868,18.557
1622226163775437000,1622226163805798364,17.442
1622226163880572000,1622226163910759673,19.999
1622226163985677000,1622226164015492979,16.5
1622226164090791000,1622226164120993595,16.871
1622226164194796000,1622226164225080792,17.393
1622226164299906000,1622226164330247904,17.218
1622226164401667000,1622226164433488390,18.523
1622226164503165000,1622226164533031526,16.723
1622226164608276000,1622226164638167437,16.818
1622226164711588000,1622226164741442323,16.949
1622226164816734000,1622226164847506647,17.93
1622226164921841000,1622226164952492556,17.547
1622226165026941000,1622226165057376564,20.348
1622226165128178000,1622226165158319119,16.967
1622226165233285000,1622226165263902537,17.356
1622226165338234000,1622226165368517941,19.498
1622226165440966000,1622226165471452022,17.54
1622226165544799000,1622226165575730422,17.666
1622226165648334000,1622226165678703904,18.893
1622226165753510000,1622226165783910817,17.179
1622226165858630000,1622226165888843025,20.984
1622226165963277000,1622226165993728133,20.436
1622226166065301000,1622226166095709902,17.178
1622226166170400000,1622226166200960315,20.337
1622226166271090000,1622226166301150960,19.801
1622226166376431000,1622226166407303385,17.804
1622226166478240000,1622226166508521143,17.584
1622226166583386000,1622226166613769356,19.29
1622226166686537000,1622226166716570636,17.098
1622226166791648000,1622226166822336356,18.785
1622226166895924000,1622226166926408753,18.104
1622226167001071000,1622226167031504363,17.702
1622226167106233000,1622226167137316884,18.105
1622226167209495000,1622226167240360367,19.597
1622226167314652000,1622226167345652280,17.86
1622226167419799000,1622226167449646576,16.685
1622226167524739000,1622226167554742587,17.219
1622226167629865000,1622226167660350004,17.475
1622226167735025000,1622226167766029623,21.499
1622226167836478000,1622226167866711474,17.582
1622226167941885000,1622226167972497894,17.696
1622226168046996000,1622226168077234500,19.363
1622226168152159000,1622226168182483113,17.33
1622226168257269000,1622226168287401221,16.786
1622226168361567000,1622226168391853023,19.347
1622226168466699000,1622226168497030435,17.585
1622226168571225000,1622226168601598839,17.138
1622226168676334000,1622226168706905336,20.698
1622226168781483000,1622226168811546499,17.28
1622226168886608000,1622226168917047974,19.832
1622226168991700000,1622226169021729338,19.148
1622226169095751000,1622226169126119398,16.971
1622226169198644000,1622226169228637034,17.22
1622226169303805000,1622226169334479614,21.497
1622226169408916000,1622226169439080277,17.23
1622226169514063000,1622226169545501563,18.301
1622226169619211000,1622226169649669021,17.348
1622226169721698000,1622226169752542861,17.594
1622226169826803000,1622226169858879447,19.248
1622226169929717000,1622226169959945764,17.278
1622226170033878000,1622226170063997520,17.108
1622226170138280000,1622226170168741984,17.548
1622226170243384000,1622226170273956655,17.904
1622226170348486000,1622226170378693420,16.996
1622226170453592000,1622226170483743389,20.367
1622226170558704000,1622226170590259977,18.873
1622226170663413000,1622226170693597424,17.321
1622226170768520000,1622226170798880996,17.505
1622226170871387000,1622226170901453932,16.992
1622226170976487000,1622226171006636203,17.319
1622226171081720000,1622226171111581670,16.842
1622226171186826000,1622226171217043544,17.261
1622226171289890000,1622226171320811897,17.639
1622226171395038000,1622226171426225070,20.513
1622226171499480000,1622226171529412815,16.963
1622226171604570000,1622226171634788388,17.439
1622226171705717000,1622226171735844705,17.195
1622226171810843000,1622226171840838673,16.982
1622226171915995000,1622226171946249646,17.569
1622226172019927000,1622226172050097100,18.386
1622226172121407000,1622226172151323219,16.671
1622226172224434000,1622226172254899268,18.045
1622226172326390000,1622226172356872197,20.851
1622226172431511000,1622226172461614062,17.021
1622226172536584000,1622226172568014748,18.292
1622226172641687000,1622226172671369695,16.508
1622226172746801000,1622226172776621967,16.809
1622226172850064000,1622226172880559121,17.24
1622226172955192000,1622226172985968195,18.185
1622226173056826000,1622226173087208914,17.192
1622226173161883000,1622226173192067980,20.445
1622226173265130000,1622226173294738818,16.418
1622226173370296000,1622226173400309294,17.044
1622226173475423000,1622226173505591966,19.915
1622226173580382000,1622226173611532946,18.003
