#client-send-timestamp,server-timestamp,e2e-rtt
1622183148247377236,1622183148249770466,14.571666
1622183148348342677,1622183148350746315,14.908453
1622183148448513383,1622183148451433459,15.168996
1622183148548981968,1622183148551629497,15.231441
1622183148649496093,1622183148652225540,15.196815
1622183148749991653,1622183148752690481,15.245711
1622183148850567622,1622183148853230023,14.888981
1622183148950686391,1622183148953572963,15.264175
1622183149051244579,1622183149053670399,14.689947
1622183149152283112,1622183149154706548,14.685059
1622183149253226559,1622183149255701497,14.70663
1622183149354258282,1622183149356608644,14.398323
1622183149454973875,1622183149457648693,15.011824
1622183149555307090,1622183149557552727,14.616285
1622183149656233686,1622183149658602676,14.734969
1622183149757308392,1622183149759558724,14.597324
1622183149858208217,1622183149860895477,15.276274
1622183149958822763,1622183149961575021,15.128582
1622183150059263962,1622183150061741658,14.74915
1622183150160355114,1622183150162667006,14.624274
1622183150261281111,1622183150263713755,14.94339
1622183150361574609,1622183150364742203,15.647713
1622183150462551657,1622183150465064543,14.985966
1622183150562863925,1622183150565674386,15.356944
1622183150663567421,1622183150666280829,15.163115
1622183150764049514,1622183150766617669,14.957166
1622183150864341120,1622183150866764606,14.923391
1622183150964588207,1622183150967271548,15.13666
1622183151065008104,1622183151067362784,14.957066
1622183151165260249,1622183151168217831,15.255275
1622183151265821669,1622183151268715772,15.130437
1622183151366243574,1622183151368640807,14.732285
1622183151467281469,1622183151469751056,14.706507
1622183151568281370,1622183151570971608,14.943694
1622183151668529193,1622183151671024744,15.000832
1622183151768834783,1622183151771668187,15.171625
1622183151869307375,1622183151871572021,14.699775
1622183151970312693,1622183151972565770,14.683858
1622183152071296200,1622183152073680320,14.998034
1622183152171596679,1622183152174087160,14.899272
1622183152271719823,1622183152274137696,15.043797
1622183152372059579,1622183152374586737,14.713049
1622183152473072268,1622183152475676987,14.93587
1622183152573301924,1622183152575521320,14.457705
1622183152674049371,1622183152676495568,14.473233
1622183152774823414,1622183152777420815,14.948021
1622183152875062564,1622183152877579752,15.204598
1622183152975565976,1622183152978066394,14.727812
1622183153076586544,1622183153079412647,15.118819
1622183153177005896,1622183153179561784,15.02049
1622183153277322091,1622183153279983825,15.189744
1622183153377815711,1622183153380587668,15.210548
1622183153478325602,1622183153480526802,14.449021
1622183153579073820,1622183153581556651,14.957109
1622183153679337392,1622183153681971492,15.167168
1622183153779803940,1622183153782236130,14.748609
1622183153880841888,1622183153883498882,14.8796
1622183153980955077,1622183153983652820,15.118304
1622183154081369221,1622183154083741756,14.662244
1622183154182337533,1622183154185201510,15.484631
1622183154283121107,1622183154285813754,15.21112
