#client-send-timestamp,server-timestamp,e2e-rtt
1622183494459256340,1622183494458177341,11.500117
1622183494560083987,1622183494557708998,10.186741
1622183494660575886,1622183494658337236,10.383892
1622183494761271861,1622183494759186905,10.766788
1622183494861308654,1622183494859127944,10.68042
1622183494962310582,1622183494960158942,10.704192
1622183495063357415,1622183495061106102,10.458258
1622183495164156473,1622183495162011564,10.588646
1622183495265070087,1622183495263040667,10.640791
1622183495366090839,1622183495364087894,10.665656
1622183495467103421,1622183495464892942,10.363599
1622183495567772838,1622183495565264671,10.212069
1622183495668301410,1622183495666425140,11.194774
1622183495768799620,1622183495766739198,10.446464
1622183495869581183,1622183495867504809,10.681999
1622183495970583448,1622183495968250593,10.397753
1622183496071288494,1622183496069254566,10.463521
1622183496172052803,1622183496170127033,10.947477
1622183496272374597,1622183496270159838,10.364155
1622183496373043890,1622183496371011209,10.700791
1622183496474045909,1622183496472057646,10.44984
1622183496574804855,1622183496572497279,10.442585
1622183496675554065,1622183496673491502,10.431558
1622183496776289525,1622183496773853336,10.215968
1622183496876807820,1622183496874904994,10.690315
1622183496977781191,1622183496975764582,10.699636
1622183497078781675,1622183497076791612,10.739596
1622183497179832491,1622183497177557203,10.424782
1622183497280561909,1622183497278278720,10.431475
1622183497381293229,1622183497379026742,10.457284
1622183497482048240,1622183497479975977,10.699816
1622183497583049246,1622183497581205367,10.974279
1622183497683323801,1622183497681341233,10.671009
1622183497784307452,1622183497782040625,10.441383
1622183497885043017,1622183497883052725,10.713296
1622183497986056812,1622183497984017967,10.732145
1622183498087091605,1622183498085025762,10.679237
1622183498188075367,1622183498185561375,10.209729
1622183498288588202,1622183498286308466,10.668631
1622183498389551761,1622183498387318278,10.482183
1622183498490335052,1622183498488480665,10.939903
1622183498590581187,1622183498588312957,10.4291
1622183498691311552,1622183498689060474,10.462831
1622183498792073713,1622183498790145395,10.691641
1622183498893075054,1622183498891111897,10.68884
1622183498994070377,1622183498992070670,10.733238
1622183499095108527,1622183499093139821,10.712836
1622183499196143226,1622183499194384365,10.876164
1622183499296246042,1622183499294427921,10.773757
1622183499397320326,1622183499395362646,10.481571
1622183499498117105,1622183499496063997,10.680317
1622183499599134302,1622183499596849656,10.404414
