#client-send-timestamp,server-timestamp,e2e-rtt
1616691632223240773,1616691632239016531,23.497686
1616691632233422304,1616691632242147881,16.503157
1616691632243662563,1616691632252731349,16.746253
1616691632253818668,1616691632262596606,16.460684
1616691632263996836,1616691632274093888,17.743545
1616691632274194907,1616691632283032330,16.367292
1616691632284402135,1616691632293195592,16.202697
1616691632294660006,1616691632303045848,15.854844
1616691632304842324,1616691632313685817,16.254788
1616691632315048648,1616691632323838078,16.736792
1616691632325271141,1616691632334266744,16.797834
1616691632335487618,1616691632344038999,16.330643
1616691632345683140,1616691632354577666,16.27448
1616691632355959746,1616691632364927331,16.228256
1616691632366127035,1616691632375003491,16.154658
1616691632376268629,1616691632385841763,17.239163
1616691632386416382,1616691632395142611,16.165484
1616691632396510616,1616691632405138769,16.120324
1616691632406647422,1616691632415038226,15.791621
1616691632416782922,1616691632425374891,16.023709
1616691632426936457,1616691632435774156,16.194279
1616691632437075492,1616691632445905817,16.111468
1616691632447186749,1616691632455565370,16.036182
1616691632457294058,1616691632465534428,15.923327
1616691632467437847,1616691632475958794,15.766541
1616691632477609141,1616691632486388260,15.832851
1616691632487704773,1616691632496404419,16.197157
1616691632497886793,1616691632506416978,15.790326
1616691632508026658,1616691632516865443,16.534542
1616691632518201688,1616691632526756401,16.085317
1616691632528363080,1616691632537357469,16.388712
1616691632538536117,1616691632547534131,16.360035
1616691632548709462,1616691632557378187,16.227676
1616691632558829296,1616691632567587649,16.349753
1616691632568962257,1616691632577991414,16.501401
1616691632579099364,1616691632588125975,16.705145
1616691632589275668,1616691632597864830,16.32075
1616691632599393248,1616691632607825388,15.760249
1616691632609537453,1616691632618087451,17.096265
1616691632619715837,1616691632628787521,16.871011
1616691632629851828,1616691632638606177,16.032146
1616691632639984570,1616691632648360632,15.908384
1616691632650102969,1616691632658814998,16.344087
1616691632660233139,1616691632668728855,15.678829
1616691632670392202,1616691632679319523,16.841159
1616691632680526374,1616691632689063978,16.616231
1616691632690744215,1616691632699447343,15.958896
1616691632700853303,1616691632709724406,16.135597
1616691632710886847,1616691632719487761,16.363566
1616691632721177317,1616691632729854826,16.193162
1616691632731297828,1616691632739713482,15.615826
1616691632741400035,1616691632749649240,15.831752
1616691632751588226,1616691632760069706,16.300651
1616691632761807072,1616691632770451670,16.246049
1616691632772027603,1616691632781115740,16.736266
1616691632782262962,1616691632791181600,16.979408
1616691632792434646,1616691632801643566,16.822257
1616691632802604656,1616691632811212118,16.062571
1616691632812770372,1616691632821683084,16.954386
1616691632823031153,1616691632831996448,16.737871
1616691632833252737,1616691632842073808,16.499717
1616691632843410090,1616691632852093067,16.268689
1616691632853516625,1616691632862368030,16.568113
1616691632863683858,1616691632872488391,16.550159
1616691632873880620,1616691632882729253,16.476736
1616691632884158876,1616691632892885615,16.556781
1616691632894445800,1616691632902385366,15.442744
1616691632904682877,1616691632913394640,16.515786
1616691632914968366,1616691632923652103,16.356924
1616691632925231103,1616691632933722963,15.984446
1616691632935364719,1616691632943672621,15.671387
1616691632945473006,1616691632953743981,16.121481
