#client-send-timestamp,server-timestamp,e2e-rtt
1616691475204003879,1616691475213718512,17.606716
1616691475214381600,1616691475223510647,16.673297
1616691475224568908,1616691475233755693,17.36534
1616691475234801624,1616691475244557752,17.514277
1616691475245028030,1616691475254472990,17.234342
1616691475255267951,1616691475264672335,17.059663
1616691475266727996,1616691475276532520,17.769276
1616691475276883471,1616691475291472678,22.243422
1616691475287063945,1616691475296179491,16.891737
1616691475297197676,1616691475306257033,16.382111
1616691475307324849,1616691475316629182,17.106331
1616691475317544253,1616691475327069733,17.49639
1616691475327662012,1616691475336581661,16.550335
1616691475337796975,1616691475346584001,16.221699
1616691475347981853,1616691475357346560,17.108273
1616691475358196494,1616691475367722809,17.628269
1616691475368294390,1616691475377280238,17.083283
1616691475378394054,1616691475387428882,16.335188
1616691475388485790,1616691475397621026,16.924333
1616691475398630508,1616691475407740569,16.874327
1616691475408657472,1616691475417890013,16.879249
1616691475418727284,1616691475427615646,16.548181
1616691475428855868,1616691475438153199,17.136012
1616691475439057871,1616691475448015236,16.206851
1616691475449199549,1616691475458263482,16.450217
1616691475459310230,1616691475468514328,16.459047
1616691475469518912,1616691475479205285,17.521562
1616691475479713362,1616691475488789815,16.925779
1616691475489863194,1616691475499399869,17.434625
1616691475500042939,1616691475509245006,17.484325
1616691475510207097,1616691475519816859,17.017593
1616691475520356334,1616691475529875001,17.185767
1616691475530470806,1616691475539472131,16.713763
1616691475540588478,1616691475550067286,17.195257
1616691475550726688,1616691475559903822,17.005052
1616691475560866637,1616691475569874261,16.52411
1616691475570959218,1616691475579873101,16.733844
1616691475581118124,1616691475590339652,16.820038
1616691475591264833,1616691475600604599,17.000721
1616691475601408818,1616691475610602439,17.0627
1616691475611480749,1616691475621157892,17.317384
1616691475621633909,1616691475631144832,17.345565
1616691475631761494,1616691475641151572,17.187983
1616691475641918280,1616691475651334916,16.818913
1616691475652022750,1616691475661429959,16.969048
1616691475662135504,1616691475671316996,17.157182
1616691475672239617,1616691475682531265,18.0993
