#client-send-timestamp,server-timestamp,e2e-rtt
1621759836103867101,1621759836114474936,5.065655
1621759836154547351,1621759836164116573,4.308366
1621759836205633692,1621759836215130740,6.507837
1621759836256680451,1621759836266189550,3.832952
1621759836307429242,1621759836317434367,6.244192
1621759836357475588,1621759836367158563,7.845643
1621759836408249014,1621759836418052422,4.09441
1621759836458937649,1621759836468481336,8.965222
1621759836509736180,1621759836519577634,4.395189
1621759836560724084,1621759836570237380,4.234774
1621759836611820843,1621759836621405538,3.898629
1621759836662598540,1621759836672258793,4.102482
1621759836713584101,1621759836723233450,4.561074
1621759836763972112,1621759836773786188,4.811802
1621759836814673455,1621759836824369192,6.476222
1621759836865807193,1621759836875207614,7.473353
1621759836916182131,1621759836926023769,4.995603
1621759836967082796,1621759836976741617,7.30174
1621759837017128518,1621759837027106925,4.437637
1621759837067408404,1621759837077169831,5.424977
1621759837117758395,1621759837127358129,4.50446
1621759837168882914,1621759837178343054,4.459043
1621759837219946131,1621759837229452070,4.005503
1621759837270550183,1621759837280115293,4.306179
1621759837321461577,1621759837331304574,4.179097
1621759837372241358,1621759837381845189,5.870808
1621759837422731921,1621759837432232395,3.548786
1621759837473878783,1621759837483634821,4.041753
1621759837524527835,1621759837534029324,3.722328
1621759837574854180,1621759837584271008,7.526217
1621759837625984167,1621759837635592478,4.749198
1621759837676325825,1621759837685834513,6.734814
1621759837726652326,1621759837736401148,4.050191
1621759837777301951,1621759837786869134,6.325129
1621759837828230481,1621759837837854813,4.944145
1621759837878763231,1621759837888376781,3.95217
1621759837929317127,1621759837938945457,4.050712
1621759837979967846,1621759837989451042,6.280077
1621759838030845021,1621759838040655679,4.488471
1621759838081927665,1621759838091676702,4.940448
1621759838132468020,1621759838141881933,6.272577
1621759838183325717,1621759838192711658,3.686911
1621759838233609249,1621759838243106347,4.066024
1621759838284268666,1621759838293721471,3.510245
1621759838335380216,1621759838344936543,6.678721
1621759838385650311,1621759838395264912,7.058407
1621759838436309571,1621759838445856888,4.458002
1621759838487358361,1621759838496831242,5.432477
1621759838537447520,1621759838547012998,4.198731
1621759838588261415,1621759838597831512,3.847483
1621759838638727394,1621759838648251348,3.843734
1621759838689216187,1621759838698812336,6.354712
1621759838740170446,1621759838749789535,3.83316
1621759838790638665,1621759838800205365,6.272212
1621759838841513289,1621759838851063132,7.606009
1621759838891623072,1621759838901051706,6.028151
1621759838942246708,1621759838951639921,5.958932
1621759838992818260,1621759839002353121,4.34144
1621759839043763873,1621759839053402011,4.549408
1621759839093829542,1621759839103396545,3.828682
1621759839144267449,1621759839153781607,4.774303
1621759839194677179,1621759839204126713,3.792119
1621759839245108993,1621759839254693413,4.134461
1621759839295884450,1621759839305477986,4.904823
1621759839346398659,1621759839356140626,4.573887
1621759839396511724,1621759839406976208,8.082778
1621759839447200515,1621759839457014870,4.805448
1621759839497645558,1621759839507439390,7.54528
1621759839548793826,1621759839558546291,4.492533
1621759839599937564,1621759839609864412,8.974961
1621759839650519637,1621759839660361507,7.490176
1621759839701645301,1621759839711269905,7.807362
1621759839752054823,1621759839761745371,8.432776
