#client-send-timestamp,server-timestamp,e2e-rtt
1621764458330987507,1621764458316879828,8.319488
1621764458381088704,1621764458364953521,6.222624
1621764458431930575,1621764458417048814,7.235327
1621764458482691300,1621764458464964039,4.476279
1621764458533708691,1621764458516310914,4.881276
1621764458584235198,1621764458567677814,5.714294
1621764458634577853,1621764458617354246,4.93888
1621764458685121704,1621764458667830180,4.882318
1621764458735646962,1621764458718388691,4.927735
1621764458786214823,1621764458768872888,4.879246
1621764458836801799,1621764458819693127,5.257525
1621764458887657316,1621764458870467139,4.999297
1621764458938270229,1621764458921163731,5.049922
1621764458988896528,1621764458971751819,5.055963
1621764459039583504,1621764459022402730,4.996224
1621764459090149647,1621764459073020635,5.047994
1621764459140937195,1621764459124578672,5.812573
1621764459191419327,1621764459174728810,5.456222
1621764459241662139,1621764459225011713,5.4807
1621764459292721769,1621764459275406293,4.921797
1621764459343391400,1621764459326998747,5.782418
1621764459393817232,1621764459377410474,5.754397
1621764459444269365,1621764459427646232,5.560023
1621764459494366864,1621764459477712136,5.691793
1621764459544750560,1621764459528125049,5.580804
1621764459594875403,1621764459578282007,5.650075
1621764459645222901,1621764459628803781,5.780439
1621764459695694045,1621764459679253585,5.965854
1621764459746485655,1621764459729525201,5.250702
1621764459797319817,1621764459779821713,4.638987
1621764459847522160,1621764459836088950,10.945204
1621764459898347729,1621764459881731423,5.578044
1621764459949423713,1621764459932368805,5.070546
1621764460000490634,1621764459982824471,4.522581
1621764460050987767,1621764460033627579,4.805392
1621764460101548337,1621764460084121646,4.907006
1621764460152084428,1621764460134443424,4.494247
1621764460203159631,1621764460185759767,4.74534
1621764460253485202,1621764460237176145,5.848459
1621764460303976553,1621764460287058553,5.374191
1621764460354969621,1621764460337325216,4.475498
1621764460406019824,1621764460388468255,4.655913
1621764460456347791,1621764460439340177,5.199348
1621764460507186120,1621764460490365476,5.378983
1621764460558239552,1621764460541504000,5.435336
1621764460609314651,1621764460592756527,5.613668
1621764460659554337,1621764460642727475,5.360597
1621764460710555269,1621764460693919237,5.592731
1621764460760902819,1621764460743790660,5.017683
1621764460811504535,1621764460794343418,5.178723
1621764460862287812,1621764460844752321,4.595601
1621764460912366041,1621764460894954917,4.814402
1621764460962753956,1621764460945666356,5.079661
1621764461013471139,1621764460996569019,5.350493
1621764461064503790,1621764461047636312,5.393983
1621764461115543733,1621764461099149332,5.799449
1621764461166218938,1621764461149192295,5.105911
1621764461216952788,1621764461199608833,4.801225
1621764461267500129,1621764461251073184,5.721793
1621764461317865023,1621764461301560239,5.90273
1621764461368453353,1621764461351892803,5.591325
1621764461418596373,1621764461402318776,5.878563
1621764461469153870,1621764461452453351,5.454555
1621764461520254490,1621764461504218694,6.179394
1621764461571132193,1621764461556343994,7.52194
1621764461621220370,1621764461604901687,5.952781
1621764461672061511,1621764461654794357,4.940443
1621764461722869476,1621764461705483448,4.762996
1621764461773423796,1621764461756201252,4.920964
1621764461824311552,1621764461806831142,4.663569
1621764461874718373,1621764461857425511,4.899505
1621764461925222537,1621764461907790796,4.694298
1621764461975656857,1621764461958971393,5.467524
1621764462025786232,1621764462008907113,5.350284
1621764462076894247,1621764462060276031,5.5982
1621764462127049506,1621764462110288009,5.429243
1621764462177200495,1621764462160439151,5.443513
1621764462228210073,1621764462211141364,5.093411
1621764462279061683,1621764462262471878,5.668252
1621764462329355692,1621764462312640566,5.478097
1621764462379559702,1621764462362470452,5.04388
1621764462430171730,1621764462412885350,4.857058
1621764462480764643,1621764462464536948,6.23028
1621764462531697243,1621764462514835231,5.349243
1621764462582685154,1621764462565248960,4.689247
1621764462632937288,1621764462615579333,4.78685
1621764462683304630,1621764462666256788,5.215494
1621764462734151970,1621764462717634524,5.828823
1621764462784814414,1621764462767610894,4.961068
1621764462835343943,1621764462817776449,4.563205
1621764462885554827,1621764462868667812,5.300858
1621764462936488207,1621764462919537412,5.235286
1621764462987410078,1621764462970941140,5.683876
1621764463037721847,1621764463021208545,5.705022
1621764463088263615,1621764463071338858,5.333462
1621764463139180277,1621764463122030639,4.980078
1621764463189771055,1621764463172257575,4.63732
1621764463239888138,1621764463222882400,5.15091
1621764463290777248,1621764463277952795,9.623127
1621764463341288495,1621764463324934427,5.823564
1621764463392185053,1621764463374891882,4.937787
1621764463442582030,1621764463425386473,4.970026
1621764463493358068,1621764463475956201,4.849349
1621764463543884002,1621764463526667016,5.022422
1621764463594993945,1621764463577501827,4.676954
1621764463645218371,1621764463627667383,4.59883
1621764463695762899,1621764463678411530,4.822475
1621764463746144355,1621764463728741634,4.757319
1621764463796655238,1621764463780170144,5.72846
1621764463847009351,1621764463831030382,6.364915
1621764463897103621,1621764463880089787,5.166223
1621764463947831534,1621764463930681732,5.010026
1621764463998586582,1621764463982089889,5.685075
1621764464048894393,1621764464032205742,5.552576
1621764464099039601,1621764464082450794,5.663512
1621764464149331787,1621764464132454932,5.27841
1621764464200299907,1621764464183640104,5.542731
1621764464250363709,1621764464233461387,5.265806
1621764464301323287,1621764464284907630,5.836063
1621764464351789899,1621764464334979193,5.352368
1621764464402784165,1621764464385717615,5.124244
1621764464453476557,1621764464435765924,4.424144
1621764464503561401,1621764464486866922,5.524346
1621764464554717853,1621764464537951045,5.418513
1621764464604846342,1621764464587860847,5.149244
1621764464655560869,1621764464638395915,4.976329
1621764464706290397,1621764464689913402,5.858146
1621764464756781436,1621764464739995728,5.423513
1621764464807891378,1621764464791609857,5.877522
1621764464858404917,1621764464841712667,5.551742
1621764464908547312,1621764464892087265,5.737627
1621764464958910592,1621764464944355745,7.751886
