#client-send-timestamp,server-timestamp,e2e-rtt
1621767724292854533,1621767724307544682,18.917803
1621767724343438777,1621767724351679455,12.839628
1621767724393826614,1621767724402964429,16.359522
1621767724444857523,1621767724453211761,12.827649
1621767724495276246,1621767724504195380,12.747909
1621767724545612624,1621767724552708357,11.39015
1621767724596585774,1621767724605146037,12.43192
1621767724647602100,1621767724656678334,13.120982
1621767724698309624,1621767724705231509,11.238588
1621767724749139180,1621767724756013019,11.506348
1621767724800237329,1621767724807592924,11.370046
1621767724851233291,1621767724858140064,10.941921
1621767724901758107,1621767724910444765,16.167022
1621767724952557506,1621767724960449407,15.482596
1621767725003625395,1621767725012576831,16.449678
1621767725054706409,1621767725062108372,11.748431
1621767725105096590,1621767725113744539,15.474783
1621767725156162968,1621767725164205223,11.760514
1621767725206507315,1621767725214913859,12.15916
1621767725257254006,1621767725265325150,11.892234
1621767725307742468,1621767725315191687,11.522702
1621767725358855461,1621767725367149554,12.274525
1621767725409727361,1621767725417804855,13.985721
1621767725460301760,1621767725468116296,11.575879
1621767725510373035,1621767725518180798,11.719368
1621767725560723164,1621767725567798887,11.44541
1621767725611760167,1621767725619941148,14.669054
1621767725661921337,1621767725668941220,10.905932
1621767725712412508,1621767725720579818,12.446087
1621767725763485501,1621767725774745986,15.555147
1621767725814481723,1621767725822917420,15.18921
1621767725865622841,1621767725873695615,15.035408
1621767725916335938,1621767725924281098,15.189471
1621767725967377473,1621767725975775651,12.25817
1621767726017810466,1621767726025946111,14.076815
1621767726068336220,1621767726076212244,14.888533
1621767726118806661,1621767726127089578,12.066295
1621767726169452414,1621767726177593583,15.174523
1621767726220244835,1621767726228636525,15.515824
1621767726270296422,1621767726277800612,14.88645
1621767726320767228,1621767726327735689,11.228952
1621767726371619439,1621767726379443027,14.934367
1621767726422143162,1621767726430047082,14.067075
1621767726472842770,1621767726479601973,14.1427
1621767726523573002,1621767726532072217,14.872284
1621767726574068495,1621767726581128901,14.237336
1621767726624896749,1621767726633122471,15.482439
1621767726675964429,1621767726682835281,10.803484
1621767726726356485,1621767726734922799,15.7877
1621767726776726666,1621767726784538537,13.630253
1621767726826844920,1621767726835439222,12.787753
1621767726877218434,1621767726883372104,10.874005
1621767726927678511,1621767726934443344,14.378273
1621767726978644525,1621767726986302370,11.590722
1621767727028725435,1621767727037332513,12.527701
1621767727079841136,1621767727087069537,11.689473
1621767727130122046,1621767727137661847,14.802596
1621767727180556289,1621767727188869449,14.041086
1621767727231180637,1621767727239008066,12.21817
1621767727282019359,1621767727289639698,15.259054
1621767727332858029,1621767727341752596,16.368845
1621767727383840501,1621767727391196632,11.68239
1621767727434116672,1621767727443934117,17.259782
1621767727484991696,1621767727491835367,11.05515
1621767727535552033,1621767727542330713,13.205514
1621767727585618985,1621767727594131330,12.277962
1621767727635947134,1621767727643639338,11.601296
1621767727686905961,1621767727694550444,14.717492
1621767727737110308,1621767727745208828,12.133379
1621767727787828718,1621767727794960364,11.176609
1621767727838581867,1621767727846008331,11.38864
1621767727889549913,1621767727896746198,11.582181
1621767727939612906,1621767727947976701,12.176764
1621767727990379128,1621767727997341670,10.811505
1621767728040772955,1621767728049654532,12.688587
1621767728091054959,1621767728098957115,14.945617
1621767728141591494,1621767728150182021,14.849731
1621767728192031570,1621767728200757685,12.613275
1621767728242149408,1621767728250515435,15.559106
1621767728292240005,1621767728299574713,14.604836
1621767728342333572,1621767728349654003,14.063534
1621767728392985263,1621767728400858248,14.893117
1621767728443543621,1621767728452173789,15.251502
1621767728494434270,1621767728501487247,10.794994
1621767728544825492,1621767728552368648,14.286555
1621767728595704579,1621767728603000727,11.237546
1621767728646535697,1621767728654398078,11.5889
1621767728696618639,1621767728704687098,12.047753
1621767728747250486,1621767728755406447,15.491606
1621767728798341812,1621767728805198808,10.484265
1621767728849410118,1621767728857933678,12.357545
1621767728900356184,1621767728907794075,14.796971
1621767728950737510,1621767728958811421,15.00119
1621767729001367378,1621767729009116101,11.896244
1621767729051801778,1621767729061642709,16.927126
1621767729102367896,1621767729114448152,19.188844
1621767729152866619,1621767729162779730,13.727388
1621767729203705028,1621767729211032927,11.162494
1621767729254434011,1621767729261859290,14.298586
1621767729304840702,1621767729312110713,10.906349
1621767729355131821,1621767729363059796,15.0177
1621767729406039553,1621767729412248184,10.850515
1621767729456531557,1621767729463876634,15.021138
1621767729507393456,1621767729514859099,14.250305
1621767729557525877,1621767729566435446,12.977493
1621767729608334391,1621767729616806195,12.899472
1621767729659045145,1621767729667758535,13.325461
1621767729709166419,1621767729717178306,12.81067
1621767729759803423,1621767729768408370,13.104211
1621767729810791468,1621767729818812051,11.674004
1621767729861057170,1621767729868524084,11.5539
1621767729911132403,1621767729918128079,10.914577
1621767729961641334,1621767729969414744,12.418274
1621767730012752920,1621767730020550077,11.78989
1621767730063135549,1621767730071028107,11.546192
1621767730113304636,1621767730120244398,13.668014
1621767730163571275,1621767730172255996,12.944368
1621767730214115779,1621767730221928097,14.584575
1621767730264193200,1621767730272478858,12.145618
